Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
BUILDR;Apache Buildr Committee;build-management;BUILDR-261;5ab8ada06fa5e4ddbae7ea48cb24e40cc4330cd3;0;Alex Boisvert;2009-02-22 17:13:38;Alex Boisvert;2009-02-22 17:13:38;run:1 dependencies:1 git:1 id:1 https:1 apache:1 trunk:1;tests.rb;lib/buildr/scala/tests.rb;MODIFY;1;0;2;1;13;136.0;29.0;704.0
BUILDR;Apache Buildr Committee;build-management;BUILDR-263;3f13febcc63fd72d531e1c3f20804917e652a112;0;Assaf Arkin;2009-03-06 01:38:03;Assaf Arkin;2009-03-06 01:38:03;fixed:1 package:1 war:1 merge:1 working:1 correctly:1 exclude:1 git:1 id:1 https:1 apache:1 trunk:1;CHANGELOG;CHANGELOG;MODIFY;0;0;1;0;0;897.0;0.0;7312.0
BUILDR;Apache Buildr Committee;build-management;BUILDR-263;3f13febcc63fd72d531e1c3f20804917e652a112;0;Assaf Arkin;2009-03-06 01:38:03;Assaf Arkin;2009-03-06 01:38:03;fixed:1 package:1 war:1 merge:1 working:1 correctly:1 exclude:1 git:1 id:1 https:1 apache:1 trunk:1;filter.rb;lib/buildr/core/filter.rb;MODIFY;1;0;2;2;23;171.0;47.0;1082.0
BUILDR;Apache Buildr Committee;build-management;BUILDR-263;3f13febcc63fd72d531e1c3f20804917e652a112;0;Assaf Arkin;2009-03-06 01:38:03;Assaf Arkin;2009-03-06 01:38:03;fixed:1 package:1 war:1 merge:1 working:1 correctly:1 exclude:1 git:1 id:1 https:1 apache:1 trunk:1;archive.rb;lib/buildr/packaging/archive.rb;MODIFY;1;0;5;5;37;274.0;69.0;1641.0
BUILDR;Apache Buildr Committee;build-management;BUILDR-263;3f13febcc63fd72d531e1c3f20804917e652a112;0;Assaf Arkin;2009-03-06 01:38:03;Assaf Arkin;2009-03-06 01:38:03;fixed:1 package:1 war:1 merge:1 working:1 correctly:1 exclude:1 git:1 id:1 https:1 apache:1 trunk:1;ziptask.rb;lib/buildr/packaging/ziptask.rb;MODIFY;1;0;3;3;19;149.0;41.0;723.0
BUILDR;Apache Buildr Committee;build-management;BUILDR-263;3f13febcc63fd72d531e1c3f20804917e652a112;0;Assaf Arkin;2009-03-06 01:38:03;Assaf Arkin;2009-03-06 01:38:03;fixed:1 package:1 war:1 merge:1 working:1 correctly:1 exclude:1 git:1 id:1 https:1 apache:1 trunk:1;archive_spec.rb;spec/packaging/archive_spec.rb;MODIFY;1;0;10;0;62;408.0;69.0;3777.0
BUILDR;Apache Buildr Committee;build-management;BUILDR-253;b8fed8b44a475c024a6fa4454b2fd91805a7b61a;0;Alex Boisvert;2009-03-07 00:58:04;Alex Boisvert;2009-03-07 00:58:04;uses:1 instead:1 git:1 id:1 https:1 apache:1 trunk:1;ziptask.rb;lib/buildr/packaging/ziptask.rb;MODIFY;1;0;1;1;19;149.0;41.0;723.0
BUILDR;Apache Buildr Committee;build-management;BUILDR-253;6069803290e71d6dc0c3ba6da5b9825f6cad58b9;0;Alex Boisvert;2009-03-07 01:00:06;Alex Boisvert;2009-03-07 01:00:06;update:1 git:1 id:1 https:1 apache:1 trunk:1;CHANGELOG;CHANGELOG;MODIFY;0;0;1;0;0;898.0;0.0;7328.0
BUILDR;Apache Buildr Committee;build-management;BUILDR-235;ce6a00f8954e668a7345c026953af5b4120687a2;0;Assaf Arkin;2009-03-12 23:35:27;Assaf Arkin;2009-03-12 23:35:27;fixed:1 download:1 link:1 broke:1 git:1 id:1 https:1 apache:1 trunk:1;CHANGELOG;CHANGELOG;MODIFY;0;0;1;0;0;901.0;0.0;7353.0
BUILDR;Apache Buildr Committee;build-management;BUILDR-235;ce6a00f8954e668a7345c026953af5b4120687a2;0;Assaf Arkin;2009-03-12 23:35:27;Assaf Arkin;2009-03-12 23:35:27;fixed:1 download:1 link:1 broke:1 git:1 id:1 https:1 apache:1 trunk:1;install-jruby.sh;doc/scripts/install-jruby.sh;MODIFY;1;0;1;1;0;31.0;0.0;169.0
BUILDR;Apache Buildr Committee;build-management;BUILDR-247;76585448701e73c9c75490b77b86f9b5f3ed04d3;0;Assaf Arkin;2009-03-12 23:40:58;Assaf Arkin;2009-03-12 23:40:58;fixed:1 work:1 hash:1 git:1 id:1 https:1 apache:1 trunk:1;CHANGELOG;CHANGELOG;MODIFY;0;0;1;0;0;906.0;0.0;7408.0
BUILDR;Apache Buildr Committee;build-management;BUILDR-247;76585448701e73c9c75490b77b86f9b5f3ed04d3;0;Assaf Arkin;2009-03-12 23:40:58;Assaf Arkin;2009-03-12 23:40:58;fixed:1 work:1 hash:1 git:1 id:1 https:1 apache:1 trunk:1;util.rb;lib/buildr/core/util.rb;MODIFY;1;0;3;19;18;149.0;42.0;1059.0
BUILDR;Apache Buildr Committee;build-management;BUILDR-239;86af14816ae703e672dceebde91d026073208312;0;Assaf Arkin;2009-03-12 23:42:37;Assaf Arkin;2009-03-12 23:42:37;fixed:1 http:1 redirects:1 lose:1 authentication:1 information:1 joel:1 git:1 id:1 https:1 apache:1 trunk:1;CHANGELOG;CHANGELOG;MODIFY;0;0;2;0;0;908.0;0.0;7424.0
