Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
CAMEL;Apache Camel Committee;network-server;CAMEL-1217;a334038b66c2f76498d65ef62e8a04ff4ecddfe1;0;Willem Ning Jiang;2009-01-03 08:24:31;Willem Ning Jiang;2009-01-03 08:24:31;camel:3 component:2 apache:2 http:2 get:1 jetty:1 options:1 set:1 indeed:1 client:1 also:1 git:1 id:1 https:1 trunk:1;BasicAuthenticationHttpClientConfigurer.java;components/camel-http/src/main/java/org/apache/camel/component/http/BasicAuthenticationHttpClientConfigurer.java;MODIFY;1;0;16;0;2;17.0;2.0;128.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1217;a334038b66c2f76498d65ef62e8a04ff4ecddfe1;0;Willem Ning Jiang;2009-01-03 08:24:31;Willem Ning Jiang;2009-01-03 08:24:31;camel:3 component:2 apache:2 http:2 get:1 jetty:1 options:1 set:1 indeed:1 client:1 also:1 git:1 id:1 https:1 trunk:1;HttpComponent.java;components/camel-http/src/main/java/org/apache/camel/component/http/HttpComponent.java;MODIFY;1;0;20;8;14;92.0;22.0;612.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1217;a334038b66c2f76498d65ef62e8a04ff4ecddfe1;0;Willem Ning Jiang;2009-01-03 08:24:31;Willem Ning Jiang;2009-01-03 08:24:31;camel:3 component:2 apache:2 http:2 get:1 jetty:1 options:1 set:1 indeed:1 client:1 also:1 git:1 id:1 https:1 trunk:1;pom.xml;components/camel-jetty/pom.xml;MODIFY;0;0;1;5;0;75.0;0.0;600.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1217;a334038b66c2f76498d65ef62e8a04ff4ecddfe1;0;Willem Ning Jiang;2009-01-03 08:24:31;Willem Ning Jiang;2009-01-03 08:24:31;camel:3 component:2 apache:2 http:2 get:1 jetty:1 options:1 set:1 indeed:1 client:1 also:1 git:1 id:1 https:1 trunk:1;JettyHttpComponent.java;components/camel-jetty/src/main/java/org/apache/camel/component/jetty/JettyHttpComponent.java;MODIFY;1;0;8;41;20;191.0;35.0;1286.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1217;a334038b66c2f76498d65ef62e8a04ff4ecddfe1;0;Willem Ning Jiang;2009-01-03 08:24:31;Willem Ning Jiang;2009-01-03 08:24:31;camel:3 component:2 apache:2 http:2 get:1 jetty:1 options:1 set:1 indeed:1 client:1 also:1 git:1 id:1 https:1 trunk:1;JettyHttpEndpoint.java;components/camel-jetty/src/main/java/org/apache/camel/component/jetty/JettyHttpEndpoint.java;MODIFY;1;0;5;2;7;45.0;7.0;300.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1217;a334038b66c2f76498d65ef62e8a04ff4ecddfe1;0;Willem Ning Jiang;2009-01-03 08:24:31;Willem Ning Jiang;2009-01-03 08:24:31;camel:3 component:2 apache:2 http:2 get:1 jetty:1 options:1 set:1 indeed:1 client:1 also:1 git:1 id:1 https:1 trunk:1;JettyHttpClientOptionsTest.java;components/camel-jetty/src/test/java/org/apache/camel/component/jetty/JettyHttpClientOptionsTest.java;MODIFY;1;1;7;4;2;24.0;2.0;198.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1221;a369c0193e8090e85b17f5a8475adbfcc5dd2770;0;Willem Ning Jiang;2009-01-04 04:29:58;Willem Ning Jiang;2009-01-04 04:29:58;camel:2 added:1 language:1 michael:1 suggested:1 git:1 id:1 https:1 apache:1 trunk:1;Activator.java;components/camel-osgi/src/main/java/org/apache/camel/osgi/Activator.java;MODIFY;1;0;40;17;16;241.0;64.0;1730.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1221;a369c0193e8090e85b17f5a8475adbfcc5dd2770;0;Willem Ning Jiang;2009-01-04 04:29:58;Willem Ning Jiang;2009-01-04 04:29:58;camel:2 added:1 language:1 michael:1 suggested:1 git:1 id:1 https:1 apache:1 trunk:1;CamelContextFactoryBean.java;components/camel-osgi/src/main/java/org/apache/camel/osgi/CamelContextFactoryBean.java;MODIFY;1;0;2;1;4;48.0;8.0;336.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1221;a369c0193e8090e85b17f5a8475adbfcc5dd2770;0;Willem Ning Jiang;2009-01-04 04:29:58;Willem Ning Jiang;2009-01-04 04:29:58;camel:2 added:1 language:1 michael:1 suggested:1 git:1 id:1 https:1 apache:1 trunk:1;OsgiLanguageResolver.java;components/camel-osgi/src/main/java/org/apache/camel/osgi/OsgiLanguageResolver.java;ADD;1;0;67;0;2;44.0;10.0;303.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1225;9e6d325e0106e6c6e34386e7f63c016f9f9358c6;0;Jonathan Anstey;2009-01-05 15:04:33;Jonathan Anstey;2009-01-05 15:04:33;camel:2 remove:1 duplicate:1 type:1 converter:1 exactly:1 thing:1 git:1 id:1 https:1 apache:1 trunk:1;IOConverter.java;camel-core/src/main/java/org/apache/camel/converter/IOConverter.java;MODIFY;1;0;11;30;30;240.0;49.0;1446.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1221;07aba6fab085c09890e51b73ac4aeeeaf003571c;0;Willem Ning Jiang;2009-01-06 04:30:23;Willem Ning Jiang;2009-01-06 04:30:23;camel:2 fixed:1 test:1 error:1 git:1 id:1 https:1 apache:1 trunk:1;Activator.java;components/camel-osgi/src/main/java/org/apache/camel/osgi/Activator.java;MODIFY;1;0;10;6;16;245.0;65.0;1760.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1221;07aba6fab085c09890e51b73ac4aeeeaf003571c;0;Willem Ning Jiang;2009-01-06 04:30:23;Willem Ning Jiang;2009-01-06 04:30:23;camel:2 fixed:1 test:1 error:1 git:1 id:1 https:1 apache:1 trunk:1;OsgiComponentResolver.java;components/camel-osgi/src/main/java/org/apache/camel/osgi/OsgiComponentResolver.java;MODIFY;1;0;1;1;2;54.0;10.0;383.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1213;2f89aee9804869d47113287dc350c3ffbfd3192b;0;Claus Ibsen;2009-01-06 05:31:43;Claus Ibsen;2009-01-06 05:31:43;camel:3 id:2 fixed:1 setting:1 exchanged:1 polished:1 use:1 git:1 https:1 apache:1 trunk:1;BytesSource.java;camel-core/src/main/java/org/apache/camel/converter/jaxp/BytesSource.java;MODIFY;1;0;4;0;6;31.0;6.0;192.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1213;2f89aee9804869d47113287dc350c3ffbfd3192b;0;Claus Ibsen;2009-01-06 05:31:43;Claus Ibsen;2009-01-06 05:31:43;camel:3 id:2 fixed:1 setting:1 exchanged:1 polished:1 use:1 git:1 https:1 apache:1 trunk:1;StringSource.java;camel-core/src/main/java/org/apache/camel/converter/jaxp/StringSource.java;MODIFY;1;0;3;3;13;68.0;14.0;400.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1213;2f89aee9804869d47113287dc350c3ffbfd3192b;0;Claus Ibsen;2009-01-06 05:31:43;Claus Ibsen;2009-01-06 05:31:43;camel:3 id:2 fixed:1 setting:1 exchanged:1 polished:1 use:1 git:1 https:1 apache:1 trunk:1;JmsMessage.java;components/camel-jms/src/main/java/org/apache/camel/component/jms/JmsMessage.java;MODIFY;1;0;2;2;17;139.0;36.0;822.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1213;2f89aee9804869d47113287dc350c3ffbfd3192b;0;Claus Ibsen;2009-01-06 05:31:43;Claus Ibsen;2009-01-06 05:31:43;camel:3 id:2 fixed:1 setting:1 exchanged:1 polished:1 use:1 git:1 https:1 apache:1 trunk:1;JmsToFileMessageIdTest.java;components/camel-jms/src/test/java/org/apache/camel/component/jms/issues/JmsToFileMessageIdTest.java;ADD;1;1;88;0;3;52.0;3.0;359.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1230;fbaccb2f4cb9cb80465c739728543eae904dbc5f;0;Jonathan Anstey;2009-01-06 18:26:24;Jonathan Anstey;2009-01-06 18:26:24;camel:2 fix:1 broken:1 archetype:1 git:1 id:1 https:1 apache:1 trunk:1;pom.xml;tooling/archetypes/camel-archetype-activemq/src/main/resources/archetype-resources/pom.xml;MODIFY;0;0;5;0;0;81.0;0.0;685.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1249;cf9dfe902b8823e4d1b2498e842049b14a2caa17;0;Claus Ibsen;2009-01-13 06:49:52;Claus Ibsen;2009-01-13 06:49:52;camel:2 mail:2 fixed:1 bug:1 component:1 using:1 multiple:1 configurations:1 bad:1 git:1 id:1 https:1 apache:1 trunk:1;MailComponent.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailComponent.java;MODIFY;1;0;15;4;10;72.0;15.0;486.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1249;cf9dfe902b8823e4d1b2498e842049b14a2caa17;0;Claus Ibsen;2009-01-13 06:49:52;Claus Ibsen;2009-01-13 06:49:52;camel:2 mail:2 fixed:1 bug:1 component:1 using:1 multiple:1 configurations:1 bad:1 git:1 id:1 https:1 apache:1 trunk:1;MailConfiguration.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConfiguration.java;MODIFY;1;0;17;6;50;285.0;78.0;1595.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1249;cf9dfe902b8823e4d1b2498e842049b14a2caa17;0;Claus Ibsen;2009-01-13 06:49:52;Claus Ibsen;2009-01-13 06:49:52;camel:2 mail:2 fixed:1 bug:1 component:1 using:1 multiple:1 configurations:1 bad:1 git:1 id:1 https:1 apache:1 trunk:1;MailEndpoint.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailEndpoint.java;MODIFY;1;0;1;1;13;69.0;15.0;448.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1249;f959b0b3fd54c8022c8f8cc4de4456c8383882e1;0;Claus Ibsen;2009-01-13 07:12:52;Claus Ibsen;2009-01-13 07:12:52;camel:2 added:1 unit:1 test:1 git:1 id:1 https:1 apache:1 trunk:1;MailUsingOwnComponentTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailUsingOwnComponentTest.java;ADD;1;1;68;0;3;36.0;3.0;265.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1247;eb72c4b1b5287ad79faefc2ad94b44e6c0e76c0d;0;Claus Ibsen;2009-01-13 10:37:54;Claus Ibsen;2009-01-13 10:37:54;camel:2 fixed:1 ftp:1 polling:1 starting:1 directory:1 given:1 git:1 id:1 https:1 apache:1 trunk:1;FtpConsumer.java;components/camel-ftp/src/main/java/org/apache/camel/component/file/remote/FtpConsumer.java;MODIFY;1;0;3;1;4;71.0;19.0;575.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1247;eb72c4b1b5287ad79faefc2ad94b44e6c0e76c0d;0;Claus Ibsen;2009-01-13 10:37:54;Claus Ibsen;2009-01-13 10:37:54;camel:2 fixed:1 ftp:1 polling:1 starting:1 directory:1 given:1 git:1 id:1 https:1 apache:1 trunk:1;FtpRemoteFileOperations.java;components/camel-ftp/src/main/java/org/apache/camel/component/file/remote/FtpRemoteFileOperations.java;MODIFY;1;0;6;0;15;173.0;42.0;1282.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1247;eb72c4b1b5287ad79faefc2ad94b44e6c0e76c0d;0;Claus Ibsen;2009-01-13 10:37:54;Claus Ibsen;2009-01-13 10:37:54;camel:2 fixed:1 ftp:1 polling:1 starting:1 directory:1 given:1 git:1 id:1 https:1 apache:1 trunk:1;SftpConsumer.java;components/camel-ftp/src/main/java/org/apache/camel/component/file/remote/SftpConsumer.java;MODIFY;1;0;6;1;4;71.0;19.0;598.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1247;eb72c4b1b5287ad79faefc2ad94b44e6c0e76c0d;0;Claus Ibsen;2009-01-13 10:37:54;Claus Ibsen;2009-01-13 10:37:54;camel:2 fixed:1 ftp:1 polling:1 starting:1 directory:1 given:1 git:1 id:1 https:1 apache:1 trunk:1;SftpRemoteFileOperations.java;components/camel-ftp/src/main/java/org/apache/camel/component/file/remote/SftpRemoteFileOperations.java;MODIFY;1;0;6;0;14;210.0;51.0;1329.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1247;eb72c4b1b5287ad79faefc2ad94b44e6c0e76c0d;0;Claus Ibsen;2009-01-13 10:37:54;Claus Ibsen;2009-01-13 10:37:54;camel:2 fixed:1 ftp:1 polling:1 starting:1 directory:1 given:1 git:1 id:1 https:1 apache:1 trunk:1;FtpConsumerWithNoFileOptionTest.java;components/camel-ftp/src/test/java/org/apache/camel/component/file/remote/FtpConsumerWithNoFileOptionTest.java;ADD;1;1;70;0;5;38.0;5.0;261.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1247;7a9cb4d8c3cf9c28a07970b5d1e37d40ca858ab5;0;Claus Ibsen;2009-01-13 11:01:55;Claus Ibsen;2009-01-13 11:01:55;camel:2 fixed:1 ftp:1 polling:1 starting:1 directory:1 given:1 git:1 id:1 https:1 apache:1 trunk:1;SftpConsumer.java;components/camel-ftp/src/main/java/org/apache/camel/component/file/remote/SftpConsumer.java;MODIFY;1;0;0;3;4;68.0;18.0;583.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1247;b40fb42feca84e3ebc7a776d4237ef65ef13f904;0;Claus Ibsen;2009-01-13 12:43:02;Claus Ibsen;2009-01-13 12:43:02;camel:2 fixed:1 consumer:1 working:1 windows:1 platforms:1 due:1 git:1 id:1 https:1 apache:1 trunk:1;SftpConsumer.java;components/camel-ftp/src/main/java/org/apache/camel/component/file/remote/SftpConsumer.java;MODIFY;1;0;3;3;4;66.0;17.0;558.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1247;c819aa00cea2908dbd1b0b08174f364584e69cbf;0;Claus Ibsen;2009-01-13 14:24:50;Claus Ibsen;2009-01-13 14:24:50;camel:2 fixed:1 consumer:1 able:1 poll:1 sub:1 folders:1 git:1 id:1 https:1 apache:1 trunk:1;SftpConsumer.java;components/camel-ftp/src/main/java/org/apache/camel/component/file/remote/SftpConsumer.java;MODIFY;1;0;2;1;4;67.0;17.0;567.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1257;6941a88f12f2c10689cb41c1fa26e4723fd79a8f;0;Claus Ibsen;2009-01-14 15:46:01;Claus Ibsen;2009-01-14 15:46:01;camel:3 persistence:1 jar:1 git:1 id:1 https:1 apache:1 trunk:1;pom.xml;components/camel-jpa/pom.xml;MODIFY;0;0;5;16;0;141.0;0.0;1037.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1257;6941a88f12f2c10689cb41c1fa26e4723fd79a8f;0;Claus Ibsen;2009-01-14 15:46:01;Claus Ibsen;2009-01-14 15:46:01;camel:3 persistence:1 jar:1 git:1 id:1 https:1 apache:1 trunk:1;persistence.xml;components/camel-jpa/src/main/resources/META-INF/persistence.xml;DELETE;0;0;0;25;0;;;
CAMEL;Apache Camel Committee;network-server;CAMEL-1270;2ebe070905933331c175d51836b0334fe3a28013;0;Claus Ibsen;2009-01-18 10:01:32;Claus Ibsen;2009-01-18 10:01:32;camel:2 complete:1 stopping:1 git:1 id:1 https:1 apache:1 trunk:1;MainSupport.java;camel-core/src/main/java/org/apache/camel/util/MainSupport.java;MODIFY;1;0;7;3;46;352.0;74.0;2171.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1270;2ebe070905933331c175d51836b0334fe3a28013;0;Claus Ibsen;2009-01-18 10:01:32;Claus Ibsen;2009-01-18 10:01:32;camel:2 complete:1 stopping:1 git:1 id:1 https:1 apache:1 trunk:1;Main.java;components/camel-spring/src/main/java/org/apache/camel/spring/Main.java;MODIFY;1;0;10;11;24;173.0;36.0;1053.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1263;8d87e86d0eb2502ee564c9face4936aa3ac3b64e;0;Claus Ibsen;2009-01-18 10:14:50;Claus Ibsen;2009-01-18 10:14:50;camel:2 folder:2 closing:1 mailbox:1 cause:1 mail:1 servers:1 block:1 ignored:1 debug:1 logged:1 git:1 id:1 https:1 apache:1 trunk:1;MailConsumer.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConsumer.java;MODIFY;1;0;7;3;8;127.0;35.0;958.0
CAMEL;Apache Camel Committee;network-server;CAMEL-1274;205f6b893b62a72488cdab05da92f16d3c0ca9f6;0;Gert Vanthienen;2009-01-19 22:16:30;Gert Vanthienen;2009-01-19 22:16:30;camel:2 jetty:1 http:1 closed:1 shuts:1 git:1 id:1 https:1 apache:1 trunk:1;JettyHttpComponent.java;components/camel-jetty/src/main/java/org/apache/camel/component/jetty/JettyHttpComponent.java;MODIFY;1;0;8;4;21;194.0;36.0;1292.0
