Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
CASSANDRA;Apache Cassandra Committee;database;CASSANDRA-9;74dcfb263ca695534ec631d8cf11f909e54a9765;0;Avinash Lakshman;2009-03-24 21:55:31;Avinash Lakshman;2009-03-24 21:55:31;cassandra:2 fix:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;Memtable.java;src/org/apache/cassandra/db/Memtable.java;MODIFY;1;0;30;6;30;407.0;61.0;2371.0
CASSANDRA;Apache Cassandra Committee;database;CASSANDRA-9;af47dc8476a6e4e4856476e4acff1ac8321a6a39;0;Avinash Lakshman;2009-03-25 05:25:23;Avinash Lakshman;2009-03-25 05:25:23;cassandra:2 fix:1 problem:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;Memtable.java;src/org/apache/cassandra/db/Memtable.java;MODIFY;1;0;3;5;30;406.0;61.0;2365.0
CASSANDRA;Apache Cassandra Committee;database;CASSANDRA-37;d2a61c67b09ed70ee3e5dfc9bf15fb74a4876f56;0;Jonathan Ellis;2009-04-27 18:24:18;Jonathan Ellis;2009-04-27 18:24:18;cassandra:2 add:1 tests:1 particular:1 want:1 sure:1 test:1 de:1 serialize:1 going:1 change:1 lot:1 patch:1 reviewed:1 evans:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;BinaryMemtable.java;src/org/apache/cassandra/db/BinaryMemtable.java;MODIFY;1;0;2;1;8;113.0;15.0;690.0
CASSANDRA;Apache Cassandra Committee;database;CASSANDRA-37;d2a61c67b09ed70ee3e5dfc9bf15fb74a4876f56;0;Jonathan Ellis;2009-04-27 18:24:18;Jonathan Ellis;2009-04-27 18:24:18;cassandra:2 add:1 tests:1 particular:1 want:1 sure:1 test:1 de:1 serialize:1 going:1 change:1 lot:1 patch:1 reviewed:1 evans:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;ColumnFamilyStore.java;src/org/apache/cassandra/db/ColumnFamilyStore.java;MODIFY;1;0;4;4;53;1084.0;203.0;6416.0
CASSANDRA;Apache Cassandra Committee;database;CASSANDRA-37;d2a61c67b09ed70ee3e5dfc9bf15fb74a4876f56;0;Jonathan Ellis;2009-04-27 18:24:18;Jonathan Ellis;2009-04-27 18:24:18;cassandra:2 add:1 tests:1 particular:1 want:1 sure:1 test:1 de:1 serialize:1 going:1 change:1 lot:1 patch:1 reviewed:1 evans:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;FileStruct.java;src/org/apache/cassandra/db/FileStruct.java;MODIFY;1;0;32;0;9;105.0;17.0;484.0
CASSANDRA;Apache Cassandra Committee;database;CASSANDRA-37;d2a61c67b09ed70ee3e5dfc9bf15fb74a4876f56;0;Jonathan Ellis;2009-04-27 18:24:18;Jonathan Ellis;2009-04-27 18:24:18;cassandra:2 add:1 tests:1 particular:1 want:1 sure:1 test:1 de:1 serialize:1 going:1 change:1 lot:1 patch:1 reviewed:1 evans:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;Memtable.java;src/org/apache/cassandra/db/Memtable.java;MODIFY;1;0;1;1;26;345.0;52.0;2036.0
CASSANDRA;Apache Cassandra Committee;database;CASSANDRA-37;d2a61c67b09ed70ee3e5dfc9bf15fb74a4876f56;0;Jonathan Ellis;2009-04-27 18:24:18;Jonathan Ellis;2009-04-27 18:24:18;cassandra:2 add:1 tests:1 particular:1 want:1 sure:1 test:1 de:1 serialize:1 going:1 change:1 lot:1 patch:1 reviewed:1 evans:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;Table.java;src/org/apache/cassandra/db/Table.java;MODIFY;1;0;1;1;51;623.0;108.0;4169.0
CASSANDRA;Apache Cassandra Committee;database;CASSANDRA-37;d2a61c67b09ed70ee3e5dfc9bf15fb74a4876f56;0;Jonathan Ellis;2009-04-27 18:24:18;Jonathan Ellis;2009-04-27 18:24:18;cassandra:2 add:1 tests:1 particular:1 want:1 sure:1 test:1 de:1 serialize:1 going:1 change:1 lot:1 patch:1 reviewed:1 evans:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;SSTable.java;src/org/apache/cassandra/io/SSTable.java;MODIFY;1;0;26;22;40;560.0;86.0;3441.0
CASSANDRA;Apache Cassandra Committee;database;CASSANDRA-37;d2a61c67b09ed70ee3e5dfc9bf15fb74a4876f56;0;Jonathan Ellis;2009-04-27 18:24:18;Jonathan Ellis;2009-04-27 18:24:18;cassandra:2 add:1 tests:1 particular:1 want:1 sure:1 test:1 de:1 serialize:1 going:1 change:1 lot:1 patch:1 reviewed:1 evans:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;Loader.java;src/org/apache/cassandra/loader/Loader.java;MODIFY;1;0;1;1;9;267.0;46.0;1758.0
CASSANDRA;Apache Cassandra Committee;database;CASSANDRA-37;d2a61c67b09ed70ee3e5dfc9bf15fb74a4876f56;0;Jonathan Ellis;2009-04-27 18:24:18;Jonathan Ellis;2009-04-27 18:24:18;cassandra:2 add:1 tests:1 particular:1 want:1 sure:1 test:1 de:1 serialize:1 going:1 change:1 lot:1 patch:1 reviewed:1 evans:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;PreLoad.java;src/org/apache/cassandra/loader/PreLoad.java;MODIFY;1;0;1;1;4;71.0;7.0;540.0
CASSANDRA;Apache Cassandra Committee;database;CASSANDRA-37;d2a61c67b09ed70ee3e5dfc9bf15fb74a4876f56;0;Jonathan Ellis;2009-04-27 18:24:18;Jonathan Ellis;2009-04-27 18:24:18;cassandra:2 add:1 tests:1 particular:1 want:1 sure:1 test:1 de:1 serialize:1 going:1 change:1 lot:1 patch:1 reviewed:1 evans:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;SSTableTest.java;src/org/apache/cassandra/test/SSTableTest.java;DELETE;1;1;0;119;0;;;
CASSANDRA;Apache Cassandra Committee;database;CASSANDRA-37;d2a61c67b09ed70ee3e5dfc9bf15fb74a4876f56;0;Jonathan Ellis;2009-04-27 18:24:18;Jonathan Ellis;2009-04-27 18:24:18;cassandra:2 add:1 tests:1 particular:1 want:1 sure:1 test:1 de:1 serialize:1 going:1 change:1 lot:1 patch:1 reviewed:1 evans:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;ColumnComparatorFactoryTest.java;test/unit/org/apache/cassandra/db/ColumnComparatorFactoryTest.java;MODIFY;1;0;1;1;2;18.0;2.0;126.0
