Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
CODEC;Apache Commons Committee;library;CODEC-77;b8c2d9d9dc9aab45f83cf49ac93cfa8546e4c08e;0;Gary D. Gregory;2009-07-13 22:33:28;Gary D. Gregory;2009-07-13 22:33:28;bug:1 empty:1 input:1 new:1 byte:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;Base64.java;src/java/org/apache/commons/codec/binary/Base64.java;MODIFY;1;0;1;1;32;387.0;111.0;3219.0
CODEC;Apache Commons Committee;library;CODEC-77;b8c2d9d9dc9aab45f83cf49ac93cfa8546e4c08e;0;Gary D. Gregory;2009-07-13 22:33:28;Gary D. Gregory;2009-07-13 22:33:28;bug:1 empty:1 input:1 new:1 byte:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;Base64InputStreamTest.java;src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java;MODIFY;1;1;12;0;6;107.0;11.0;1074.0
CODEC;Apache Commons Committee;library;CODEC-77;b8c2d9d9dc9aab45f83cf49ac93cfa8546e4c08e;0;Gary D. Gregory;2009-07-13 22:33:28;Gary D. Gregory;2009-07-13 22:33:28;bug:1 empty:1 input:1 new:1 byte:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;Base64OutputStreamTest.java;src/test/org/apache/commons/codec/binary/Base64OutputStreamTest.java;MODIFY;1;1;14;2;6;106.0;11.0;950.0
CODEC;Apache Commons Committee;library;CODEC-77;b8c2d9d9dc9aab45f83cf49ac93cfa8546e4c08e;0;Gary D. Gregory;2009-07-13 22:33:28;Gary D. Gregory;2009-07-13 22:33:28;bug:1 empty:1 input:1 new:1 byte:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;Base64Test.java;src/test/org/apache/commons/codec/binary/Base64Test.java;MODIFY;1;1;14;1;38;702.0;55.0;13173.0
CODEC;Apache Commons Committee;library;CODEC-77;4449af5be0d81e35daef251055eca4cbfffd1d5c;0;Gary D. Gregory;2009-07-13 22:43:37;Gary D. Gregory;2009-07-13 22:43:37;bug:1 empty:1 input:1 new:1 byte:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;Base64.java;src/java/org/apache/commons/codec/binary/Base64.java;MODIFY;1;0;3;3;32;387.0;111.0;3219.0
CODEC;Apache Commons Committee;library;CODEC-77;4449af5be0d81e35daef251055eca4cbfffd1d5c;0;Gary D. Gregory;2009-07-13 22:43:37;Gary D. Gregory;2009-07-13 22:43:37;bug:1 empty:1 input:1 new:1 byte:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;Base64InputStreamTest.java;src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java;MODIFY;1;1;2;2;6;107.0;11.0;1074.0
CODEC;Apache Commons Committee;library;CODEC-77;4449af5be0d81e35daef251055eca4cbfffd1d5c;0;Gary D. Gregory;2009-07-13 22:43:37;Gary D. Gregory;2009-07-13 22:43:37;bug:1 empty:1 input:1 new:1 byte:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;Base64OutputStreamTest.java;src/test/org/apache/commons/codec/binary/Base64OutputStreamTest.java;MODIFY;1;1;2;2;6;106.0;11.0;950.0
CODEC;Apache Commons Committee;library;CODEC-77;4449af5be0d81e35daef251055eca4cbfffd1d5c;0;Gary D. Gregory;2009-07-13 22:43:37;Gary D. Gregory;2009-07-13 22:43:37;bug:1 empty:1 input:1 new:1 byte:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;Base64Test.java;src/test/org/apache/commons/codec/binary/Base64Test.java;MODIFY;1;1;3;3;38;702.0;55.0;13173.0
CODEC;Apache Commons Committee;library;CODEC-76;b89372bb13e15899d20a41f538d7df377d40f527;0;Henri Yandell;2009-07-16 03:45:24;Henri Yandell;2009-07-16 03:45:24;fixing:1 remaining:1 ids:1 keys:1 close:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;changes.xml;xdocs/changes.xml;MODIFY;0;0;5;5;0;205.0;0.0;2014.0
CODEC;Apache Commons Committee;library;CODEC-80;165d33f8c676d4b5063d1899beab3a352afb7d82;0;Gary D. Gregory;2009-07-24 00:42:35;Gary D. Gregory;2009-07-24 00:42:35;regression:1 encode:1 chunk:1 true:1 bug:1 input:1 length:1 multiple:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;Base64.java;src/java/org/apache/commons/codec/binary/Base64.java;MODIFY;1;0;5;1;31;376.0;108.0;3124.0
