Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-319;ab6e5256d88ba65160635fd813d9af63100774f6;0;Henri Yandell;2009-04-23 02:37:17;Henri Yandell;2009-04-23 02:37:17;collections:2 fixing:1 unnecessary:1 null:1 check:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;IteratorUtils.java;src/java/org/apache/commons/collections/IteratorUtils.java;MODIFY;1;0;1;1;44;263.0;74.0;1894.0
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-318;24921ebe3e93a1d77f2cc4725d1eee66f68a856a;0;Henri Yandell;2009-04-23 02:38:59;Henri Yandell;2009-04-23 02:38:59;collections:2 removing:1 unnecessary:1 null:1 check:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;CollectionUtils.java;src/java/org/apache/commons/collections/CollectionUtils.java;MODIFY;1;0;0;2;48;532.0;168.0;3812.0
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-320;b8a191f6b756bc038bc1cdfc34986515e6703953;0;Henri Yandell;2009-04-23 02:45:32;Henri Yandell;2009-04-23 02:45:32;collections:2 improving:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;StaticBucketMap.java;src/java/org/apache/commons/collections/map/StaticBucketMap.java;MODIFY;1;0;3;3;43;356.0;101.0;2210.0
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-316;f7a7f8145d15d1225945f376072837d1679f3279;0;Henri Yandell;2009-05-20 04:22:20;Henri Yandell;2009-05-20 04:22:20;collections:2 removing:1 incorrect:1 means:1 limit:1 phrase:1 constructor:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;LRUMap.java;src/java/org/apache/commons/collections/map/LRUMap.java;MODIFY;1;0;2;2;21;170.0;39.0;1032.0
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-317;46f3c54c56742ad3333efd964d31720b2df88869;0;Henri Yandell;2009-05-20 04:30:13;Henri Yandell;2009-05-20 04:30:13;collections:2 constructor:1 call:1 copying:1 code:1 running:1 subclass:1 implementation:1 reported:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;AbstractHashedMap.java;src/java/org/apache/commons/collections/map/AbstractHashedMap.java;MODIFY;1;0;17;1;92;701.0;184.0;4233.0
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-330;117fdf1a6e53c715f228e51cead16861fa9ae5f9;0;Joerg Schaible;2009-06-17 22:28:09;Joerg Schaible;2009-06-17 22:28:09;collections:2 removing:1 entries:1 may:1 also:1 result:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;TestLRUMap.java;src/test/org/apache/commons/collections/map/TestLRUMap.java;MODIFY;1;1;83;1;29;645.0;84.0;5629.0
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-340;2e29ad2a8fd33955b488c1edd0b312a6837b7cb9;0;Matthew Jason Benson;2009-10-14 14:16:50;Matthew Jason Benson;2009-10-14 14:16:50;collections:2 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;NOPClosure.java;src/java/org/apache/commons/collections/functors/NOPClosure.java;MODIFY;1;0;8;2;5;30.0;7.0;181.0
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-343;eebcb74fb5e80592aab80f6bbb756026c7812f19;0;Matthew Jason Benson;2009-12-29 23:12:18;Matthew Jason Benson;2009-12-29 23:12:18;collections:2 applied:1 patch:1 preserve:1 singleton:1 integrity:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;pom.xml;pom.xml;MODIFY;0;0;3;0;0;512.0;0.0;2197.0
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-343;eebcb74fb5e80592aab80f6bbb756026c7812f19;0;Matthew Jason Benson;2009-12-29 23:12:18;Matthew Jason Benson;2009-12-29 23:12:18;collections:2 applied:1 patch:1 preserve:1 singleton:1 integrity:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;CloneTransformer.java;src/java/org/apache/commons/collections/functors/CloneTransformer.java;MODIFY;1;0;4;0;4;23.0;5.0;158.0
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-343;eebcb74fb5e80592aab80f6bbb756026c7812f19;0;Matthew Jason Benson;2009-12-29 23:12:18;Matthew Jason Benson;2009-12-29 23:12:18;collections:2 applied:1 patch:1 preserve:1 singleton:1 integrity:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;ExceptionClosure.java;src/java/org/apache/commons/collections/functors/ExceptionClosure.java;MODIFY;1;0;4;0;4;21.0;4.0;145.0
