Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
COMPRESS;Apache Commons Committee;library;COMPRESS-25;20076333c860f5b95c450a74f42873a4f500779d;0;Stefan Bodewig;2009-03-25 14:37:27;Stefan Bodewig;2009-03-25 14:37:27;compress:2 remove:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;pom.xml;pom.xml;MODIFY;0;0;0;10;0;165.0;0.0;1288.0
COMPRESS;Apache Commons Committee;library;COMPRESS-28;004124ac5dbf5edbf925078652526267468821e7;0;Stefan Bodewig;2009-03-26 10:36:45;Stefan Bodewig;2009-03-26 10:36:45;compress:2 improve:1 tests:1 submitted:1 christian:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;CpioArchiveOutputStream.java;src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java;MODIFY;1;0;10;23;19;238.0;53.0;1842.0
COMPRESS;Apache Commons Committee;library;COMPRESS-28;004124ac5dbf5edbf925078652526267468821e7;0;Stefan Bodewig;2009-03-26 10:36:45;Stefan Bodewig;2009-03-26 10:36:45;compress:2 improve:1 tests:1 submitted:1 christian:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;CpioTestCase.java;src/test/java/org/apache/commons/compress/archivers/CpioTestCase.java;MODIFY;1;1;68;49;2;66.0;3.0;644.0
COMPRESS;Apache Commons Committee;library;COMPRESS-28;004124ac5dbf5edbf925078652526267468821e7;0;Stefan Bodewig;2009-03-26 10:36:45;Stefan Bodewig;2009-03-26 10:36:45;compress:2 improve:1 tests:1 submitted:1 christian:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;CpioArchiveInputStreamTest.java;src/test/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStreamTest.java;ADD;1;1;31;0;1;24.0;3.0;186.0
COMPRESS;Apache Commons Committee;library;COMPRESS-55;9fbe205eff8aa6f9a7a6e302094b3715e61da777;0;Sebastian Bazley;2009-03-26 20:46:31;Sebastian Bazley;2009-03-26 20:46:31;compress:2 mode:2 attempt:1 set:1 zero:1 print:1 error:1 found:1 trailer:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;CpioArchiveInputStream.java;src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java;MODIFY;1;0;10;2;19;273.0;63.0;2037.0
COMPRESS;Apache Commons Committee;library;COMPRESS-55;84f836ebd1cf6cde9d42ba33397298f14693462c;0;Sebastian Bazley;2009-03-26 20:54:47;Sebastian Bazley;2009-03-26 20:54:47;compress:2 throw:1 error:1 user:1 attempts:1 set:1 invalid:1 mode:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;CpioArchiveEntry.java;src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveEntry.java;MODIFY;1;0;1;3;46;215.0;62.0;1055.0
COMPRESS;Apache Commons Committee;library;COMPRESS-11;99696beab393fbaf96cf040c64b798c76e921cd9;0;Torsten Curdt;2009-03-27 20:09:40;Torsten Curdt;2009-03-27 20:09:40;https:2 apache:2 compress:2 reproduce:1 issues:1 browse:1 git:1 id:1 commons:1 proper:1 trunk:1;ArTestCase.java;src/test/java/org/apache/commons/compress/archivers/ArTestCase.java;MODIFY;1;1;75;3;3;108.0;8.0;899.0
COMPRESS;Apache Commons Committee;library;COMPRESS-11;c3a8a1c58e4e249aa39dc1ccd0b9b7b49efe5e97;0;Torsten Curdt;2009-03-27 21:08:27;Torsten Curdt;2009-03-27 21:08:27;https:2 apache:2 compress:2 tracked:1 problem:1 issues:1 browse:1 git:1 id:1 commons:1 proper:1 trunk:1;ArTestCase.java;src/test/java/org/apache/commons/compress/archivers/ArTestCase.java;MODIFY;1;1;15;0;3;122.0;8.0;994.0
COMPRESS;Apache Commons Committee;library;COMPRESS-11;d09177b98f4e956c1d366110f73c3341ea110bee;0;Stefan Bodewig;2009-03-30 16:31:15;Stefan Bodewig;2009-03-30 16:31:15;input:2 compress:2 chunking:1 entries:1 ar:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;ArArchiveInputStream.java;src/main/java/org/apache/commons/compress/archivers/ar/ArArchiveInputStream.java;MODIFY;1;0;57;12;8;141.0;36.0;916.0
COMPRESS;Apache Commons Committee;library;COMPRESS-60;40e010931f91f4f2989fc5f892f990a8890808e1;0;Christian Grobmeier;2009-04-09 11:15:32;Christian Grobmeier;2009-04-09 11:15:32;compress:2 extracted:1 class:1 thread:1 safety:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;ChangeSet.java;src/main/java/org/apache/commons/compress/changes/ChangeSet.java;MODIFY;1;0;8;103;4;40.0;12.0;291.0
