Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
CRUNCH;Apache Crunch Committee;library;CRUNCH-1;9cf194578fbe4d5c17fd3f43bf1e2340d47fa140;0;Josh Wills;2012-07-07 17:25:29;Josh Wills;2012-07-07 17:25:29;fix:1 crunch:1 contributed:1;pom.xml;pom.xml;MODIFY;0;0;67;13;0;326.0;0.0;2409.0
CRUNCH;Apache Crunch Committee;library;CRUNCH-38;03dd4b52b164b3540fbaba38c198c0160a479734;0;Gabriel Reid;2012-08-11 09:25:17;Gabriel Reid;2012-08-11 09:25:17;crunch:2 fix:2 true:2 primitives:2 deep:1 copying:1 extra:1 side:1 effect:1 getting:1 detached:1 values:1 e:1 broken:1;Avros.java;crunch/src/main/java/org/apache/crunch/types/avro/Avros.java;MODIFY;1;0;1;1;70;497.0;101.0;4265.0
CRUNCH;Apache Crunch Committee;library;CRUNCH-38;03dd4b52b164b3540fbaba38c198c0160a479734;0;Gabriel Reid;2012-08-11 09:25:17;Gabriel Reid;2012-08-11 09:25:17;crunch:2 fix:2 true:2 primitives:2 deep:1 copying:1 extra:1 side:1 effect:1 getting:1 detached:1 values:1 e:1 broken:1;AvrosTest.java;crunch/src/test/java/org/apache/crunch/types/avro/AvrosTest.java;MODIFY;1;1;7;1;25;229.0;25.0;2283.0
CRUNCH;Apache Crunch Committee;library;CRUNCH-115;78a3eb7d9b176f1ae1506c3eada6b1205ccb7cdf;0;Matthias Friedrich;2012-11-17 15:27:09;Matthias Friedrich;2012-11-18 08:15:29;add:2 crunch:1 fix:1 licensing:1 issues:1 licenses:1 binary:1 distribution:1 files:1 license:1 mandatory:1 notice:1 entries:1 upgrade:1 ga:1 apache:1 licensed:1;LICENSE;LICENSE;MODIFY;0;0;641;59;0;639.0;0.0;2767.0
CRUNCH;Apache Crunch Committee;library;CRUNCH-115;78a3eb7d9b176f1ae1506c3eada6b1205ccb7cdf;0;Matthias Friedrich;2012-11-17 15:27:09;Matthias Friedrich;2012-11-18 08:15:29;add:2 crunch:1 fix:1 licensing:1 issues:1 licenses:1 binary:1 distribution:1 files:1 license:1 mandatory:1 notice:1 entries:1 upgrade:1 ga:1 apache:1 licensed:1;NOTICE;NOTICE;MODIFY;0;0;13;0;0;12.0;0.0;76.0
CRUNCH;Apache Crunch Committee;library;CRUNCH-115;78a3eb7d9b176f1ae1506c3eada6b1205ccb7cdf;0;Matthias Friedrich;2012-11-17 15:27:09;Matthias Friedrich;2012-11-18 08:15:29;add:2 crunch:1 fix:1 licensing:1 issues:1 licenses:1 binary:1 distribution:1 files:1 license:1 mandatory:1 notice:1 entries:1 upgrade:1 ga:1 apache:1 licensed:1;pom.xml;crunch/pom.xml;MODIFY;0;0;1;1;0;160.0;0.0;1172.0
CRUNCH;Apache Crunch Committee;library;CRUNCH-115;78a3eb7d9b176f1ae1506c3eada6b1205ccb7cdf;0;Matthias Friedrich;2012-11-17 15:27:09;Matthias Friedrich;2012-11-18 08:15:29;add:2 crunch:1 fix:1 licensing:1 issues:1 licenses:1 binary:1 distribution:1 files:1 license:1 mandatory:1 notice:1 entries:1 upgrade:1 ga:1 apache:1 licensed:1;pom.xml;pom.xml;MODIFY;0;0;4;3;0;852.0;0.0;1458.0
CRUNCH;Apache Crunch Committee;library;CRUNCH-198;f1e877d4f1627a8289d42072202556a42e56e97c;0;Josh Wills;2013-04-25 20:17:02;Josh Wills;2013-04-25 20:17:02;crunch:1 update:1 run:1 ignoring:1 ordering:1 elements:1 output:1;CogroupIT.java;crunch-core/src/it/java/org/apache/crunch/lib/CogroupIT.java;MODIFY;1;0;10;4;7;81.0;8.0;852.0
CRUNCH;Apache Crunch Committee;library;CRUNCH-203;6b3f2894eee7697d6d82e8ee354d9d996fab3c50;0;Josh Wills;2013-05-07 17:53:34;Josh Wills;2013-05-07 17:53:34;crunch:1 fix:1 failing:1;TrevniKeyTarget.java;crunch-core/src/main/java/org/apache/crunch/io/avro/trevni/TrevniKeyTarget.java;MODIFY;1;0;4;5;9;101.0;14.0;922.0
CRUNCH;Apache Crunch Committee;library;CRUNCH-203;6b3f2894eee7697d6d82e8ee354d9d996fab3c50;0;Josh Wills;2013-05-07 17:53:34;Josh Wills;2013-05-07 17:53:34;crunch:1 fix:1 failing:1;TrevniOutputFormat.java;crunch-core/src/main/java/org/apache/crunch/io/avro/trevni/TrevniOutputFormat.java;ADD;1;0;40;0;1;15.0;1.0;141.0
