Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
DERBY;Apache DB Committee;database;DERBY-4012;d71a0dd91dd6697c40321fc34bda488c0e24175f;0;Kristian Waagan;2009-01-09 13:48:31;Kristian Waagan;2009-01-09 13:48:31;derby:4 due:2 file:2 java:1 fails:1 sync:1 master:1 fixed:1 regression:1 parts:1 error:1 message:1 changed:1 patch:1 git:1 id:1 https:1 apache:1 db:1 code:1 trunk:1;LobLimits.out;java/testing/org/apache/derbyTesting/functionTests/master/LobLimits.out;MODIFY;0;0;2;2;0;127.0;0.0;1316.0
DERBY;Apache DB Committee;database;DERBY-4006;fe3c8d837b167fc42d4dcf4d597460820820170a;0;Bryan Pendleton;2009-01-11 00:02:56;Bryan Pendleton;2009-01-11 00:02:56;default:7 specified:3 value:3 derby:2 column:2 null:2 change:2 code:2 case:2 variable:2 alter:1 trouble:1 distinguishing:1 user:1 specify:1 explicitly:1 wants:1 able:1 ask:1 adds:1 boolean:1 instance:1 superclass:1 initializes:1 true:1 clause:1 uses:1 decide:1 preserve:1 current:1 building:1 definition:1 several:1 new:1 test:1 cases:1 also:1 added:1 git:1 id:1 https:1 apache:1 db:1 trunk:1;ColumnDefinitionNode.java;java/engine/org/apache/derby/impl/sql/compile/ColumnDefinitionNode.java;MODIFY;1;0;12;0;26;444.0;120.0;2377.0
DERBY;Apache DB Committee;database;DERBY-4006;fe3c8d837b167fc42d4dcf4d597460820820170a;0;Bryan Pendleton;2009-01-11 00:02:56;Bryan Pendleton;2009-01-11 00:02:56;default:7 specified:3 value:3 derby:2 column:2 null:2 change:2 code:2 case:2 variable:2 alter:1 trouble:1 distinguishing:1 user:1 specify:1 explicitly:1 wants:1 able:1 ask:1 adds:1 boolean:1 instance:1 superclass:1 initializes:1 true:1 clause:1 uses:1 decide:1 preserve:1 current:1 building:1 definition:1 several:1 new:1 test:1 cases:1 also:1 added:1 git:1 id:1 https:1 apache:1 db:1 trunk:1;ModifyColumnNode.java;java/engine/org/apache/derby/impl/sql/compile/ModifyColumnNode.java;MODIFY;1;0;1;1;9;253.0;56.0;1475.0
DERBY;Apache DB Committee;database;DERBY-4006;fe3c8d837b167fc42d4dcf4d597460820820170a;0;Bryan Pendleton;2009-01-11 00:02:56;Bryan Pendleton;2009-01-11 00:02:56;default:7 specified:3 value:3 derby:2 column:2 null:2 change:2 code:2 case:2 variable:2 alter:1 trouble:1 distinguishing:1 user:1 specify:1 explicitly:1 wants:1 able:1 ask:1 adds:1 boolean:1 instance:1 superclass:1 initializes:1 true:1 clause:1 uses:1 decide:1 preserve:1 current:1 building:1 definition:1 several:1 new:1 test:1 cases:1 also:1 added:1 git:1 id:1 https:1 apache:1 db:1 trunk:1;autoincrement.out;java/testing/org/apache/derbyTesting/functionTests/master/autoincrement.out;MODIFY;0;0;44;0;0;2115.0;0.0;5080.0
DERBY;Apache DB Committee;database;DERBY-4006;fe3c8d837b167fc42d4dcf4d597460820820170a;0;Bryan Pendleton;2009-01-11 00:02:56;Bryan Pendleton;2009-01-11 00:02:56;default:7 specified:3 value:3 derby:2 column:2 null:2 change:2 code:2 case:2 variable:2 alter:1 trouble:1 distinguishing:1 user:1 specify:1 explicitly:1 wants:1 able:1 ask:1 adds:1 boolean:1 instance:1 superclass:1 initializes:1 true:1 clause:1 uses:1 decide:1 preserve:1 current:1 building:1 definition:1 several:1 new:1 test:1 cases:1 also:1 added:1 git:1 id:1 https:1 apache:1 db:1 trunk:1;autoincrement.sql;java/testing/org/apache/derbyTesting/functionTests/tests/lang/autoincrement.sql;MODIFY;0;0;24;0;0;1079.0;0.0;2441.0
DERBY;Apache DB Committee;database;DERBY-4042;ccc1b8d6b01aa9e72ecaf5fb02a1ea76790b3794;0;Knut Anders Hatlen;2009-02-01 20:44:06;Knut Anders Hatlen;2009-02-01 20:44:06;derby:3 apache:2 import:2 load:1 needs:1 escape:1 single:1 quotes:1 made:1 sure:1 export:1 procedures:1 properly:1 quoted:1 string:1 literals:1 identifiers:1 constructing:1 internal:1 statements:1 achieved:1 using:1 helper:1 methods:1 git:1 id:1 https:1 db:1 code:1 trunk:1;ExportResultSetForObject.java;java/engine/org/apache/derby/impl/load/ExportResultSetForObject.java;MODIFY;1;0;3;3;8;80.0;12.0;442.0
DERBY;Apache DB Committee;database;DERBY-4042;ccc1b8d6b01aa9e72ecaf5fb02a1ea76790b3794;0;Knut Anders Hatlen;2009-02-01 20:44:06;Knut Anders Hatlen;2009-02-01 20:44:06;derby:3 apache:2 import:2 load:1 needs:1 escape:1 single:1 quotes:1 made:1 sure:1 export:1 procedures:1 properly:1 quoted:1 string:1 literals:1 identifiers:1 constructing:1 internal:1 statements:1 achieved:1 using:1 helper:1 methods:1 git:1 id:1 https:1 db:1 code:1 trunk:1;Import.java;java/engine/org/apache/derby/impl/load/Import.java;MODIFY;1;0;27;25;9;168.0;18.0;990.0
DERBY;Apache DB Committee;database;DERBY-4042;ccc1b8d6b01aa9e72ecaf5fb02a1ea76790b3794;0;Knut Anders Hatlen;2009-02-01 20:44:06;Knut Anders Hatlen;2009-02-01 20:44:06;derby:3 apache:2 import:2 load:1 needs:1 escape:1 single:1 quotes:1 made:1 sure:1 export:1 procedures:1 properly:1 quoted:1 string:1 literals:1 identifiers:1 constructing:1 internal:1 statements:1 achieved:1 using:1 helper:1 methods:1 git:1 id:1 https:1 db:1 code:1 trunk:1;ImportExportTest.java;java/testing/org/apache/derbyTesting/functionTests/tests/tools/ImportExportTest.java;MODIFY;1;0;65;45;22;221.0;30.0;1424.0
DERBY;Apache DB Committee;database;DERBY-4042;4e83499f429f6ae45e7035d11fefdf6766b9d716;0;Knut Anders Hatlen;2009-02-04 11:22:22;Knut Anders Hatlen;2009-02-04 11:22:22;derby:2 double:2 quote:2 removed:1 file:1 name:1 used:1 test:1 caused:1 failures:1 windows:1 git:1 id:1 https:1 apache:1 db:1 code:1 trunk:1;ImportExportTest.java;java/testing/org/apache/derbyTesting/functionTests/tests/tools/ImportExportTest.java;MODIFY;1;0;49;22;23;238.0;32.0;1523.0
DERBY;Apache DB Committee;database;DERBY-4040;a4a66c4b0b68ab14cc65bf66cc859d9bf8c149d0;0;Kristian Waagan;2009-02-09 09:41:06;Kristian Waagan;2009-02-09 09:41:06;length:4 derby:3 character:2 stream:2 returns:1 wrong:1 data:1 values:1 asked:1 return:1 value:1 represented:1 skip:1 two:1 header:1 bytes:1 decode:1 whole:1 cause:1 bug:1 fixed:1 byte:1 used:1 patch:1 file:1 git:1 id:1 https:1 apache:1 db:1 code:1 trunk:1;SQLChar.java;java/engine/org/apache/derby/iapi/types/SQLChar.java;MODIFY;1;0;5;12;113;1589.0;356.0;8054.0
