Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
FLINK;Apache Flink Committee;big-data;FLINK-708;c0e76bc0cc296b23df98491ea730a73b43577ddf;0;Robert Metzger;2014-06-10 15:34:00;Robert Metzger;2014-06-10 19:41:38;fix:1 compatibility:1 yarn:1;ApplicationMaster.java;stratosphere-addons/yarn/src/main/java/eu/stratosphere/yarn/ApplicationMaster.java;MODIFY;1;0;1;5;2;237.0;25.0;2162.0
FLINK;Apache Flink Committee;big-data;FLINK-708;c0e76bc0cc296b23df98491ea730a73b43577ddf;0;Robert Metzger;2014-06-10 15:34:00;Robert Metzger;2014-06-10 19:41:38;fix:1 compatibility:1 yarn:1;Client.java;stratosphere-addons/yarn/src/main/java/eu/stratosphere/yarn/Client.java;MODIFY;1;0;1;1;5;460.0;56.0;4152.0
FLINK;Apache Flink Committee;big-data;FLINK-708;c0e76bc0cc296b23df98491ea730a73b43577ddf;0;Robert Metzger;2014-06-10 15:34:00;Robert Metzger;2014-06-10 19:41:38;fix:1 compatibility:1 yarn:1;Utils.java;stratosphere-addons/yarn/src/main/java/eu/stratosphere/yarn/Utils.java;MODIFY;1;0;40;3;12;200.0;32.0;1691.0
FLINK;Apache Flink Committee;big-data;FLINK-708;c0e76bc0cc296b23df98491ea730a73b43577ddf;0;Robert Metzger;2014-06-10 15:34:00;Robert Metzger;2014-06-10 19:41:38;fix:1 compatibility:1 yarn:1;yarn-session.sh;stratosphere-dist/src/main/stratosphere-bin/yarn-bin/yarn-session.sh;MODIFY;1;0;1;1;1;29.0;3.0;142.0
FLINK;Apache Flink Committee;big-data;FLINK-887;c0e76bc0cc296b23df98491ea730a73b43577ddf;0;Robert Metzger;2014-06-10 15:34:00;Robert Metzger;2014-06-10 19:41:38;fix:1 compatibility:1 yarn:1;ApplicationMaster.java;stratosphere-addons/yarn/src/main/java/eu/stratosphere/yarn/ApplicationMaster.java;MODIFY;1;0;1;5;2;237.0;25.0;2162.0
FLINK;Apache Flink Committee;big-data;FLINK-887;c0e76bc0cc296b23df98491ea730a73b43577ddf;0;Robert Metzger;2014-06-10 15:34:00;Robert Metzger;2014-06-10 19:41:38;fix:1 compatibility:1 yarn:1;Client.java;stratosphere-addons/yarn/src/main/java/eu/stratosphere/yarn/Client.java;MODIFY;1;0;1;1;5;460.0;56.0;4152.0
FLINK;Apache Flink Committee;big-data;FLINK-887;c0e76bc0cc296b23df98491ea730a73b43577ddf;0;Robert Metzger;2014-06-10 15:34:00;Robert Metzger;2014-06-10 19:41:38;fix:1 compatibility:1 yarn:1;Utils.java;stratosphere-addons/yarn/src/main/java/eu/stratosphere/yarn/Utils.java;MODIFY;1;0;40;3;12;200.0;32.0;1691.0
FLINK;Apache Flink Committee;big-data;FLINK-887;c0e76bc0cc296b23df98491ea730a73b43577ddf;0;Robert Metzger;2014-06-10 15:34:00;Robert Metzger;2014-06-10 19:41:38;fix:1 compatibility:1 yarn:1;yarn-session.sh;stratosphere-dist/src/main/stratosphere-bin/yarn-bin/yarn-session.sh;MODIFY;1;0;1;1;1;29.0;3.0;142.0
FLINK;Apache Flink Committee;big-data;FLINK-969;28863ee089bd0f81d6541a631c2d8699eaa71471;0;Stephan Ewen;2014-06-24 16:32:25;uce;2014-06-25 09:04:50;unify:1 clean:1 extend:1 environment:1 logging:1 startup:1 closes:1;JobManager.java;stratosphere-runtime/src/main/java/eu/stratosphere/nephele/jobmanager/JobManager.java;MODIFY;1;0;4;15;33;802.0;154.0;5951.0
FLINK;Apache Flink Committee;big-data;FLINK-969;28863ee089bd0f81d6541a631c2d8699eaa71471;0;Stephan Ewen;2014-06-24 16:32:25;uce;2014-06-25 09:04:50;unify:1 clean:1 extend:1 environment:1 logging:1 startup:1 closes:1;JobManagerUtils.java;stratosphere-runtime/src/main/java/eu/stratosphere/nephele/jobmanager/JobManagerUtils.java;MODIFY;1;0;3;45;5;87.0;22.0;580.0
