Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
FTPSERVER;Apache MINA Committee;network-server;FTPSERVER-256;0fe58af78fc805b025f78b32eeeeba38b64a0d77;0;Niklas Gustavsson;2009-01-06 19:29:06;Niklas Gustavsson;2009-01-06 19:29:06;fix:2 site:2 printing:1 instead:1 true:1 throwing:1 added:1 test:1 commands:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;SITE_DESCUSER.java;core/src/main/java/org/apache/ftpserver/command/impl/SITE_DESCUSER.java;MODIFY;1;0;1;1;1;82.0;7.0;685.0
FTPSERVER;Apache MINA Committee;network-server;FTPSERVER-256;0fe58af78fc805b025f78b32eeeeba38b64a0d77;0;Niklas Gustavsson;2009-01-06 19:29:06;Niklas Gustavsson;2009-01-06 19:29:06;fix:2 site:2 printing:1 instead:1 true:1 throwing:1 added:1 test:1 commands:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;DefaultFtpHandler.java;core/src/main/java/org/apache/ftpserver/impl/DefaultFtpHandler.java;MODIFY;1;0;4;0;9;141.0;25.0;904.0
FTPSERVER;Apache MINA Committee;network-server;FTPSERVER-256;0fe58af78fc805b025f78b32eeeeba38b64a0d77;0;Niklas Gustavsson;2009-01-06 19:29:06;Niklas Gustavsson;2009-01-06 19:29:06;fix:2 site:2 printing:1 instead:1 true:1 throwing:1 added:1 test:1 commands:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;SiteTest.java;core/src/test/java/org/apache/ftpserver/clienttests/SiteTest.java;ADD;1;1;76;0;3;34.0;3.0;311.0
FTPSERVER;Apache MINA Committee;network-server;FTPSERVER-257;0fe58af78fc805b025f78b32eeeeba38b64a0d77;0;Niklas Gustavsson;2009-01-06 19:29:06;Niklas Gustavsson;2009-01-06 19:29:06;fix:2 site:2 printing:1 instead:1 true:1 throwing:1 added:1 test:1 commands:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;SITE_DESCUSER.java;core/src/main/java/org/apache/ftpserver/command/impl/SITE_DESCUSER.java;MODIFY;1;0;1;1;1;82.0;7.0;685.0
FTPSERVER;Apache MINA Committee;network-server;FTPSERVER-257;0fe58af78fc805b025f78b32eeeeba38b64a0d77;0;Niklas Gustavsson;2009-01-06 19:29:06;Niklas Gustavsson;2009-01-06 19:29:06;fix:2 site:2 printing:1 instead:1 true:1 throwing:1 added:1 test:1 commands:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;DefaultFtpHandler.java;core/src/main/java/org/apache/ftpserver/impl/DefaultFtpHandler.java;MODIFY;1;0;4;0;9;141.0;25.0;904.0
FTPSERVER;Apache MINA Committee;network-server;FTPSERVER-257;0fe58af78fc805b025f78b32eeeeba38b64a0d77;0;Niklas Gustavsson;2009-01-06 19:29:06;Niklas Gustavsson;2009-01-06 19:29:06;fix:2 site:2 printing:1 instead:1 true:1 throwing:1 added:1 test:1 commands:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;SiteTest.java;core/src/test/java/org/apache/ftpserver/clienttests/SiteTest.java;ADD;1;1;76;0;3;34.0;3.0;311.0
FTPSERVER;Apache MINA Committee;network-server;FTPSERVER-258;55bc92b095c896a92b470350d8e66009b9f716cd;0;Niklas Gustavsson;2009-01-06 20:25:55;Niklas Gustavsson;2009-01-06 20:25:55;set:2 idle:2 enforce:1 user:1 max:1 time:1 within:1 boundary:1 listener:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;FtpIoSession.java;core/src/main/java/org/apache/ftpserver/impl/FtpIoSession.java;MODIFY;1;0;7;1;104;441.0;115.0;2522.0
FTPSERVER;Apache MINA Committee;network-server;FTPSERVER-258;55bc92b095c896a92b470350d8e66009b9f716cd;0;Niklas Gustavsson;2009-01-06 20:25:55;Niklas Gustavsson;2009-01-06 20:25:55;set:2 idle:2 enforce:1 user:1 max:1 time:1 within:1 boundary:1 listener:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;ListenerFactory.java;core/src/main/java/org/apache/ftpserver/listener/ListenerFactory.java;MODIFY;1;0;0;1;19;92.0;20.0;496.0
FTPSERVER;Apache MINA Committee;network-server;FTPSERVER-259;8ccc8195e534c1b9d0126e43c41e194c8ec76a3d;0;Niklas Gustavsson;2009-01-09 21:37:49;Niklas Gustavsson;2009-01-09 21:37:49;fix:1 statistics:1 wrong:1 number:1 connections:1 removed:1 directories:1 also:1 added:1 test:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;DefaultFtpHandler.java;core/src/main/java/org/apache/ftpserver/impl/DefaultFtpHandler.java;MODIFY;1;0;8;0;9;147.0;26.0;940.0
FTPSERVER;Apache MINA Committee;network-server;FTPSERVER-259;8ccc8195e534c1b9d0126e43c41e194c8ec76a3d;0;Niklas Gustavsson;2009-01-09 21:37:49;Niklas Gustavsson;2009-01-09 21:37:49;fix:1 statistics:1 wrong:1 number:1 connections:1 removed:1 directories:1 also:1 added:1 test:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;DefaultFtpStatistics.java;core/src/main/java/org/apache/ftpserver/impl/DefaultFtpStatistics.java;MODIFY;1;0;1;1;42;324.0;75.0;2011.0
FTPSERVER;Apache MINA Committee;network-server;FTPSERVER-259;8ccc8195e534c1b9d0126e43c41e194c8ec76a3d;0;Niklas Gustavsson;2009-01-09 21:37:49;Niklas Gustavsson;2009-01-09 21:37:49;fix:1 statistics:1 wrong:1 number:1 connections:1 removed:1 directories:1 also:1 added:1 test:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;SiteTest.java;core/src/test/java/org/apache/ftpserver/clienttests/SiteTest.java;MODIFY;1;1;60;5;4;76.0;4.0;785.0
FTPSERVER;Apache MINA Committee;network-server;FTPSERVER-261;8ccc8195e534c1b9d0126e43c41e194c8ec76a3d;0;Niklas Gustavsson;2009-01-09 21:37:49;Niklas Gustavsson;2009-01-09 21:37:49;fix:1 statistics:1 wrong:1 number:1 connections:1 removed:1 directories:1 also:1 added:1 test:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;DefaultFtpHandler.java;core/src/main/java/org/apache/ftpserver/impl/DefaultFtpHandler.java;MODIFY;1;0;8;0;9;147.0;26.0;940.0
FTPSERVER;Apache MINA Committee;network-server;FTPSERVER-261;8ccc8195e534c1b9d0126e43c41e194c8ec76a3d;0;Niklas Gustavsson;2009-01-09 21:37:49;Niklas Gustavsson;2009-01-09 21:37:49;fix:1 statistics:1 wrong:1 number:1 connections:1 removed:1 directories:1 also:1 added:1 test:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;DefaultFtpStatistics.java;core/src/main/java/org/apache/ftpserver/impl/DefaultFtpStatistics.java;MODIFY;1;0;1;1;42;324.0;75.0;2011.0
FTPSERVER;Apache MINA Committee;network-server;FTPSERVER-261;8ccc8195e534c1b9d0126e43c41e194c8ec76a3d;0;Niklas Gustavsson;2009-01-09 21:37:49;Niklas Gustavsson;2009-01-09 21:37:49;fix:1 statistics:1 wrong:1 number:1 connections:1 removed:1 directories:1 also:1 added:1 test:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;SiteTest.java;core/src/test/java/org/apache/ftpserver/clienttests/SiteTest.java;MODIFY;1;1;60;5;4;76.0;4.0;785.0
FTPSERVER;Apache MINA Committee;network-server;FTPSERVER-262;e9d553579f1e080c2fd86b38914d85d2ea0d1ddf;0;Niklas Gustavsson;2009-01-13 21:54:50;Niklas Gustavsson;2009-01-13 21:54:50;make:1 sure:1 dispose:1 user:1 session:1 ends:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;DefaultFtpHandler.java;core/src/main/java/org/apache/ftpserver/impl/DefaultFtpHandler.java;MODIFY;1;0;11;1;9;156.0;28.0;993.0
FTPSERVER;Apache MINA Committee;network-server;FTPSERVER-268;4ecf9da0d861e37772d77edda2698f8ad49933cc;0;David Latorre Gallego;2009-01-20 12:33:21;David Latorre Gallego;2009-01-20 12:33:21;bundled:1 sample:1 file:1 updated:1 new:1 database:1 configuration:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;ftpd-full.xml;distribution/res/conf/ftpd-full.xml;MODIFY;0;0;52;49;0;98.0;0.0;784.0
