Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-3;c3603e817d59ae2f3f05371bd03ea78e167d9fc5;0;Jakob Glen Homan;2011-08-26 01:13:47;Jakob Glen Homan;2011-08-26 01:13:47;vertex:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;PageRankBenchmark.java;src/main/java/org/apache/giraph/benchmark/PageRankBenchmark.java;MODIFY;1;0;1;1;8;137.0;20.0;907.0
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-3;c3603e817d59ae2f3f05371bd03ea78e167d9fc5;0;Jakob Glen Homan;2011-08-26 01:13:47;Jakob Glen Homan;2011-08-26 01:13:47;vertex:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;SimpleFailVertex.java;src/main/java/org/apache/giraph/examples/SimpleFailVertex.java;MODIFY;1;0;1;1;1;41.0;8.0;275.0
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-3;c3603e817d59ae2f3f05371bd03ea78e167d9fc5;0;Jakob Glen Homan;2011-08-26 01:13:47;Jakob Glen Homan;2011-08-26 01:13:47;vertex:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;SimplePageRankVertex.java;src/main/java/org/apache/giraph/examples/SimplePageRankVertex.java;MODIFY;1;0;1;1;9;162.0;15.0;1161.0
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-3;c3603e817d59ae2f3f05371bd03ea78e167d9fc5;0;Jakob Glen Homan;2011-08-26 01:13:47;Jakob Glen Homan;2011-08-26 01:13:47;vertex:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;BasicVertex.java;src/main/java/org/apache/giraph/graph/BasicVertex.java;MODIFY;1;0;1;1;0;32.0;0.0;206.0
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-3;c3603e817d59ae2f3f05371bd03ea78e167d9fc5;0;Jakob Glen Homan;2011-08-26 01:13:47;Jakob Glen Homan;2011-08-26 01:13:47;vertex:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;Vertex.java;src/main/java/org/apache/giraph/graph/Vertex.java;MODIFY;1;0;1;1;35;243.0;46.0;1527.0
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-6;71d2a937dada4a1032a5ae848dd5d73b20ab349c;0;Jakob Glen Homan;2011-08-26 20:05:37;Jakob Glen Homan;2011-08-26 20:05:37;remove:1 yahoo:1 specific:1 code:1 pom:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;pom.xml;pom.xml;MODIFY;0;0;1;22;0;245.0;0.0;1844.0
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-17;158fd55769c86a5b238b8b0a95febed5b4175787;0;Avery Ching;2011-08-30 16:14:45;Avery Ching;2011-08-30 16:14:45;give:1 properly:1 maximum:1 connect:1 attempts:1 aching:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;ZooKeeperManager.java;src/main/java/org/apache/giraph/zk/ZooKeeperManager.java;MODIFY;1;0;11;8;17;624.0;101.0;3610.0
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-24;95b491e43ad9bf459f281158d9c152cc3b291dcb;0;Jakob Glen Homan;2011-09-01 01:19:41;Jakob Glen Homan;2011-09-01 01:19:41;job:1 level:1 statistics:1 reports:1 one:1 greater:1 workers:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;CHANGELOG;CHANGELOG;MODIFY;0;0;3;0;0;7.0;0.0;73.0
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-24;95b491e43ad9bf459f281158d9c152cc3b291dcb;0;Jakob Glen Homan;2011-09-01 01:19:41;Jakob Glen Homan;2011-09-01 01:19:41;job:1 level:1 statistics:1 reports:1 one:1 greater:1 workers:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;BspServiceMaster.java;src/main/java/org/apache/giraph/graph/BspServiceMaster.java;MODIFY;1;0;3;1;25;1709.0;284.0;9665.0
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-25;dfc210bf549d618124d4b9195bf7de37c4533c78;0;Avery Ching;2011-09-08 18:47:19;Avery Ching;2011-09-08 18:47:19;failing:1 job:1 committed:1 aching:1 behalf:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;CHANGELOG;CHANGELOG;MODIFY;0;0;12;9;0;16.0;0.0;176.0
