Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
IO;Apache Commons Committee;library;IO-202;fe4ff5cb6f913bc48cca642f3236bbf0aa578c97;0;Niall Pemberton;2009-04-26 19:24:43;Niall Pemberton;2009-04-26 19:24:43;io:2 fix:1 documentation:1 incorrect:1 thanks:1 matthew:1 patch:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;NotFileFilter.java;src/java/org/apache/commons/io/filefilter/NotFileFilter.java;MODIFY;1;0;3;3;4;24;5;139
IO;Apache Commons Committee;library;IO-206;16f2923131b65748c5b6cf5a560f712383b003de;0;Niall Pemberton;2009-05-18 19:38:15;Niall Pemberton;2009-05-18 19:38:15;io:2 fix:1 misleading:1 parameter:1 names:1 thanks:1 patch:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;ProxyInputStream.java;src/java/org/apache/commons/io/input/ProxyInputStream.java;MODIFY;1;0;16;16;11;81;18;373
IO;Apache Commons Committee;library;IO-212;d0ccc55dacccf84bf81845366a947a707381939e;0;Jukka Zitting;2009-08-17 21:44:17;Jukka Zitting;2009-08-17 21:44:17;io:2 incorrect:1 skip:1 fixed:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;ProxyInputStream.java;src/java/org/apache/commons/io/input/ProxyInputStream.java;MODIFY;1;0;1;1;13;94;21;450
IO;Apache Commons Committee;library;IO-223;b5787a6d57af928d86a348907173f6907c76f104;0;Sebastian Bazley;2010-01-07 02:36:02;Sebastian Bazley;2010-01-07 02:36:02;io:2 copy:1 inconsistency:1 return:1 vs:1 throw:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;IOUtils.java;src/java/org/apache/commons/io/IOUtils.java;MODIFY;1;0;2;4;56;453;117;2775
IO;Apache Commons Committee;library;IO-231;d7b629b0288bfeaf7d9fbe93d608ebe8ffe6ee0b;0;Sebastian Bazley;2010-03-04 18:07:30;Sebastian Bazley;2010-03-04 18:07:30;io:2 generate:1 wrong:1 exception:1 message:1 method:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;FileUtils.java;src/java/org/apache/commons/io/FileUtils.java;MODIFY;1;0;2;2;68;863;240;5739
IO;Apache Commons Committee;library;IO-231;d7b629b0288bfeaf7d9fbe93d608ebe8ffe6ee0b;0;Sebastian Bazley;2010-03-04 18:07:30;Sebastian Bazley;2010-03-04 18:07:30;io:2 generate:1 wrong:1 exception:1 message:1 method:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;FileUtilsTestCase.java;src/test/org/apache/commons/io/FileUtilsTestCase.java;MODIFY;1;1;15;0;92;1242;169;9921
IO;Apache Commons Committee;library;IO-207;5526f2ed85647269b94d91353d72469822925b4e;0;Sebastian Bazley;2010-03-05 01:27:08;Sebastian Bazley;2010-03-05 01:27:08;io:2 race:1 condition:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;FileUtils.java;src/java/org/apache/commons/io/FileUtils.java;MODIFY;1;0;8;3;68;866;241;5750
IO;Apache Commons Committee;library;IO-205;65ba81b2035fa7d22d67b652a435b57f53eb4b6a;0;Sebastian Bazley;2010-03-05 01:40:50;Sebastian Bazley;2010-03-05 01:40:50;io:2 unclear:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;FileUtils.java;src/java/org/apache/commons/io/FileUtils.java;MODIFY;1;0;6;4;68;866;241;5751
IO;Apache Commons Committee;library;IO-220;bf30068bae7f930170030e705a5bdb4f4abce384;0;Niall Pemberton;2010-08-04 00:33:52;Niall Pemberton;2010-08-04 00:33:52;io:2 vector:1 performs:1 badly:1 load:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;FileCleaningTracker.java;src/java/org/apache/commons/io/FileCleaningTracker.java;MODIFY;1;0;3;2;11;84;20;535
IO;Apache Commons Committee;library;IO-235;9f4951abf0154d24cea4ab14e6df3afeced8b1e1;0;Niall Pemberton;2010-08-04 22:59:44;Niall Pemberton;2010-08-04 22:59:44;io:2 fix:1 test:1 case:1 unused:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;CopyUtilsTest.java;src/test/org/apache/commons/io/CopyUtilsTest.java;MODIFY;1;1;4;4;11;108;11;1005
