Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
ISIS;Apache Isis Committee;web-framework;ISIS-16;937ca96ba02e67f4c26a77cd3dc6697e6297ee99;0;Daniel Keir Haywood;2010-12-07 06:46:29;Daniel Keir Haywood;2010-12-07 06:46:29;isis:2 fixing:1 localization:1 issue:1 tests:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;pom.xml;pom.xml;MODIFY;0;0;1;1;0;1298.0;0.0;5714.0
ISIS;Apache Isis Committee;web-framework;ISIS-16;937ca96ba02e67f4c26a77cd3dc6697e6297ee99;0;Daniel Keir Haywood;2010-12-07 06:46:29;Daniel Keir Haywood;2010-12-07 06:46:29;isis:2 fixing:1 localization:1 issue:1 tests:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;NewClaimDefaultsOkStory.html;support/prototype/viewer-bdd/src/test/resources/org/apache/isis/support/prototype/stories/NewClaimDefaultsOkStory.html;MODIFY;0;0;6;1;0;174.0;0.0;1352.0
ISIS;Apache Isis Committee;web-framework;ISIS-16;937ca96ba02e67f4c26a77cd3dc6697e6297ee99;0;Daniel Keir Haywood;2010-12-07 06:46:29;Daniel Keir Haywood;2010-12-07 06:46:29;isis:2 fixing:1 localization:1 issue:1 tests:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;Story.java;viewer/bdd/common/src/main/java/org/apache/isis/viewer/bdd/common/Story.java;MODIFY;1;0;17;0;20;147.0;24.0;1238.0
ISIS;Apache Isis Committee;web-framework;ISIS-16;937ca96ba02e67f4c26a77cd3dc6697e6297ee99;0;Daniel Keir Haywood;2010-12-07 06:46:29;Daniel Keir Haywood;2010-12-07 06:46:29;isis:2 fixing:1 localization:1 issue:1 tests:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;UsingIsisViewerPeer.java;viewer/bdd/common/src/main/java/org/apache/isis/viewer/bdd/common/fixtures/UsingIsisViewerPeer.java;MODIFY;1;0;12;1;22;268.0;51.0;2283.0
ISIS;Apache Isis Committee;web-framework;ISIS-16;937ca96ba02e67f4c26a77cd3dc6697e6297ee99;0;Daniel Keir Haywood;2010-12-07 06:46:29;Daniel Keir Haywood;2010-12-07 06:46:29;isis:2 fixing:1 localization:1 issue:1 tests:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;PerformContext.java;viewer/bdd/common/src/main/java/org/apache/isis/viewer/bdd/common/fixtures/perform/PerformContext.java;MODIFY;1;0;5;0;12;72.0;14.0;491.0
ISIS;Apache Isis Committee;web-framework;ISIS-16;937ca96ba02e67f4c26a77cd3dc6697e6297ee99;0;Daniel Keir Haywood;2010-12-07 06:46:29;Daniel Keir Haywood;2010-12-07 06:46:29;isis:2 fixing:1 localization:1 issue:1 tests:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;Contains.java;viewer/bdd/common/src/main/java/org/apache/isis/viewer/bdd/common/fixtures/perform/checkthat/property/Contains.java;MODIFY;1;0;22;0;2;65.0;12.0;566.0
ISIS;Apache Isis Committee;web-framework;ISIS-16;937ca96ba02e67f4c26a77cd3dc6697e6297ee99;0;Daniel Keir Haywood;2010-12-07 06:46:29;Daniel Keir Haywood;2010-12-07 06:46:29;isis:2 fixing:1 localization:1 issue:1 tests:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;pom.xml;viewer/bdd/concordion/pom.xml;MODIFY;0;0;1;1;0;41.0;0.0;296.0
ISIS;Apache Isis Committee;web-framework;ISIS-16;937ca96ba02e67f4c26a77cd3dc6697e6297ee99;0;Daniel Keir Haywood;2010-12-07 06:46:29;Daniel Keir Haywood;2010-12-07 06:46:29;isis:2 fixing:1 localization:1 issue:1 tests:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;AbstractIsisConcordionTest.java;viewer/bdd/concordion/src/main/java/org/apache/isis/viewer/bdd/concordion/AbstractIsisConcordionTest.java;MODIFY;1;0;22;12;54;311.0;69.0;2741.0
ISIS;Apache Isis Committee;web-framework;ISIS-16;937ca96ba02e67f4c26a77cd3dc6697e6297ee99;0;Daniel Keir Haywood;2010-12-07 06:46:29;Daniel Keir Haywood;2010-12-07 06:46:29;isis:2 fixing:1 localization:1 issue:1 tests:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;IsisExecuteCommandWithHeader.java;viewer/bdd/concordion/src/main/java/org/apache/isis/viewer/bdd/concordion/internal/concordion/ExecuteCommandWithHeader.java;RENAME;1;0;4;3;4;72.0;11.0;459.0
ISIS;Apache Isis Committee;web-framework;ISIS-16;937ca96ba02e67f4c26a77cd3dc6697e6297ee99;0;Daniel Keir Haywood;2010-12-07 06:46:29;Daniel Keir Haywood;2010-12-07 06:46:29;isis:2 fixing:1 localization:1 issue:1 tests:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;UsingIsisViewerForConcordion.java;viewer/bdd/concordion/src/main/java/org/apache/isis/viewer/bdd/concordion/internal/fixtures/UsingIsisViewerForConcordion.java;MODIFY;1;0;5;3;7;118.0;15.0;1023.0
