Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
IVY;Apache Ant Committee;build-management;IVY-995;22cbde0e563f8578c10993fe79d15024277fe39c;0;Maarten Coene;2009-01-12 22:37:56;Maarten Coene;2009-01-12 22:37:56;ivy:2 fix:1 merged:1 branch:1 git:1 id:1 https:1 apache:1 ant:1 core:1 trunk:1;PomModuleDescriptorBuilder.java;src/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorBuilder.java;MODIFY;1;0;4;8;33;422.0;71.0;3372.0
IVY;Apache Ant Committee;build-management;IVY-999;db2ccbe53689c54303b6498eb63ad8c7d9c66777;0;Maarten Coene;2009-01-14 21:22:01;Maarten Coene;2009-01-14 21:22:01;ivy:3 fix:1 deliver:1 fails:1 replace:1 dynamic:1 revision:1 thanks:1 martin:1 git:1 id:1 https:1 apache:1 ant:1 core:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;2;0;0;;;
IVY;Apache Ant Committee;build-management;IVY-999;db2ccbe53689c54303b6498eb63ad8c7d9c66777;0;Maarten Coene;2009-01-14 21:22:01;Maarten Coene;2009-01-14 21:22:01;ivy:3 fix:1 deliver:1 fails:1 replace:1 dynamic:1 revision:1 thanks:1 martin:1 git:1 id:1 https:1 apache:1 ant:1 core:1 trunk:1;IvySettings.java;src/java/org/apache/ivy/core/settings/IvySettings.java;MODIFY;1;0;1;0;162;1102.0;259.0;7292.0
IVY;Apache Ant Committee;build-management;IVY-999;db2ccbe53689c54303b6498eb63ad8c7d9c66777;0;Maarten Coene;2009-01-14 21:22:01;Maarten Coene;2009-01-14 21:22:01;ivy:3 fix:1 deliver:1 fails:1 replace:1 dynamic:1 revision:1 thanks:1 martin:1 git:1 id:1 https:1 apache:1 ant:1 core:1 trunk:1;LatestConflictManager.java;src/java/org/apache/ivy/plugins/conflict/LatestConflictManager.java;MODIFY;1;0;15;0;13;109.0;28.0;723.0
IVY;Apache Ant Committee;build-management;IVY-999;db2ccbe53689c54303b6498eb63ad8c7d9c66777;0;Maarten Coene;2009-01-14 21:22:01;Maarten Coene;2009-01-14 21:22:01;ivy:3 fix:1 deliver:1 fails:1 replace:1 dynamic:1 revision:1 thanks:1 martin:1 git:1 id:1 https:1 apache:1 ant:1 core:1 trunk:1;ResolveTest.java;test/java/org/apache/ivy/core/resolve/ResolveTest.java;MODIFY;1;0;16;0;212;3200.0;232.0;33596.0
IVY;Apache Ant Committee;build-management;IVY-999;db2ccbe53689c54303b6498eb63ad8c7d9c66777;0;Maarten Coene;2009-01-14 21:22:01;Maarten Coene;2009-01-14 21:22:01;ivy:3 fix:1 deliver:1 fails:1 replace:1 dynamic:1 revision:1 thanks:1 martin:1 git:1 id:1 https:1 apache:1 ant:1 core:1 trunk:1;ivy-999.xml;test/java/org/apache/ivy/core/resolve/ivy-999.xml;ADD;0;0;26;0;0;24.0;0.0;206.0
IVY;Apache Ant Committee;build-management;IVY-999;db2ccbe53689c54303b6498eb63ad8c7d9c66777;0;Maarten Coene;2009-01-14 21:22:01;Maarten Coene;2009-01-14 21:22:01;ivy:3 fix:1 deliver:1 fails:1 replace:1 dynamic:1 revision:1 thanks:1 martin:1 git:1 id:1 https:1 apache:1 ant:1 core:1 trunk:1;ivysettings.xml;test/repositories/IVY-999/ivysettings.xml;ADD;0;0;27;0;0;25.0;0.0;178.0
IVY;Apache Ant Committee;build-management;IVY-999;db2ccbe53689c54303b6498eb63ad8c7d9c66777;0;Maarten Coene;2009-01-14 21:22:01;Maarten Coene;2009-01-14 21:22:01;ivy:3 fix:1 deliver:1 fails:1 replace:1 dynamic:1 revision:1 thanks:1 martin:1 git:1 id:1 https:1 apache:1 ant:1 core:1 trunk:1;ivy-3.8.xml;test/repositories/IVY-999/junit/junit/ivy-3.8.xml;ADD;0;0;22;0;0;20.0;0.0;170.0
IVY;Apache Ant Committee;build-management;IVY-999;db2ccbe53689c54303b6498eb63ad8c7d9c66777;0;Maarten Coene;2009-01-14 21:22:01;Maarten Coene;2009-01-14 21:22:01;ivy:3 fix:1 deliver:1 fails:1 replace:1 dynamic:1 revision:1 thanks:1 martin:1 git:1 id:1 https:1 apache:1 ant:1 core:1 trunk:1;ivy-4.4.xml;test/repositories/IVY-999/junit/junit/ivy-4.4.xml;ADD;0;0;22;0;0;20.0;0.0;170.0
IVY;Apache Ant Committee;build-management;IVY-999;db2ccbe53689c54303b6498eb63ad8c7d9c66777;0;Maarten Coene;2009-01-14 21:22:01;Maarten Coene;2009-01-14 21:22:01;ivy:3 fix:1 deliver:1 fails:1 replace:1 dynamic:1 revision:1 thanks:1 martin:1 git:1 id:1 https:1 apache:1 ant:1 core:1 trunk:1;ivy-1.xml;test/repositories/IVY-999/test/a/ivy-1.xml;ADD;0;0;25;0;0;23.0;0.0;190.0
IVY;Apache Ant Committee;build-management;IVY-999;db2ccbe53689c54303b6498eb63ad8c7d9c66777;0;Maarten Coene;2009-01-14 21:22:01;Maarten Coene;2009-01-14 21:22:01;ivy:3 fix:1 deliver:1 fails:1 replace:1 dynamic:1 revision:1 thanks:1 martin:1 git:1 id:1 https:1 apache:1 ant:1 core:1 trunk:1;ivy-1.5.xml;test/repositories/IVY-999/test/b/ivy-1.5.xml;ADD;0;0;26;0;0;24.0;0.0;199.0
IVY;Apache Ant Committee;build-management;IVY-1012;0309c6333348d91761617c81f1ee757480eda7c7;0;Xavier Hanin;2009-01-24 11:00:40;Xavier Hanin;2009-01-24 11:00:40;ivy:2 fix:1 work:1 expected:1 git:1 id:1 https:1 apache:1 ant:1 core:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;1;0;0;;;
IVY;Apache Ant Committee;build-management;IVY-1012;0309c6333348d91761617c81f1ee757480eda7c7;0;Xavier Hanin;2009-01-24 11:00:40;Xavier Hanin;2009-01-24 11:00:40;ivy:2 fix:1 work:1 expected:1 git:1 id:1 https:1 apache:1 ant:1 core:1 trunk:1;DefaultRepositoryCacheManager.java;src/java/org/apache/ivy/core/cache/DefaultRepositoryCacheManager.java;MODIFY;1;0;2;6;78;850.0;174.0;5743.0
