Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-24;c63b9329623546ad30319ba8dd0bcee73f36d785;0;Andrew Bayer;2013-05-10 21:05:17;Andrew Bayer;2013-05-10 21:52:37;add:1 rat:1 check:1;pom.xml;pom.xml;MODIFY;0;0;38;1;0;147.0;0.0;1012.0
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-24;f4c70f77e578009cbdd2f1d87acc22c9c91fddf9;0;Andrew Bayer;2013-05-10 23:55:13;Andrew Bayer;2013-05-12 14:40:04;fixing:1 repository:1 builds:1;pom.xml;pom.xml;MODIFY;0;0;1;1;0;146.0;0.0;1002.0
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-52;7cf8d611afa260970060c4f63c823bf553cc2df9;0;Andrew Phillips;2013-05-16 16:15:37;Andrew Phillips;2013-05-16 17:37:13;updating:1 search:1 apache:1 group:1 id:1 changed:1;JcloudsVersion.java;core/src/main/java/org/jclouds/JcloudsVersion.java;MODIFY;1;0;1;1;6;99.0;10.0;599.0
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-52;7cf8d611afa260970060c4f63c823bf553cc2df9;0;Andrew Phillips;2013-05-16 16:15:37;Andrew Phillips;2013-05-16 17:37:13;updating:1 search:1 apache:1 group:1 id:1 changed:1;pom.properties;core/src/test/resources/META-INF/maven/org.jclouds/jclouds-core/pom.properties;RENAME;0;0;1;1;0;3.0;0.0;21.0
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-99;5f524ee6c91916bfbda15d484a47315c1f0ece6e;0;Andrew Bayer;2013-06-26 20:48:17;Andrew Bayer;2013-06-26 21:59:01;compute:4 tests:3 rules:2 add:1 adds:1 stub:1 support:1 gets:1 actually:1 build:1 unifies:1 eliminating:1 converters:1 nova:1 latter:1 two:1 depends:1;CloudStackComputeService.java;apis/cloudstack/src/main/java/org/jclouds/cloudstack/compute/CloudStackComputeService.java;MODIFY;1;0;4;2;6;146.0;12.0;1457.0
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-99;5f524ee6c91916bfbda15d484a47315c1f0ece6e;0;Andrew Bayer;2013-06-26 20:48:17;Andrew Bayer;2013-06-26 21:59:01;compute:4 tests:3 rules:2 add:1 adds:1 stub:1 support:1 gets:1 actually:1 build:1 unifies:1 eliminating:1 converters:1 nova:1 latter:1 two:1 depends:1;CloudStackComputeServiceContextModule.java;apis/cloudstack/src/main/java/org/jclouds/cloudstack/compute/config/CloudStackComputeServiceContextModule.java;MODIFY;1;0;8;0;13;229.0;14.0;2147.0
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-99;5f524ee6c91916bfbda15d484a47315c1f0ece6e;0;Andrew Bayer;2013-06-26 20:48:17;Andrew Bayer;2013-06-26 21:59:01;compute:4 tests:3 rules:2 add:1 adds:1 stub:1 support:1 gets:1 actually:1 build:1 unifies:1 eliminating:1 converters:1 nova:1 latter:1 two:1 depends:1;CloudStackSecurityGroupToSecurityGroup.java;apis/cloudstack/src/main/java/org/jclouds/cloudstack/compute/functions/CloudStackSecurityGroupToSecurityGroup.java;ADD;1;0;74;0;2;40.0;2.0;355.0
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-99;5f524ee6c91916bfbda15d484a47315c1f0ece6e;0;Andrew Bayer;2013-06-26 20:48:17;Andrew Bayer;2013-06-26 21:59:01;compute:4 tests:3 rules:2 add:1 adds:1 stub:1 support:1 gets:1 actually:1 build:1 unifies:1 eliminating:1 converters:1 nova:1 latter:1 two:1 depends:1;IngressRuleToIpPermission.java;apis/cloudstack/src/main/java/org/jclouds/cloudstack/compute/functions/IngressRuleToIpPermission.java;ADD;1;0;55;0;2;25.0;2.0;202.0
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-99;5f524ee6c91916bfbda15d484a47315c1f0ece6e;0;Andrew Bayer;2013-06-26 20:48:17;Andrew Bayer;2013-06-26 21:59:01;compute:4 tests:3 rules:2 add:1 adds:1 stub:1 support:1 gets:1 actually:1 build:1 unifies:1 eliminating:1 converters:1 nova:1 latter:1 two:1 depends:1;CloudStackSecurityGroupToSecurityGroupTest.java;apis/cloudstack/src/test/java/org/jclouds/cloudstack/compute/functions/CloudStackSecurityGroupToSecurityGroupTest.java;ADD;1;1;80;0;2;47.0;2.0;408.0
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-99;5f524ee6c91916bfbda15d484a47315c1f0ece6e;0;Andrew Bayer;2013-06-26 20:48:17;Andrew Bayer;2013-06-26 21:59:01;compute:4 tests:3 rules:2 add:1 adds:1 stub:1 support:1 gets:1 actually:1 build:1 unifies:1 eliminating:1 converters:1 nova:1 latter:1 two:1 depends:1;IngressRuleToIpPermissionTest.java;apis/cloudstack/src/test/java/org/jclouds/cloudstack/compute/functions/IngressRuleToIpPermissionTest.java;ADD;1;1;61;0;1;30.0;1.0;266.0
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-99;5f524ee6c91916bfbda15d484a47315c1f0ece6e;0;Andrew Bayer;2013-06-26 20:48:17;Andrew Bayer;2013-06-26 21:59:01;compute:4 tests:3 rules:2 add:1 adds:1 stub:1 support:1 gets:1 actually:1 build:1 unifies:1 eliminating:1 converters:1 nova:1 latter:1 two:1 depends:1;security_group2.clj;apis/ec2/src/main/clojure/org/jclouds/ec2/security_group2.clj;MODIFY;1;0;3;3;0;93.0;0.0;524.0
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-99;5f524ee6c91916bfbda15d484a47315c1f0ece6e;0;Andrew Bayer;2013-06-26 20:48:17;Andrew Bayer;2013-06-26 21:59:01;compute:4 tests:3 rules:2 add:1 adds:1 stub:1 support:1 gets:1 actually:1 build:1 unifies:1 eliminating:1 converters:1 nova:1 latter:1 two:1 depends:1;BindIpPermissionToIndexedFormParams.java;apis/ec2/src/main/java/org/jclouds/ec2/binders/BindIpPermissionToIndexedFormParams.java;MODIFY;1;0;1;1;1;16.0;1.0;156.0
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-99;5f524ee6c91916bfbda15d484a47315c1f0ece6e;0;Andrew Bayer;2013-06-26 20:48:17;Andrew Bayer;2013-06-26 21:59:01;compute:4 tests:3 rules:2 add:1 adds:1 stub:1 support:1 gets:1 actually:1 build:1 unifies:1 eliminating:1 converters:1 nova:1 latter:1 two:1 depends:1;BindIpPermissionsToIndexedFormParams.java;apis/ec2/src/main/java/org/jclouds/ec2/binders/BindIpPermissionsToIndexedFormParams.java;MODIFY;1;0;1;1;1;23.0;3.0;236.0
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-99;5f524ee6c91916bfbda15d484a47315c1f0ece6e;0;Andrew Bayer;2013-06-26 20:48:17;Andrew Bayer;2013-06-26 21:59:01;compute:4 tests:3 rules:2 add:1 adds:1 stub:1 support:1 gets:1 actually:1 build:1 unifies:1 eliminating:1 converters:1 nova:1 latter:1 two:1 depends:1;EC2ComputeService.java;apis/ec2/src/main/java/org/jclouds/ec2/compute/EC2ComputeService.java;MODIFY;1;0;4;2;12;259.0;34.0;2573.0
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-99;5f524ee6c91916bfbda15d484a47315c1f0ece6e;0;Andrew Bayer;2013-06-26 20:48:17;Andrew Bayer;2013-06-26 21:59:01;compute:4 tests:3 rules:2 add:1 adds:1 stub:1 support:1 gets:1 actually:1 build:1 unifies:1 eliminating:1 converters:1 nova:1 latter:1 two:1 depends:1;EC2ComputeServiceContextModule.java;apis/ec2/src/main/java/org/jclouds/ec2/compute/config/EC2ComputeServiceContextModule.java;MODIFY;1;0;5;0;9;106.0;15.0;896.0
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-99;5f524ee6c91916bfbda15d484a47315c1f0ece6e;0;Andrew Bayer;2013-06-26 20:48:17;Andrew Bayer;2013-06-26 21:59:01;compute:4 tests:3 rules:2 add:1 adds:1 stub:1 support:1 gets:1 actually:1 build:1 unifies:1 eliminating:1 converters:1 nova:1 latter:1 two:1 depends:1;EC2ComputeServiceDependenciesModule.java;apis/ec2/src/main/java/org/jclouds/ec2/compute/config/EC2ComputeServiceDependenciesModule.java;MODIFY;1;0;8;0;9;153.0;10.0;1470.0
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-99;5f524ee6c91916bfbda15d484a47315c1f0ece6e;0;Andrew Bayer;2013-06-26 20:48:17;Andrew Bayer;2013-06-26 21:59:01;compute:4 tests:3 rules:2 add:1 adds:1 stub:1 support:1 gets:1 actually:1 build:1 unifies:1 eliminating:1 converters:1 nova:1 latter:1 two:1 depends:1;EC2SecurityGroupExtension.java;apis/ec2/src/main/java/org/jclouds/ec2/compute/extensions/EC2SecurityGroupExtension.java;ADD;1;0;384;0;20;302.0;54.0;2412.0
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-99;5f524ee6c91916bfbda15d484a47315c1f0ece6e;0;Andrew Bayer;2013-06-26 20:48:17;Andrew Bayer;2013-06-26 21:59:01;compute:4 tests:3 rules:2 add:1 adds:1 stub:1 support:1 gets:1 actually:1 build:1 unifies:1 eliminating:1 converters:1 nova:1 latter:1 two:1 depends:1;EC2SecurityGroupToSecurityGroup.java;apis/ec2/src/main/java/org/jclouds/ec2/compute/functions/EC2SecurityGroupToSecurityGroup.java;ADD;1;0;95;0;3;58.0;5.0;468.0
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-99;5f524ee6c91916bfbda15d484a47315c1f0ece6e;0;Andrew Bayer;2013-06-26 20:48:17;Andrew Bayer;2013-06-26 21:59:01;compute:4 tests:3 rules:2 add:1 adds:1 stub:1 support:1 gets:1 actually:1 build:1 unifies:1 eliminating:1 converters:1 nova:1 latter:1 two:1 depends:1;CreateSecurityGroupIfNeeded.java;apis/ec2/src/main/java/org/jclouds/ec2/compute/loaders/CreateSecurityGroupIfNeeded.java;MODIFY;1;0;1;1;6;74.0;10.0;627.0
