Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
KAFKA;Apache Kafka Committee;big-data;KAFKA-83;f7046c247dd466c90337bb39a4612115c3e41923;0;Jun Rao;2011-08-07 23:56:05;Jun Rao;2011-08-07 23:56:05;kafka:2 options:1 leak:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;ProducerPool.scala;core/src/main/scala/kafka/producer/ProducerPool.scala;MODIFY;1;0;4;13;4;130.0;23.0;1022.0
KAFKA;Apache Kafka Committee;big-data;KAFKA-88;ed34f0cb35cf7ec1a6837ba5180d05a9659e0d37;0;Jun Rao;2011-08-08 18:27:54;Jun Rao;2011-08-08 18:27:54;kafka:2 change:1 default:1 connection:1 limit:1 infinite:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;zookeeper.properties;config/zookeeper.properties;MODIFY;0;0;2;0;0;3.0;0.0;12.0
KAFKA;Apache Kafka Committee;big-data;KAFKA-94;944da579ba1828586b1b000fcd5cad6076abbcd3;0;Jun Rao;2011-08-12 02:09:56;Jun Rao;2011-08-12 02:09:56;kafka:2 throw:1 startup:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;KafkaServer.scala;core/src/main/scala/kafka/server/KafkaServer.scala;MODIFY;1;0;4;2;2;77.0;10.0;465.0
KAFKA;Apache Kafka Committee;big-data;KAFKA-102;7976993f9e20d7448105e50e1dca74ecf8bc1ea3;0;Edward Jay Kreps;2011-08-15 17:31:35;Edward Jay Kreps;2011-08-15 17:31:35;kafka:2 patch:1 blake:1 clean:1 logging:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;LogManager.scala;core/src/main/scala/kafka/log/LogManager.scala;MODIFY;1;0;2;2;12;229.0;50.0;1502.0
KAFKA;Apache Kafka Committee;big-data;KAFKA-102;7976993f9e20d7448105e50e1dca74ecf8bc1ea3;0;Edward Jay Kreps;2011-08-15 17:31:35;Edward Jay Kreps;2011-08-15 17:31:35;kafka:2 patch:1 blake:1 clean:1 logging:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;KafkaRequestHandlers.scala;core/src/main/scala/kafka/server/KafkaRequestHandlers.scala;MODIFY;1;0;2;2;8;102.0;27.0;765.0
KAFKA;Apache Kafka Committee;big-data;KAFKA-98;6d1b6f28270e0bfc0678bd69fbb77341cef74d51;0;Edward Jay Kreps;2011-08-15 17:34:24;Edward Jay Kreps;2011-08-15 17:34:24;kafka:3 fix:1 ports:1 unit:1 tests:1 run:1 running:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;BackwardsCompatibilityTest.scala;core/src/test/scala/unit/kafka/integration/BackwardsCompatibilityTest.scala;MODIFY;1;1;1;1;3;51.0;4.0;330.0
KAFKA;Apache Kafka Committee;big-data;KAFKA-98;6d1b6f28270e0bfc0678bd69fbb77341cef74d51;0;Edward Jay Kreps;2011-08-15 17:34:24;Edward Jay Kreps;2011-08-15 17:34:24;kafka:3 fix:1 ports:1 unit:1 tests:1 run:1 running:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;LazyInitProducerTest.scala;core/src/test/scala/unit/kafka/integration/LazyInitProducerTest.scala;MODIFY;1;1;1;1;6;132.0;25.0;1077.0
KAFKA;Apache Kafka Committee;big-data;KAFKA-98;6d1b6f28270e0bfc0678bd69fbb77341cef74d51;0;Edward Jay Kreps;2011-08-15 17:34:24;Edward Jay Kreps;2011-08-15 17:34:24;kafka:3 fix:1 ports:1 unit:1 tests:1 run:1 running:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;LogCorruptionTest.scala;core/src/test/scala/unit/kafka/integration/LogCorruptionTest.scala;MODIFY;1;1;1;1;1;80.0;12.0;553.0
KAFKA;Apache Kafka Committee;big-data;KAFKA-98;6d1b6f28270e0bfc0678bd69fbb77341cef74d51;0;Edward Jay Kreps;2011-08-15 17:34:24;Edward Jay Kreps;2011-08-15 17:34:24;kafka:3 fix:1 ports:1 unit:1 tests:1 run:1 running:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;PrimitiveApiTest.scala;core/src/test/scala/unit/kafka/integration/PrimitiveApiTest.scala;MODIFY;1;1;3;3;6;193.0;32.0;1495.0
KAFKA;Apache Kafka Committee;big-data;KAFKA-98;6d1b6f28270e0bfc0678bd69fbb77341cef74d51;0;Edward Jay Kreps;2011-08-15 17:34:24;Edward Jay Kreps;2011-08-15 17:34:24;kafka:3 fix:1 ports:1 unit:1 tests:1 run:1 running:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;ProducerTest.scala;core/src/test/scala/unit/kafka/producer/ProducerTest.scala;MODIFY;1;1;5;4;21;529.0;37.0;4303.0
