Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
LANG;Apache Commons Committee;library;LANG-477;a38e2e942d622c1a84ed35bedb9aba045db7ab79;0;Niall Pemberton;2009-01-09 22:05:14;Niall Pemberton;2009-01-09 22:05:14;fix:1 custom:1 format:1 registry:1 pattern:1 containing:1 single:1 quotes:1 thanks:1 duncan:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;ExtendedMessageFormat.java;src/java/org/apache/commons/lang/text/ExtendedMessageFormat.java;MODIFY;1;0;1;0;19;275.0;69.0;1889.0
LANG;Apache Commons Committee;library;LANG-477;a38e2e942d622c1a84ed35bedb9aba045db7ab79;0;Niall Pemberton;2009-01-09 22:05:14;Niall Pemberton;2009-01-09 22:05:14;fix:1 custom:1 format:1 registry:1 pattern:1 containing:1 single:1 quotes:1 thanks:1 duncan:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;ExtendedMessageFormatTest.java;src/test/org/apache/commons/lang/text/ExtendedMessageFormatTest.java;MODIFY;1;1;9;0;23;223.0;35.0;2020.0
LANG;Apache Commons Committee;library;LANG-480;c0683957931ffa3df218ff68ca31e257174a6466;0;Henri Yandell;2009-03-01 20:54:40;Henri Yandell;2009-03-01 20:54:40;applying:1 alexander:1 patch:1 along:1 unit:1 test:1 made:1 example:1 fixes:1 conversion:1 u:1 done:1 characters:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;Entities.java;src/java/org/apache/commons/lang/Entities.java;MODIFY;1;0;7;2;0;;;
LANG;Apache Commons Committee;library;LANG-480;c0683957931ffa3df218ff68ca31e257174a6466;0;Henri Yandell;2009-03-01 20:54:40;Henri Yandell;2009-03-01 20:54:40;applying:1 alexander:1 patch:1 along:1 unit:1 test:1 made:1 example:1 fixes:1 conversion:1 u:1 done:1 characters:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;StringEscapeUtilsTest.java;src/test/org/apache/commons/lang/StringEscapeUtilsTest.java;MODIFY;1;1;14;0;28;324.0;54.0;2455.0
LANG;Apache Commons Committee;library;LANG-478;ef718fccdf9c952935f3e8ddaf1b2cb6b56cb17d;0;Henri Yandell;2009-03-01 21:02:57;Henri Yandell;2009-03-01 21:02:57;removing:1 notion:1 special:1 state:1 value:1 code:1 changed:1 back:1 properly:1 defined:1 states:1 helps:1 prepare:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;StopWatch.java;src/java/org/apache/commons/lang/time/StopWatch.java;MODIFY;1;0;2;7;13;94.0;28.0;553.0
LANG;Apache Commons Committee;library;LANG-478;cb8a0d43eade243f6bcfb391bb5865b0d49366e0;0;Henri Yandell;2009-03-01 21:18:18;Henri Yandell;2009-03-01 21:18:18;applying:1 patch:1 moving:1 stopwatch:1 using:1 hood:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;StopWatch.java;src/java/org/apache/commons/lang/time/StopWatch.java;MODIFY;1;0;52;7;15;103.0;30.0;603.0
LANG;Apache Commons Committee;library;LANG-481;ab66a1d87cc37e41940bfde98a55066c35ca0f75;0;Henri Yandell;2009-09-07 17:56:30;Henri Yandell;2009-09-07 17:56:30;thread:2 variable:2 local:2 applying:1 patch:1 improve:1 safety:1 range:1 classes:1 previous:1 code:1 reuse:1 operations:1 means:1 utterly:1 non:1 safe:1 uses:1 worst:1 case:1 calculated:1 multiple:1 times:1 ending:1 different:1 values:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;DoubleRange.java;src/java/org/apache/commons/lang/math/DoubleRange.java;MODIFY;1;0;7;5;21;190.0;52.0;1038.0
LANG;Apache Commons Committee;library;LANG-481;ab66a1d87cc37e41940bfde98a55066c35ca0f75;0;Henri Yandell;2009-09-07 17:56:30;Henri Yandell;2009-09-07 17:56:30;thread:2 variable:2 local:2 applying:1 patch:1 improve:1 safety:1 range:1 classes:1 previous:1 code:1 reuse:1 operations:1 means:1 utterly:1 non:1 safe:1 uses:1 worst:1 case:1 calculated:1 multiple:1 times:1 ending:1 different:1 values:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;FloatRange.java;src/java/org/apache/commons/lang/math/FloatRange.java;MODIFY;1;0;7;5;21;188.0;52.0;995.0
LANG;Apache Commons Committee;library;LANG-481;ab66a1d87cc37e41940bfde98a55066c35ca0f75;0;Henri Yandell;2009-09-07 17:56:30;Henri Yandell;2009-09-07 17:56:30;thread:2 variable:2 local:2 applying:1 patch:1 improve:1 safety:1 range:1 classes:1 previous:1 code:1 reuse:1 operations:1 means:1 utterly:1 non:1 safe:1 uses:1 worst:1 case:1 calculated:1 multiple:1 times:1 ending:1 different:1 values:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;IntRange.java;src/java/org/apache/commons/lang/math/IntRange.java;MODIFY;1;0;7;5;22;182.0;47.0;912.0
LANG;Apache Commons Committee;library;LANG-481;ab66a1d87cc37e41940bfde98a55066c35ca0f75;0;Henri Yandell;2009-09-07 17:56:30;Henri Yandell;2009-09-07 17:56:30;thread:2 variable:2 local:2 applying:1 patch:1 improve:1 safety:1 range:1 classes:1 previous:1 code:1 reuse:1 operations:1 means:1 utterly:1 non:1 safe:1 uses:1 worst:1 case:1 calculated:1 multiple:1 times:1 ending:1 different:1 values:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;LongRange.java;src/java/org/apache/commons/lang/math/LongRange.java;MODIFY;1;0;7;5;22;182.0;47.0;951.0
