Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
LIBCLOUD;Apache Libcloud Committee;cloud;LIBCLOUD-5;2f0e8b64c9767f5447cf359ce5bfe647e4836310;0;Paul Querna;2010-02-02 23:40:40;Paul Querna;2010-02-02 23:40:40;tom:2 changed:1 compliant:1 current:1 spec:1 fixes:1 submitted:1 white:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;vcloud.py;libcloud/drivers/vcloud.py;MODIFY;1;0;12;15;41;390;85;2598
LIBCLOUD;Apache Libcloud Committee;cloud;LIBCLOUD-5;2f0e8b64c9767f5447cf359ce5bfe647e4836310;0;Paul Querna;2010-02-02 23:40:40;Paul Querna;2010-02-02 23:40:40;tom:2 changed:1 compliant:1 current:1 spec:1 fixes:1 submitted:1 white:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;test_vcloud.py;test/test_vcloud.py;MODIFY;1;0;30;30;20;286;22;886
LIBCLOUD;Apache Libcloud Committee;cloud;LIBCLOUD-43;c112948694c2fa0fff9184d15f598d2a0596a145;0;Jedidiah Smith;2010-07-19 15:49:53;Jedidiah Smith;2010-07-19 15:49:53;fix:1 crash:1 due:1 integer:1 header:1 value:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;base.py;libcloud/base.py;MODIFY;1;0;1;1;46;403;87;2555
LIBCLOUD;Apache Libcloud Committee;cloud;LIBCLOUD-44;ea22b837aa22b35fb78d22324714d6094dd58c7c;0;Roman Bogorodskiy;2010-08-05 13:03:28;Roman Bogorodskiy;2010-08-05 13:03:28;use:2 driver:2 changes:2 better:1 name:1 http:1 post:1 method:1 unsafe:1 operations:1 update:1 accordingly:1 submitted:1 russell:1 part:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;CHANGES;CHANGES;MODIFY;0;0;4;0;0;58;0;450
LIBCLOUD;Apache Libcloud Committee;cloud;LIBCLOUD-44;ea22b837aa22b35fb78d22324714d6094dd58c7c;0;Roman Bogorodskiy;2010-08-05 13:03:28;Roman Bogorodskiy;2010-08-05 13:03:28;use:2 driver:2 changes:2 better:1 name:1 http:1 post:1 method:1 unsafe:1 operations:1 update:1 accordingly:1 submitted:1 russell:1 part:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;gogrid.py;libcloud/drivers/gogrid.py;MODIFY;1;0;6;4;25;206;44;1341
LIBCLOUD;Apache Libcloud Committee;cloud;LIBCLOUD-40;c6435e994935398836a5c1de1a8ee8e5eb4da4bf;0;Jedidiah Smith;2010-08-05 22:48:46;Jedidiah Smith;2010-08-05 22:48:46;ids:2 strings:2 id:2 force:1 address:1 inconsistency:1 library:1 type:1 node:1 image:1 become:1 automatically:1 update:1 tests:1 reflect:1 git:1 https:1 apache:1 incubator:1 trunk:1;base.py;libcloud/base.py;MODIFY;1;0;4;4;46;403;87;2567
LIBCLOUD;Apache Libcloud Committee;cloud;LIBCLOUD-40;c6435e994935398836a5c1de1a8ee8e5eb4da4bf;0;Jedidiah Smith;2010-08-05 22:48:46;Jedidiah Smith;2010-08-05 22:48:46;ids:2 strings:2 id:2 force:1 address:1 inconsistency:1 library:1 type:1 node:1 image:1 become:1 automatically:1 update:1 tests:1 reflect:1 git:1 https:1 apache:1 incubator:1 trunk:1;test_ecp.py;test/test_ecp.py;MODIFY;1;0;1;1;14;85;20;846
LIBCLOUD;Apache Libcloud Committee;cloud;LIBCLOUD-40;c6435e994935398836a5c1de1a8ee8e5eb4da4bf;0;Jedidiah Smith;2010-08-05 22:48:46;Jedidiah Smith;2010-08-05 22:48:46;ids:2 strings:2 id:2 force:1 address:1 inconsistency:1 library:1 type:1 node:1 image:1 become:1 automatically:1 update:1 tests:1 reflect:1 git:1 https:1 apache:1 incubator:1 trunk:1;test_gogrid.py;test/test_gogrid.py;MODIFY;1;0;2;2;13;65;13;686
LIBCLOUD;Apache Libcloud Committee;cloud;LIBCLOUD-40;c6435e994935398836a5c1de1a8ee8e5eb4da4bf;0;Jedidiah Smith;2010-08-05 22:48:46;Jedidiah Smith;2010-08-05 22:48:46;ids:2 strings:2 id:2 force:1 address:1 inconsistency:1 library:1 type:1 node:1 image:1 become:1 automatically:1 update:1 tests:1 reflect:1 git:1 https:1 apache:1 incubator:1 trunk:1;test_slicehost.py;test/test_slicehost.py;MODIFY;1;0;1;1;14;107;23;1013
LIBCLOUD;Apache Libcloud Committee;cloud;LIBCLOUD-40;c6435e994935398836a5c1de1a8ee8e5eb4da4bf;0;Jedidiah Smith;2010-08-05 22:48:46;Jedidiah Smith;2010-08-05 22:48:46;ids:2 strings:2 id:2 force:1 address:1 inconsistency:1 library:1 type:1 node:1 image:1 become:1 automatically:1 update:1 tests:1 reflect:1 git:1 https:1 apache:1 incubator:1 trunk:1;test_softlayer.py;test/test_softlayer.py;MODIFY;1;0;2;2;8;50;10;461
LIBCLOUD;Apache Libcloud Committee;cloud;LIBCLOUD-40;c6435e994935398836a5c1de1a8ee8e5eb4da4bf;0;Jedidiah Smith;2010-08-05 22:48:46;Jedidiah Smith;2010-08-05 22:48:46;ids:2 strings:2 id:2 force:1 address:1 inconsistency:1 library:1 type:1 node:1 image:1 become:1 automatically:1 update:1 tests:1 reflect:1 git:1 https:1 apache:1 incubator:1 trunk:1;test_vpsnet.py;test/test_vpsnet.py;MODIFY;1;0;4;4;18;165;18;862
