Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
MADLIB;Apache MADlib Committee;machine-learning;MADLIB-640;307646edcff99afc435b96421d94ccb89286bd3d;0;aojwang;2012-08-21 06:32:46;Hitoshi Harada;2012-08-21 23:56:51;function:3 table:3 tree:2 change:2 volatile:2 schema:2 decision:1 training:1 failed:1 result:1 default:1 scenario:1 create:1 call:1 retrieve:1 stable:1 return:1 null:1 solution:1;dt_utility.sql_in;methods/cart/src/pg_gp/dt_utility.sql_in;MODIFY;0;0;4;1;0;292.0;0.0;1190.0
MADLIB;Apache MADlib Committee;machine-learning;MADLIB-1100;186aefa6dabbf58ed46a125b876cca4e5b5e2422;0;Nandish Jayaram;2017-05-19 18:00:03;Nandish Jayaram;2017-05-30 16:36:40;grouping:4 query:3 instead:2 fix:1 multiple:1 bugs:1 issue:1 default:1 threshold:1 set:1 value:1 dependent:1 number:1 vertices:1 older:1 docs:1 said:1 latest:1 experiments:1 showed:1 even:1 converge:1 iterations:1 using:1 remove:1 hard:1 coded:1 schema:1 name:1 install:1 check:1 commit:1 includes:1 changes:1 performance:1 improvement:1 distributes:1 intermediate:1 temp:1 edge:1 table:1 cols:1 dest:1 vertex:1 hoping:1 perform:1 better:1 databases:1 inserts:1 nodes:1 incoming:1 edges:1 inefficient:1 especially:1 updated:1 significantly:1 reduces:1 time:1 run:1 outside:1 loop:1 graph:1 change:1 closes:1;graph.tex;doc/design/modules/graph.tex;MODIFY;0;0;2;2;0;380.0;0.0;2946.0
MADLIB;Apache MADlib Committee;machine-learning;MADLIB-1100;186aefa6dabbf58ed46a125b876cca4e5b5e2422;0;Nandish Jayaram;2017-05-19 18:00:03;Nandish Jayaram;2017-05-30 16:36:40;grouping:4 query:3 instead:2 fix:1 multiple:1 bugs:1 issue:1 default:1 threshold:1 set:1 value:1 dependent:1 number:1 vertices:1 older:1 docs:1 said:1 latest:1 experiments:1 showed:1 even:1 converge:1 iterations:1 using:1 remove:1 hard:1 coded:1 schema:1 name:1 install:1 check:1 commit:1 includes:1 changes:1 performance:1 improvement:1 distributes:1 intermediate:1 temp:1 edge:1 table:1 cols:1 dest:1 vertex:1 hoping:1 perform:1 better:1 databases:1 inserts:1 nodes:1 incoming:1 edges:1 inefficient:1 especially:1 updated:1 significantly:1 reduces:1 time:1 run:1 outside:1 loop:1 graph:1 change:1 closes:1;pagerank.py_in;src/ports/postgres/modules/graph/pagerank.py_in;MODIFY;0;0;64;29;0;625.0;0.0;1884.0
MADLIB;Apache MADlib Committee;machine-learning;MADLIB-1100;186aefa6dabbf58ed46a125b876cca4e5b5e2422;0;Nandish Jayaram;2017-05-19 18:00:03;Nandish Jayaram;2017-05-30 16:36:40;grouping:4 query:3 instead:2 fix:1 multiple:1 bugs:1 issue:1 default:1 threshold:1 set:1 value:1 dependent:1 number:1 vertices:1 older:1 docs:1 said:1 latest:1 experiments:1 showed:1 even:1 converge:1 iterations:1 using:1 remove:1 hard:1 coded:1 schema:1 name:1 install:1 check:1 commit:1 includes:1 changes:1 performance:1 improvement:1 distributes:1 intermediate:1 temp:1 edge:1 table:1 cols:1 dest:1 vertex:1 hoping:1 perform:1 better:1 databases:1 inserts:1 nodes:1 incoming:1 edges:1 inefficient:1 especially:1 updated:1 significantly:1 reduces:1 time:1 run:1 outside:1 loop:1 graph:1 change:1 closes:1;pagerank.sql_in;src/ports/postgres/modules/graph/pagerank.sql_in;MODIFY;0;0;4;4;0;322.0;0.0;1685.0
MADLIB;Apache MADlib Committee;machine-learning;MADLIB-1100;186aefa6dabbf58ed46a125b876cca4e5b5e2422;0;Nandish Jayaram;2017-05-19 18:00:03;Nandish Jayaram;2017-05-30 16:36:40;grouping:4 query:3 instead:2 fix:1 multiple:1 bugs:1 issue:1 default:1 threshold:1 set:1 value:1 dependent:1 number:1 vertices:1 older:1 docs:1 said:1 latest:1 experiments:1 showed:1 even:1 converge:1 iterations:1 using:1 remove:1 hard:1 coded:1 schema:1 name:1 install:1 check:1 commit:1 includes:1 changes:1 performance:1 improvement:1 distributes:1 intermediate:1 temp:1 edge:1 table:1 cols:1 dest:1 vertex:1 hoping:1 perform:1 better:1 databases:1 inserts:1 nodes:1 incoming:1 edges:1 inefficient:1 especially:1 updated:1 significantly:1 reduces:1 time:1 run:1 outside:1 loop:1 graph:1 change:1 closes:1;pagerank.sql_in;src/ports/postgres/modules/graph/test/pagerank.sql_in;MODIFY;0;0;2;2;0;77.0;0.0;493.0
MADLIB;Apache MADlib Committee;machine-learning;MADLIB-1107;186aefa6dabbf58ed46a125b876cca4e5b5e2422;0;Nandish Jayaram;2017-05-19 18:00:03;Nandish Jayaram;2017-05-30 16:36:40;grouping:4 query:3 instead:2 fix:1 multiple:1 bugs:1 issue:1 default:1 threshold:1 set:1 value:1 dependent:1 number:1 vertices:1 older:1 docs:1 said:1 latest:1 experiments:1 showed:1 even:1 converge:1 iterations:1 using:1 remove:1 hard:1 coded:1 schema:1 name:1 install:1 check:1 commit:1 includes:1 changes:1 performance:1 improvement:1 distributes:1 intermediate:1 temp:1 edge:1 table:1 cols:1 dest:1 vertex:1 hoping:1 perform:1 better:1 databases:1 inserts:1 nodes:1 incoming:1 edges:1 inefficient:1 especially:1 updated:1 significantly:1 reduces:1 time:1 run:1 outside:1 loop:1 graph:1 change:1 closes:1;graph.tex;doc/design/modules/graph.tex;MODIFY;0;0;2;2;0;380.0;0.0;2946.0
MADLIB;Apache MADlib Committee;machine-learning;MADLIB-1107;186aefa6dabbf58ed46a125b876cca4e5b5e2422;0;Nandish Jayaram;2017-05-19 18:00:03;Nandish Jayaram;2017-05-30 16:36:40;grouping:4 query:3 instead:2 fix:1 multiple:1 bugs:1 issue:1 default:1 threshold:1 set:1 value:1 dependent:1 number:1 vertices:1 older:1 docs:1 said:1 latest:1 experiments:1 showed:1 even:1 converge:1 iterations:1 using:1 remove:1 hard:1 coded:1 schema:1 name:1 install:1 check:1 commit:1 includes:1 changes:1 performance:1 improvement:1 distributes:1 intermediate:1 temp:1 edge:1 table:1 cols:1 dest:1 vertex:1 hoping:1 perform:1 better:1 databases:1 inserts:1 nodes:1 incoming:1 edges:1 inefficient:1 especially:1 updated:1 significantly:1 reduces:1 time:1 run:1 outside:1 loop:1 graph:1 change:1 closes:1;pagerank.py_in;src/ports/postgres/modules/graph/pagerank.py_in;MODIFY;0;0;64;29;0;625.0;0.0;1884.0
MADLIB;Apache MADlib Committee;machine-learning;MADLIB-1107;186aefa6dabbf58ed46a125b876cca4e5b5e2422;0;Nandish Jayaram;2017-05-19 18:00:03;Nandish Jayaram;2017-05-30 16:36:40;grouping:4 query:3 instead:2 fix:1 multiple:1 bugs:1 issue:1 default:1 threshold:1 set:1 value:1 dependent:1 number:1 vertices:1 older:1 docs:1 said:1 latest:1 experiments:1 showed:1 even:1 converge:1 iterations:1 using:1 remove:1 hard:1 coded:1 schema:1 name:1 install:1 check:1 commit:1 includes:1 changes:1 performance:1 improvement:1 distributes:1 intermediate:1 temp:1 edge:1 table:1 cols:1 dest:1 vertex:1 hoping:1 perform:1 better:1 databases:1 inserts:1 nodes:1 incoming:1 edges:1 inefficient:1 especially:1 updated:1 significantly:1 reduces:1 time:1 run:1 outside:1 loop:1 graph:1 change:1 closes:1;pagerank.sql_in;src/ports/postgres/modules/graph/pagerank.sql_in;MODIFY;0;0;4;4;0;322.0;0.0;1685.0
MADLIB;Apache MADlib Committee;machine-learning;MADLIB-1107;186aefa6dabbf58ed46a125b876cca4e5b5e2422;0;Nandish Jayaram;2017-05-19 18:00:03;Nandish Jayaram;2017-05-30 16:36:40;grouping:4 query:3 instead:2 fix:1 multiple:1 bugs:1 issue:1 default:1 threshold:1 set:1 value:1 dependent:1 number:1 vertices:1 older:1 docs:1 said:1 latest:1 experiments:1 showed:1 even:1 converge:1 iterations:1 using:1 remove:1 hard:1 coded:1 schema:1 name:1 install:1 check:1 commit:1 includes:1 changes:1 performance:1 improvement:1 distributes:1 intermediate:1 temp:1 edge:1 table:1 cols:1 dest:1 vertex:1 hoping:1 perform:1 better:1 databases:1 inserts:1 nodes:1 incoming:1 edges:1 inefficient:1 especially:1 updated:1 significantly:1 reduces:1 time:1 run:1 outside:1 loop:1 graph:1 change:1 closes:1;pagerank.sql_in;src/ports/postgres/modules/graph/test/pagerank.sql_in;MODIFY;0;0;2;2;0;77.0;0.0;493.0
MADLIB;Apache MADlib Committee;machine-learning;MADLIB-1094;ceefae4f4180b88a1aa5712d0e43f0b00573c378;0;Cooper Sloan;2017-08-10 19:04:04;Orhan Kislal;2017-08-11 18:31:12;elastic:1 net:1 fix:1 normalization:1 issue:1 numerically:1 unstable:1 data:1 scaling:1 occuring:1 grouping:1 true:1 closes:1;elastic_net_generate_result.py_in;src/ports/postgres/modules/elastic_net/elastic_net_generate_result.py_in;MODIFY;0;0;3;3;0;209.0;0.0;553.0
