Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
MAHOUT;Apache Mahout Committee;machine-learning;MAHOUT-112;3ecf83f6af209815c876494c4b60049e0e96a550;0;Sean R. Owen;2009-04-06 22:20:40;Sean R. Owen;2009-04-06 22:20:40;mahout:2 git:1 id:1 https:1 apache:1 trunk:1;pom.xml;taste-web/pom.xml;MODIFY;0;0;1;1;0;226.0;0.0;1626.0
MAHOUT;Apache Mahout Committee;machine-learning;MAHOUT-118;96bd5a3b13d939a82ba1aaaf2607378129bef3b4;0;Jeff Eastman;2009-04-16 21:32:11;Jeff Eastman;2009-04-16 21:32:11;mahout:3 argument:3 one:2 path:2 first:2 apache:2 fixes:1 occurrences:1 except:1 get:1 use:1 two:1 version:1 appropriate:1 remaining:1 instance:1 ga:1 watchmaker:1 line:1 obvious:1 available:1 provide:1 getting:1 working:1 probably:1 require:1 git:1 id:1 https:1 trunk:1;RecommenderJob.java;core/src/main/java/org/apache/mahout/cf/taste/hadoop/RecommenderJob.java;MODIFY;1;0;1;1;3;54.0;4.0;461.0
MAHOUT;Apache Mahout Committee;machine-learning;MAHOUT-118;96bd5a3b13d939a82ba1aaaf2607378129bef3b4;0;Jeff Eastman;2009-04-16 21:32:11;Jeff Eastman;2009-04-16 21:32:11;mahout:3 argument:3 one:2 path:2 first:2 apache:2 fixes:1 occurrences:1 except:1 get:1 use:1 two:1 version:1 appropriate:1 remaining:1 instance:1 ga:1 watchmaker:1 line:1 obvious:1 available:1 provide:1 getting:1 working:1 probably:1 require:1 git:1 id:1 https:1 trunk:1;RecommenderMapper.java;core/src/main/java/org/apache/mahout/cf/taste/hadoop/RecommenderMapper.java;MODIFY;1;0;3;2;2;78.0;11.0;654.0
MAHOUT;Apache Mahout Committee;machine-learning;MAHOUT-118;96bd5a3b13d939a82ba1aaaf2607378129bef3b4;0;Jeff Eastman;2009-04-16 21:32:11;Jeff Eastman;2009-04-16 21:32:11;mahout:3 argument:3 one:2 path:2 first:2 apache:2 fixes:1 occurrences:1 except:1 get:1 use:1 two:1 version:1 appropriate:1 remaining:1 instance:1 ga:1 watchmaker:1 line:1 obvious:1 available:1 provide:1 getting:1 working:1 probably:1 require:1 git:1 id:1 https:1 trunk:1;SlopeOneDiffsToAveragesJob.java;core/src/main/java/org/apache/mahout/cf/taste/hadoop/SlopeOneDiffsToAveragesJob.java;MODIFY;1;0;1;1;3;43.0;4.0;364.0
MAHOUT;Apache Mahout Committee;machine-learning;MAHOUT-118;96bd5a3b13d939a82ba1aaaf2607378129bef3b4;0;Jeff Eastman;2009-04-16 21:32:11;Jeff Eastman;2009-04-16 21:32:11;mahout:3 argument:3 one:2 path:2 first:2 apache:2 fixes:1 occurrences:1 except:1 get:1 use:1 two:1 version:1 appropriate:1 remaining:1 instance:1 ga:1 watchmaker:1 line:1 obvious:1 available:1 provide:1 getting:1 working:1 probably:1 require:1 git:1 id:1 https:1 trunk:1;SlopeOnePrefsToDiffsJob.java;core/src/main/java/org/apache/mahout/cf/taste/hadoop/SlopeOnePrefsToDiffsJob.java;MODIFY;1;0;1;1;3;45.0;4.0;386.0
MAHOUT;Apache Mahout Committee;machine-learning;MAHOUT-118;96bd5a3b13d939a82ba1aaaf2607378129bef3b4;0;Jeff Eastman;2009-04-16 21:32:11;Jeff Eastman;2009-04-16 21:32:11;mahout:3 argument:3 one:2 path:2 first:2 apache:2 fixes:1 occurrences:1 except:1 get:1 use:1 two:1 version:1 appropriate:1 remaining:1 instance:1 ga:1 watchmaker:1 line:1 obvious:1 available:1 provide:1 getting:1 working:1 probably:1 require:1 git:1 id:1 https:1 trunk:1;Classify.java;core/src/main/java/org/apache/mahout/classifier/Classify.java;MODIFY;1;0;1;1;2;125.0;10.0;1414.0
MAHOUT;Apache Mahout Committee;machine-learning;MAHOUT-118;96bd5a3b13d939a82ba1aaaf2607378129bef3b4;0;Jeff Eastman;2009-04-16 21:32:11;Jeff Eastman;2009-04-16 21:32:11;mahout:3 argument:3 one:2 path:2 first:2 apache:2 fixes:1 occurrences:1 except:1 get:1 use:1 two:1 version:1 appropriate:1 remaining:1 instance:1 ga:1 watchmaker:1 line:1 obvious:1 available:1 provide:1 getting:1 working:1 probably:1 require:1 git:1 id:1 https:1 trunk:1;BayesDriver.java;core/src/main/java/org/apache/mahout/classifier/bayes/BayesDriver.java;MODIFY;1;0;1;1;3;53.0;10.0;487.0
MAHOUT;Apache Mahout Committee;machine-learning;MAHOUT-118;96bd5a3b13d939a82ba1aaaf2607378129bef3b4;0;Jeff Eastman;2009-04-16 21:32:11;Jeff Eastman;2009-04-16 21:32:11;mahout:3 argument:3 one:2 path:2 first:2 apache:2 fixes:1 occurrences:1 except:1 get:1 use:1 two:1 version:1 appropriate:1 remaining:1 instance:1 ga:1 watchmaker:1 line:1 obvious:1 available:1 provide:1 getting:1 working:1 probably:1 require:1 git:1 id:1 https:1 trunk:1;BayesThetaNormalizerDriver.java;core/src/main/java/org/apache/mahout/classifier/bayes/BayesThetaNormalizerDriver.java;MODIFY;1;0;1;1;3;74.0;4.0;716.0
MAHOUT;Apache Mahout Committee;machine-learning;MAHOUT-118;96bd5a3b13d939a82ba1aaaf2607378129bef3b4;0;Jeff Eastman;2009-04-16 21:32:11;Jeff Eastman;2009-04-16 21:32:11;mahout:3 argument:3 one:2 path:2 first:2 apache:2 fixes:1 occurrences:1 except:1 get:1 use:1 two:1 version:1 appropriate:1 remaining:1 instance:1 ga:1 watchmaker:1 line:1 obvious:1 available:1 provide:1 getting:1 working:1 probably:1 require:1 git:1 id:1 https:1 trunk:1;BayesFeatureDriver.java;core/src/main/java/org/apache/mahout/classifier/bayes/common/BayesFeatureDriver.java;MODIFY;1;0;1;1;3;50.0;4.0;456.0
MAHOUT;Apache Mahout Committee;machine-learning;MAHOUT-118;96bd5a3b13d939a82ba1aaaf2607378129bef3b4;0;Jeff Eastman;2009-04-16 21:32:11;Jeff Eastman;2009-04-16 21:32:11;mahout:3 argument:3 one:2 path:2 first:2 apache:2 fixes:1 occurrences:1 except:1 get:1 use:1 two:1 version:1 appropriate:1 remaining:1 instance:1 ga:1 watchmaker:1 line:1 obvious:1 available:1 provide:1 getting:1 working:1 probably:1 require:1 git:1 id:1 https:1 trunk:1;BayesTfIdfDriver.java;core/src/main/java/org/apache/mahout/classifier/bayes/common/BayesTfIdfDriver.java;MODIFY;1;0;1;1;3;60.0;4.0;578.0
MAHOUT;Apache Mahout Committee;machine-learning;MAHOUT-118;96bd5a3b13d939a82ba1aaaf2607378129bef3b4;0;Jeff Eastman;2009-04-16 21:32:11;Jeff Eastman;2009-04-16 21:32:11;mahout:3 argument:3 one:2 path:2 first:2 apache:2 fixes:1 occurrences:1 except:1 get:1 use:1 two:1 version:1 appropriate:1 remaining:1 instance:1 ga:1 watchmaker:1 line:1 obvious:1 available:1 provide:1 getting:1 working:1 probably:1 require:1 git:1 id:1 https:1 trunk:1;BayesWeightSummerDriver.java;core/src/main/java/org/apache/mahout/classifier/bayes/common/BayesWeightSummerDriver.java;MODIFY;1;0;1;1;3;40.0;4.0;354.0
MAHOUT;Apache Mahout Committee;machine-learning;MAHOUT-118;96bd5a3b13d939a82ba1aaaf2607378129bef3b4;0;Jeff Eastman;2009-04-16 21:32:11;Jeff Eastman;2009-04-16 21:32:11;mahout:3 argument:3 one:2 path:2 first:2 apache:2 fixes:1 occurrences:1 except:1 get:1 use:1 two:1 version:1 appropriate:1 remaining:1 instance:1 ga:1 watchmaker:1 line:1 obvious:1 available:1 provide:1 getting:1 working:1 probably:1 require:1 git:1 id:1 https:1 trunk:1;CBayesDriver.java;core/src/main/java/org/apache/mahout/classifier/cbayes/CBayesDriver.java;MODIFY;1;0;1;1;3;53.0;10.0;487.0
MAHOUT;Apache Mahout Committee;machine-learning;MAHOUT-118;96bd5a3b13d939a82ba1aaaf2607378129bef3b4;0;Jeff Eastman;2009-04-16 21:32:11;Jeff Eastman;2009-04-16 21:32:11;mahout:3 argument:3 one:2 path:2 first:2 apache:2 fixes:1 occurrences:1 except:1 get:1 use:1 two:1 version:1 appropriate:1 remaining:1 instance:1 ga:1 watchmaker:1 line:1 obvious:1 available:1 provide:1 getting:1 working:1 probably:1 require:1 git:1 id:1 https:1 trunk:1;CBayesNormalizedWeightDriver.java;core/src/main/java/org/apache/mahout/classifier/cbayes/CBayesNormalizedWeightDriver.java;MODIFY;1;0;1;1;3;71.0;7.0;652.0
MAHOUT;Apache Mahout Committee;machine-learning;MAHOUT-118;96bd5a3b13d939a82ba1aaaf2607378129bef3b4;0;Jeff Eastman;2009-04-16 21:32:11;Jeff Eastman;2009-04-16 21:32:11;mahout:3 argument:3 one:2 path:2 first:2 apache:2 fixes:1 occurrences:1 except:1 get:1 use:1 two:1 version:1 appropriate:1 remaining:1 instance:1 ga:1 watchmaker:1 line:1 obvious:1 available:1 provide:1 getting:1 working:1 probably:1 require:1 git:1 id:1 https:1 trunk:1;CBayesThetaDriver.java;core/src/main/java/org/apache/mahout/classifier/cbayes/CBayesThetaDriver.java;MODIFY;1;0;1;1;3;73.0;4.0;715.0
MAHOUT;Apache Mahout Committee;machine-learning;MAHOUT-118;96bd5a3b13d939a82ba1aaaf2607378129bef3b4;0;Jeff Eastman;2009-04-16 21:32:11;Jeff Eastman;2009-04-16 21:32:11;mahout:3 argument:3 one:2 path:2 first:2 apache:2 fixes:1 occurrences:1 except:1 get:1 use:1 two:1 version:1 appropriate:1 remaining:1 instance:1 ga:1 watchmaker:1 line:1 obvious:1 available:1 provide:1 getting:1 working:1 probably:1 require:1 git:1 id:1 https:1 trunk:1;CBayesThetaNormalizerDriver.java;core/src/main/java/org/apache/mahout/classifier/cbayes/CBayesThetaNormalizerDriver.java;MODIFY;1;0;1;1;3;75.0;4.0;731.0
MAHOUT;Apache Mahout Committee;machine-learning;MAHOUT-118;96bd5a3b13d939a82ba1aaaf2607378129bef3b4;0;Jeff Eastman;2009-04-16 21:32:11;Jeff Eastman;2009-04-16 21:32:11;mahout:3 argument:3 one:2 path:2 first:2 apache:2 fixes:1 occurrences:1 except:1 get:1 use:1 two:1 version:1 appropriate:1 remaining:1 instance:1 ga:1 watchmaker:1 line:1 obvious:1 available:1 provide:1 getting:1 working:1 probably:1 require:1 git:1 id:1 https:1 trunk:1;CanopyDriver.java;core/src/main/java/org/apache/mahout/clustering/canopy/CanopyDriver.java;MODIFY;1;0;1;1;3;46.0;4.0;430.0
MAHOUT;Apache Mahout Committee;machine-learning;MAHOUT-118;96bd5a3b13d939a82ba1aaaf2607378129bef3b4;0;Jeff Eastman;2009-04-16 21:32:11;Jeff Eastman;2009-04-16 21:32:11;mahout:3 argument:3 one:2 path:2 first:2 apache:2 fixes:1 occurrences:1 except:1 get:1 use:1 two:1 version:1 appropriate:1 remaining:1 instance:1 ga:1 watchmaker:1 line:1 obvious:1 available:1 provide:1 getting:1 working:1 probably:1 require:1 git:1 id:1 https:1 trunk:1;ClusterDriver.java;core/src/main/java/org/apache/mahout/clustering/canopy/ClusterDriver.java;MODIFY;1;0;1;1;3;45.0;4.0;433.0
