Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
MATH;Apache Commons Committee;library;MATH-238;dabf3a5beb9ab697d570154b9961078a8586c787;0;Luc Maisonobe;2009-01-16 23:06:32;Luc Maisonobe;2009-01-16 23:06:32;math:2 fixed:1 overflow:1 error:1 computation:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;MathUtils.java;src/java/org/apache/commons/math/util/MathUtils.java;MODIFY;1;0;1;1;43;439.0;152.0;3085.0
MATH;Apache Commons Committee;library;MATH-238;dabf3a5beb9ab697d570154b9961078a8586c787;0;Luc Maisonobe;2009-01-16 23:06:32;Luc Maisonobe;2009-01-16 23:06:32;math:2 fixed:1 overflow:1 error:1 computation:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;changes.xml;src/site/xdoc/changes.xml;MODIFY;0;0;3;0;0;554.0;0.0;3141.0
MATH;Apache Commons Committee;library;MATH-238;dabf3a5beb9ab697d570154b9961078a8586c787;0;Luc Maisonobe;2009-01-16 23:06:32;Luc Maisonobe;2009-01-16 23:06:32;math:2 fixed:1 overflow:1 error:1 computation:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;MathUtilsTest.java;src/test/org/apache/commons/math/util/MathUtilsTest.java;MODIFY;1;1;3;0;49;683.0;94.0;8566.0
MATH;Apache Commons Committee;library;MATH-240;e4886c0a39944ba9fb7a2175cb2d1026747910e1;0;Phil Steitz;2009-01-19 19:43:01;Phil Steitz;2009-01-19 19:43:01;math:2 fixed:1 error:1 factorial:1 accuracy:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;MathUtils.java;src/java/org/apache/commons/math/util/MathUtils.java;MODIFY;1;0;19;4;43;452.0;155.0;3177.0
MATH;Apache Commons Committee;library;MATH-240;e4886c0a39944ba9fb7a2175cb2d1026747910e1;0;Phil Steitz;2009-01-19 19:43:01;Phil Steitz;2009-01-19 19:43:01;math:2 fixed:1 error:1 factorial:1 accuracy:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;changes.xml;src/site/xdoc/changes.xml;MODIFY;0;0;4;1;0;567.0;0.0;3141.0
MATH;Apache Commons Committee;library;MATH-240;e4886c0a39944ba9fb7a2175cb2d1026747910e1;0;Phil Steitz;2009-01-19 19:43:01;Phil Steitz;2009-01-19 19:43:01;math:2 fixed:1 error:1 factorial:1 accuracy:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;MathUtilsTest.java;src/test/org/apache/commons/math/util/MathUtilsTest.java;MODIFY;1;1;2;1;49;683.0;94.0;8566.0
MATH;Apache Commons Committee;library;MATH-241;944446a1a8a3004ddd81298e0e922e4d47b99997;0;Phil Steitz;2009-01-19 23:52:02;Phil Steitz;2009-01-19 23:52:02;math:2 fixed:1 error:1 binomial:1 coefficient:1 computation:1 reported:1 patched:1 christian:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;MathUtils.java;src/java/org/apache/commons/math/util/MathUtils.java;MODIFY;1;0;85;8;43;495.0;171.0;3514.0
MATH;Apache Commons Committee;library;MATH-241;944446a1a8a3004ddd81298e0e922e4d47b99997;0;Phil Steitz;2009-01-19 23:52:02;Phil Steitz;2009-01-19 23:52:02;math:2 fixed:1 error:1 binomial:1 coefficient:1 computation:1 reported:1 patched:1 christian:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;changes.xml;src/site/xdoc/changes.xml;MODIFY;0;0;3;0;0;573.0;0.0;3141.0
MATH;Apache Commons Committee;library;MATH-241;944446a1a8a3004ddd81298e0e922e4d47b99997;0;Phil Steitz;2009-01-19 23:52:02;Phil Steitz;2009-01-19 23:52:02;math:2 fixed:1 error:1 binomial:1 coefficient:1 computation:1 reported:1 patched:1 christian:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;MathUtilsTest.java;src/test/org/apache/commons/math/util/MathUtilsTest.java;MODIFY;1;1;95;13;50;753.0;107.0;9087.0
MATH;Apache Commons Committee;library;MATH-243;8bf548c5e83e067503d10f304d9f855ced1a449c;0;Luc Maisonobe;2009-02-21 13:54:25;Luc Maisonobe;2009-02-21 13:54:25;math:2 fixed:1 error:1 computing:1 lcm:1 extreme:1 values:1 integer:1 range:1 boundaries:1 git:1 id:1 https:1 apache:1 commons:1 proper:1 trunk:1;pom.xml;pom.xml;MODIFY;0;0;3;0;0;317.0;0.0;2181.0
