Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
MESOS;Apache Mesos Committee;cloud;MESOS-22;2222fea9019a85fe1e26f563a81fba19aff0541a;0;Matei Alexandru Zaharia;2011-06-27 23:23:57;Matei Alexandru Zaharia;2011-06-27 23:23:57;fixes:2 deploy:1 scripts:1 work:1 new:1 command:1 line:1 options:1 url:1 format:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;mesos-daemon;src/deploy/mesos-daemon;MODIFY;0;0;1;1;0;19.0;0.0;133.0
MESOS;Apache Mesos Committee;cloud;MESOS-22;2222fea9019a85fe1e26f563a81fba19aff0541a;0;Matei Alexandru Zaharia;2011-06-27 23:23:57;Matei Alexandru Zaharia;2011-06-27 23:23:57;fixes:2 deploy:1 scripts:1 work:1 new:1 command:1 line:1 options:1 url:1 format:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;mesos-env.sh;src/deploy/mesos-env.sh;MODIFY;1;0;1;1;0;28.0;0.0;151.0
MESOS;Apache Mesos Committee;cloud;MESOS-22;2222fea9019a85fe1e26f563a81fba19aff0541a;0;Matei Alexandru Zaharia;2011-06-27 23:23:57;Matei Alexandru Zaharia;2011-06-27 23:23:57;fixes:2 deploy:1 scripts:1 work:1 new:1 command:1 line:1 options:1 url:1 format:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;start-mesos;src/deploy/start-mesos;MODIFY;0;0;2;0;0;8.0;0.0;40.0
MESOS;Apache Mesos Committee;cloud;MESOS-64;19afc38e5c47caabe8869f788ae15914841ed4b5;0;Andy Konwinski;2011-11-05 01:22:12;Andy Konwinski;2011-11-05 01:22:12;applied:1 patch:1 e:1 closes:1 contributed:1 charles:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;Makefile.in;src/Makefile.in;MODIFY;0;0;2;2;0;277.0;0.0;3775.0
MESOS;Apache Mesos Committee;cloud;MESOS-37;63f80b50e8014098e6aa845844a5e25748ac7a83;0;Andy Konwinski;2011-11-10 08:39:59;Andy Konwinski;2011-11-10 08:39:59;https:2 apache:2 fixes:1 reviews:1 r:1 thanks:1 ed:1 charles:1 contributing:1 patch:1 git:1 id:1 incubator:1 trunk:1;process_spawn.cpp;src/tests/process_spawn.cpp;MODIFY;1;0;3;0;3;40.0;6.0;166.0
MESOS;Apache Mesos Committee;cloud;MESOS-50;66f668570eba14253c4e1cc07f2515a8e99e9b65;0;Andy Konwinski;2011-11-10 08:51:10;Andy Konwinski;2011-11-10 08:51:10;bin:2 fixes:1 replacing:1 bash:1 thanks:1 ed:1 patch:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;Makefile.in;Makefile.in;MODIFY;0;0;1;1;0;112.0;0.0;1155.0
MESOS;Apache Mesos Committee;cloud;MESOS-50;66f668570eba14253c4e1cc07f2515a8e99e9b65;0;Andy Konwinski;2011-11-10 08:51:10;Andy Konwinski;2011-11-10 08:51:10;bin:2 fixes:1 replacing:1 bash:1 thanks:1 ed:1 patch:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;Makefile.in;src/Makefile.in;MODIFY;0;0;1;1;0;277.0;0.0;3775.0
MESOS;Apache Mesos Committee;cloud;MESOS-76;afd1573942ce7cf370e23b3f05b5bc51ae2d41af;0;Andy Konwinski;2011-11-12 00:44:15;Andy Konwinski;2011-11-12 00:44:15;fixes:1 build:1 broken:1 non:1 machines:1 hard:1 coded:1 path:1 directory:1 g:1 looking:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;Makefile.in;src/tests/Makefile.in;MODIFY;0;0;4;2;0;187.0;0.0;821.0
MESOS;Apache Mesos Committee;cloud;MESOS-63;939ba5cac2e2727bf54217a1b872f4a4f9bd4616;0;Andy Konwinski;2011-11-13 09:26:13;Andy Konwinski;2011-11-13 09:26:13;closes:1 test:1 reviewed:1 charles:1 review:1 board:1 fixes:1 broken:1 make:1 install:1 due:1 used:1 needed:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;Makefile.in;Makefile.in;MODIFY;0;0;1;1;0;112.0;0.0;1155.0
MESOS;Apache Mesos Committee;cloud;MESOS-63;939ba5cac2e2727bf54217a1b872f4a4f9bd4616;0;Andy Konwinski;2011-11-13 09:26:13;Andy Konwinski;2011-11-13 09:26:13;closes:1 test:1 reviewed:1 charles:1 review:1 board:1 fixes:1 broken:1 make:1 install:1 due:1 used:1 needed:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;Makefile.in;src/Makefile.in;MODIFY;0;0;2;2;0;277.0;0.0;3773.0
MESOS;Apache Mesos Committee;cloud;MESOS-76;dd4e3d87ba6a2c4f7a9e771347ae86aea2a362da;0;Andy Konwinski;2011-11-16 00:59:25;Andy Konwinski;2011-11-16 00:59:25;see:1 comments:1 clause:1 conditional:1 statement:1 gnu:1 make:1 must:1 form:1 n:1 eq:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;Makefile.in;src/tests/Makefile.in;MODIFY;0;0;1;1;0;187.0;0.0;822.0
MESOS;Apache Mesos Committee;cloud;MESOS-81;dbbf95f97659e819b62849958b7a77e1afbaacc3;0;Andy Konwinski;2011-11-16 06:52:40;Andy Konwinski;2011-11-16 06:52:40;closes:1 thanks:1 charles:1 contributing:1 patch:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;Makefile.in;Makefile.in;MODIFY;0;0;20;34;0;98.0;0.0;1057.0
MESOS;Apache Mesos Committee;cloud;MESOS-78;cd2634ad14258ab3516183e3a41da28133f080bf;0;Andy Konwinski;2011-11-21 23:03:55;Andy Konwinski;2011-11-21 23:03:55;closes:1 thanks:1 charles:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;test_framework.py;src/examples/python/test_framework.py;MODIFY;1;0;1;1;4;53.0;8.0;374.0
MESOS;Apache Mesos Committee;cloud;MESOS-79;c7799f146c206624f7a086602a955f845feea7e1;0;Andy Konwinski;2011-11-21 23:10:26;Andy Konwinski;2011-11-21 23:10:26;resolves:1 thanks:1 charles:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;test_framework.py;src/examples/python/test_framework.py;MODIFY;1;0;2;2;4;53.0;8.0;379.0
MESOS;Apache Mesos Committee;cloud;MESOS-59;74244c656ed1f66de6f2053d35423f8c1253d225;0;Andy Konwinski;2011-11-23 06:48:06;Andy Konwinski;2011-11-23 06:48:06;fixes:1 thanks:1 charles:1 contributing:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;utils.hpp;src/tests/utils.hpp;MODIFY;0;0;3;3;10;147.0;14.0;1061.0
MESOS;Apache Mesos Committee;cloud;MESOS-56;187236521aaf559cdae2cae33f133fc7cdcccfdc;0;Andy Konwinski;2011-11-23 07:15:55;Andy Konwinski;2011-11-23 07:15:55;fixes:1 thanks:1 charles:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;slave.cpp;src/slave/slave.cpp;MODIFY;1;0;18;10;29;700.0;78.0;4572.0
MESOS;Apache Mesos Committee;cloud;MESOS-56;187236521aaf559cdae2cae33f133fc7cdcccfdc;0;Andy Konwinski;2011-11-23 07:15:55;Andy Konwinski;2011-11-23 07:15:55;fixes:1 thanks:1 charles:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;master_tests.cpp;src/tests/master_tests.cpp;MODIFY;1;0;7;2;12;514.0;12.0;4335.0
MESOS;Apache Mesos Committee;cloud;MESOS-56;187236521aaf559cdae2cae33f133fc7cdcccfdc;0;Andy Konwinski;2011-11-23 07:15:55;Andy Konwinski;2011-11-23 07:15:55;fixes:1 thanks:1 charles:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;utils.hpp;src/tests/utils.hpp;MODIFY;0;0;9;5;9;150.0;13.0;1090.0
