Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
MRM;Apache Archiva Committee;build-management;MRM-1066;db5102aaaf9caeb2609747815d3694e57c7b48fa;0;James William Dumay;2009-02-16 00:28:50;James William Dumay;2009-02-16 00:28:50;shutdown:1 tomcat:1 causes:1 exception:1 running:1 project:1 git:1 id:1 https:1 apache:1 trunk:1;ArchivaStartup.java;archiva-modules/archiva-web/archiva-webapp/src/main/java/org/apache/maven/archiva/web/startup/ArchivaStartup.java;MODIFY;1;0;9;1;2;42.0;5.0;350.0
MRM;Apache Archiva Committee;build-management;MRM-1076;14b464c1859e1b80668a7b193e298da1659c1de9;0;Maria Odea B. Ching;2009-02-18 06:50:21;Maria Odea B. Ching;2009-02-18 06:50:21;remove:1 second:1 invocation:1 complete:1 scan:1 causes:1 git:1 id:1 https:1 apache:1 trunk:1;RepositoryContentConsumers.java;archiva-modules/archiva-base/archiva-repository-layer/src/main/java/org/apache/maven/archiva/repository/scanner/RepositoryContentConsumers.java;MODIFY;1;0;0;1;15;153.0;26.0;983.0
MRM;Apache Archiva Committee;build-management;MRM-1092;a8ad14acbd1ccaf44b2ce827dfc8fd3ec1a1da3d;0;Maria Odea B. Ching;2009-02-23 02:04:56;Maria Odea B. Ching;2009-02-23 02:04:56;submitted:1 fix:1 hits:1 search:1 results:1 page:1 git:1 id:1 https:1 apache:1 trunk:1;results.jsp;archiva-modules/archiva-web/archiva-webapp/src/main/webapp/WEB-INF/jsp/results.jsp;MODIFY;0;0;1;1;1;334.0;2.0;2861.0
MRM;Apache Archiva Committee;build-management;MRM-1095;a0da36af3cbe106d2c2b4247dde8efb18c9a0934;0;James William Dumay;2009-02-23 23:24:09;James William Dumay;2009-02-23 23:24:09;scanning:2 keeps:1 repositories:1 even:1 disabled:1 web:1 submitted:1 git:1 id:1 https:1 apache:1 trunk:1;DefaultArchivaTaskScheduler.java;archiva-modules/archiva-scheduled/src/main/java/org/apache/maven/archiva/scheduled/DefaultArchivaTaskScheduler.java;MODIFY;1;0;6;0;14;322.0;46.0;1754.0
MRM;Apache Archiva Committee;build-management;MRM-1073;497493a78bbc677d978ad3f7a46ca309130e0d74;0;Brett Porter;2009-03-06 08:26:30;Brett Porter;2009-03-06 08:26:30;restore:1 backwards:1 compatibility:1 model:1 git:1 id:1 https:1 apache:1 trunk:1;pom.xml;archiva-modules/archiva-base/archiva-model/pom.xml;MODIFY;0;0;1;1;0;189.0;0.0;1318.0
MRM;Apache Archiva Committee;build-management;MRM-1073;497493a78bbc677d978ad3f7a46ca309130e0d74;0;Brett Porter;2009-03-06 08:26:30;Brett Porter;2009-03-06 08:26:30;restore:1 backwards:1 compatibility:1 model:1 git:1 id:1 https:1 apache:1 trunk:1;archiva-base.xml;archiva-modules/archiva-base/archiva-model/src/main/mdo/archiva-base.xml;MODIFY;0;0;24;28;0;2198.0;0.0;11891.0
MRM;Apache Archiva Committee;build-management;MRM-1108;adf0f01d13f602754d824843ce3b8b3d43b844c2;0;Brett Porter;2009-03-06 10:54:06;Brett Porter;2009-03-06 10:54:06;show:1 default:1 logo:1 empty:1 configuration:1 git:1 id:1 https:1 apache:1 trunk:1;appearance.jsp;archiva-modules/archiva-web/archiva-webapp/src/main/webapp/WEB-INF/jsp/admin/appearance.jsp;MODIFY;0;0;25;24;0;63.0;0.0;457.0
MRM;Apache Archiva Committee;build-management;MRM-1108;adf0f01d13f602754d824843ce3b8b3d43b844c2;0;Brett Porter;2009-03-06 10:54:06;Brett Porter;2009-03-06 10:54:06;show:1 default:1 logo:1 empty:1 configuration:1 git:1 id:1 https:1 apache:1 trunk:1;companyLogo.jsp;archiva-modules/archiva-web/archiva-webapp/src/main/webapp/WEB-INF/jsp/components/companyLogo.jsp;MODIFY;0;0;10;8;0;44.0;0.0;346.0
MRM;Apache Archiva Committee;build-management;MRM-1109;3a742eeb67e72d3624c53d9e1f9f950fbbd836c3;0;Brett Porter;2009-03-08 20:45:02;Brett Porter;2009-03-08 20:45:02;environment:1 checks:1 indicate:1 caused:1 violation:1 git:1 id:1 https:1 apache:1 trunk:1;SecuritySynchronization.java;archiva-modules/archiva-web/archiva-webapp/src/main/java/org/apache/maven/archiva/web/startup/SecuritySynchronization.java;MODIFY;1;0;7;2;6;141.0;21.0;881.0
MRM;Apache Archiva Committee;build-management;MRM-1110;f3b9f4f30ca4a7f2be0a31248589740922fe27d0;0;Brett Porter;2009-03-08 20:57:28;Brett Porter;2009-03-08 20:57:28;log:1 statements:1 visible:1 logs:1 git:1 id:1 https:1 apache:1 trunk:1;log4j.xml;archiva-modules/archiva-web/archiva-webapp/src/main/resources/log4j.xml;MODIFY;0;0;5;0;0;105.0;0.0;718.0
