Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2131;1964b8723c78e26d71c40ee0dee7ae0b8b17d730;0;Matthias Wessendorf;2009-01-06 19:43:30;Matthias Wessendorf;2009-01-06 19:43:30;import:1 internal:1 sun:1 class:1 thanks:1 jan:1 van:1 patch:1;FacesContextImpl.java;impl/src/main/java/org/apache/myfaces/context/servlet/FacesContextImpl.java;MODIFY;1;0;0;1;39;414.0;76.0;2466.0
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2161;98a527fc8a792b95aef940570578087ff5742fb4;1;Leonardo Uribe;2009-05-28 04:10:24;Leonardo Uribe;2009-05-28 04:10:24;merge:1 revisions:1 trunk:1;pom.xml;api/pom.xml;MODIFY;0;0;3;3;0;416.0;0.0;2939.0
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2161;98a527fc8a792b95aef940570578087ff5742fb4;1;Leonardo Uribe;2009-05-28 04:10:24;Leonardo Uribe;2009-05-28 04:10:24;merge:1 revisions:1 trunk:1;Application.java;api/src/main/java/javax/faces/application/Application.java;MODIFY;1;0;80;1;25;240.0;36.0;1405.0
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2161;98a527fc8a792b95aef940570578087ff5742fb4;1;Leonardo Uribe;2009-05-28 04:10:24;Leonardo Uribe;2009-05-28 04:10:24;merge:1 revisions:1 trunk:1;UIInput.java;api/src/main/java/javax/faces/component/UIInput.java;MODIFY;1;0;14;0;44;565.0;107.0;2738.0
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2161;98a527fc8a792b95aef940570578087ff5742fb4;1;Leonardo Uribe;2009-05-28 04:10:24;Leonardo Uribe;2009-05-28 04:10:24;merge:1 revisions:1 trunk:1;FacesServlet.java;api/src/main/java/javax/faces/webapp/FacesServlet.java;MODIFY;1;0;2;4;13;346.0;58.0;1813.0
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2161;98a527fc8a792b95aef940570578087ff5742fb4;1;Leonardo Uribe;2009-05-28 04:10:24;Leonardo Uribe;2009-05-28 04:10:24;merge:1 revisions:1 trunk:1;ApplicationTest.java;api/src/test/java/javax/faces/application/ApplicationTest.java;MODIFY;1;1;18;9;1;16.0;1.0;104.0
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2161;98a527fc8a792b95aef940570578087ff5742fb4;1;Leonardo Uribe;2009-05-28 04:10:24;Leonardo Uribe;2009-05-28 04:10:24;merge:1 revisions:1 trunk:1;pom.xml;impl/pom.xml;MODIFY;0;0;4;11;0;477.0;0.0;3559.0
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2161;98a527fc8a792b95aef940570578087ff5742fb4;1;Leonardo Uribe;2009-05-28 04:10:24;Leonardo Uribe;2009-05-28 04:10:24;merge:1 revisions:1 trunk:1;ApplicationFactoryImpl.java;impl/src/main/java/org/apache/myfaces/application/ApplicationFactoryImpl.java;MODIFY;1;0;33;5;6;60.0;12.0;272.0
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2161;98a527fc8a792b95aef940570578087ff5742fb4;1;Leonardo Uribe;2009-05-28 04:10:24;Leonardo Uribe;2009-05-28 04:10:24;merge:1 revisions:1 trunk:1;ApplicationImpl.java;impl/src/main/java/org/apache/myfaces/application/ApplicationImpl.java;MODIFY;1;0;7;8;92;1289.0;231.0;7021.0
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2161;98a527fc8a792b95aef940570578087ff5742fb4;1;Leonardo Uribe;2009-05-28 04:10:24;Leonardo Uribe;2009-05-28 04:10:24;merge:1 revisions:1 trunk:1;JspStateManagerImpl.java;impl/src/main/java/org/apache/myfaces/application/jsp/JspStateManagerImpl.java;MODIFY;1;0;39;3;32;764.0;158.0;4644.0
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2161;98a527fc8a792b95aef940570578087ff5742fb4;1;Leonardo Uribe;2009-05-28 04:10:24;Leonardo Uribe;2009-05-28 04:10:24;merge:1 revisions:1 trunk:1;FacesConfigurator.java;impl/src/main/java/org/apache/myfaces/config/FacesConfigurator.java;MODIFY;1;0;65;3;54;1634.0;309.0;8853.0
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2161;98a527fc8a792b95aef940570578087ff5742fb4;1;Leonardo Uribe;2009-05-28 04:10:24;Leonardo Uribe;2009-05-28 04:10:24;merge:1 revisions:1 trunk:1;ManagedBeanBuilder.java;impl/src/main/java/org/apache/myfaces/config/ManagedBeanBuilder.java;MODIFY;1;0;9;0;10;442.0;91.0;2687.0
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2161;98a527fc8a792b95aef940570578087ff5742fb4;1;Leonardo Uribe;2009-05-28 04:10:24;Leonardo Uribe;2009-05-28 04:10:24;merge:1 revisions:1 trunk:1;DefaultLifecycleProviderFactory.java;impl/src/main/java/org/apache/myfaces/config/annotation/DefaultLifecycleProviderFactory.java;MODIFY;1;0;1;1;7;169.0;29.0;772.0
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2161;98a527fc8a792b95aef940570578087ff5742fb4;1;Leonardo Uribe;2009-05-28 04:10:24;Leonardo Uribe;2009-05-28 04:10:24;merge:1 revisions:1 trunk:1;LifecycleProvider2.java;impl/src/main/java/org/apache/myfaces/config/annotation/LifecycleProvider2.java;ADD;1;0;47;0;0;8.0;0.0;62.0
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2161;98a527fc8a792b95aef940570578087ff5742fb4;1;Leonardo Uribe;2009-05-28 04:10:24;Leonardo Uribe;2009-05-28 04:10:24;merge:1 revisions:1 trunk:1;NoAnnotationLifecyleProvider.java;impl/src/main/java/org/apache/myfaces/config/annotation/NoAnnotationLifecyleProvider.java;MODIFY;1;0;7;1;3;17.0;3.0;95.0
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2161;98a527fc8a792b95aef940570578087ff5742fb4;1;Leonardo Uribe;2009-05-28 04:10:24;Leonardo Uribe;2009-05-28 04:10:24;merge:1 revisions:1 trunk:1;NoInjectionAnnotationLifecycleProvider.java;impl/src/main/java/org/apache/myfaces/config/annotation/NoInjectionAnnotationLifecycleProvider.java;MODIFY;1;0;8;6;5;73.0;20.0;471.0
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2161;98a527fc8a792b95aef940570578087ff5742fb4;1;Leonardo Uribe;2009-05-28 04:10:24;Leonardo Uribe;2009-05-28 04:10:24;merge:1 revisions:1 trunk:1;TomcatAnnotationLifecycleProvider.java;impl/src/main/java/org/apache/myfaces/config/annotation/TomcatAnnotationLifecycleProvider.java;MODIFY;1;0;10;2;5;48.0;6.0;302.0
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2161;98a527fc8a792b95aef940570578087ff5742fb4;1;Leonardo Uribe;2009-05-28 04:10:24;Leonardo Uribe;2009-05-28 04:10:24;merge:1 revisions:1 trunk:1;FacesContextImpl.java;impl/src/main/java/org/apache/myfaces/context/servlet/FacesContextImpl.java;MODIFY;1;0;3;3;37;403.0;68.0;1845.0
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2161;98a527fc8a792b95aef940570578087ff5742fb4;1;Leonardo Uribe;2009-05-28 04:10:24;Leonardo Uribe;2009-05-28 04:10:24;merge:1 revisions:1 trunk:1;HtmlRenderKitImpl.java;impl/src/main/java/org/apache/myfaces/renderkit/html/HtmlRenderKitImpl.java;MODIFY;1;0;38;28;19;206.0;35.0;1137.0
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2161;98a527fc8a792b95aef940570578087ff5742fb4;1;Leonardo Uribe;2009-05-28 04:10:24;Leonardo Uribe;2009-05-28 04:10:24;merge:1 revisions:1 trunk:1;HtmlResponseStateManager.java;impl/src/main/java/org/apache/myfaces/renderkit/html/HtmlResponseStateManager.java;MODIFY;1;0;5;6;8;160.0;28.0;1028.0
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2161;98a527fc8a792b95aef940570578087ff5742fb4;1;Leonardo Uribe;2009-05-28 04:10:24;Leonardo Uribe;2009-05-28 04:10:24;merge:1 revisions:1 trunk:1;LoadBundleTag.java;impl/src/main/java/org/apache/myfaces/taglib/core/LoadBundleTag.java;MODIFY;1;0;4;1;16;195.0;30.0;1076.0
MYFACES;Apache MyFaces Committee;web-framework;MYFACES-2161;98a527fc8a792b95aef940570578087ff5742fb4;1;Leonardo Uribe;2009-05-28 04:10:24;Leonardo Uribe;2009-05-28 04:10:24;merge:1 revisions:1 trunk:1;AbstractFacesInitializer.java;impl/src/main/java/org/apache/myfaces/webapp/AbstractFacesInitializer.java;MODIFY;1;0;55;0;6;105.0;22.0;676.0
