Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
NUTCH;Apache Nutch Committee;web-framework;NUTCH-678;edf49a8be85c14346e2b0a89c373b1091fb061b6;0;Tacettin Guney;2009-01-19 17:09:47;Tacettin Guney;2009-01-19 17:09:47;requires:1 update:1 git:1 id:1 https:1 apache:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;992.0;0.0;2956.0
NUTCH;Apache Nutch Committee;web-framework;NUTCH-678;edf49a8be85c14346e2b0a89c373b1091fb061b6;0;Tacettin Guney;2009-01-19 17:09:47;Tacettin Guney;2009-01-19 17:09:47;requires:1 update:1 git:1 id:1 https:1 apache:1 trunk:1;jets3t-0.6.0.jar;lib/jets3t-0.6.0.jar;DELETE;0;0;0;0;0;;;
NUTCH;Apache Nutch Committee;web-framework;NUTCH-678;edf49a8be85c14346e2b0a89c373b1091fb061b6;0;Tacettin Guney;2009-01-19 17:09:47;Tacettin Guney;2009-01-19 17:09:47;requires:1 update:1 git:1 id:1 https:1 apache:1 trunk:1;jets3t-0.6.1.jar;lib/jets3t-0.6.1.jar;ADD;0;0;0;0;0;;;
NUTCH;Apache Nutch Committee;web-framework;NUTCH-681;478c83bdbb1b783a81b8136acda3b59606090f59;0;Tacettin Guney;2009-01-21 13:09:48;Tacettin Guney;2009-01-21 13:09:48;parse:1 compilation:1 problem:1 patch:1 git:1 id:1 https:1 apache:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;994.0;0.0;2974.0
NUTCH;Apache Nutch Committee;web-framework;NUTCH-681;478c83bdbb1b783a81b8136acda3b59606090f59;0;Tacettin Guney;2009-01-21 13:09:48;Tacettin Guney;2009-01-21 13:09:48;parse:1 compilation:1 problem:1 patch:1 git:1 id:1 https:1 apache:1 trunk:1;MP3Parser.java;src/plugin/parse-mp3/src/java/org/apache/nutch/parse/mp3/MP3Parser.java;MODIFY;1;0;40;37;5;107.0;13.0;852.0
NUTCH;Apache Nutch Committee;web-framework;NUTCH-681;478c83bdbb1b783a81b8136acda3b59606090f59;0;Tacettin Guney;2009-01-21 13:09:48;Tacettin Guney;2009-01-21 13:09:48;parse:1 compilation:1 problem:1 patch:1 git:1 id:1 https:1 apache:1 trunk:1;MetadataCollector.java;src/plugin/parse-mp3/src/java/org/apache/nutch/parse/mp3/MetadataCollector.java;MODIFY;1;0;2;2;9;71.0;19.0;430.0
NUTCH;Apache Nutch Committee;web-framework;NUTCH-681;478c83bdbb1b783a81b8136acda3b59606090f59;0;Tacettin Guney;2009-01-21 13:09:48;Tacettin Guney;2009-01-21 13:09:48;parse:1 compilation:1 problem:1 patch:1 git:1 id:1 https:1 apache:1 trunk:1;TestMP3Parser.java;src/plugin/parse-mp3/src/test/org/apache/nutch/parse/mp3/TestMP3Parser.java;MODIFY;1;1;3;3;6;92.0;7.0;818.0
NUTCH;Apache Nutch Committee;web-framework;NUTCH-682;29df588d388702394edd07807d9f26e40628b209;0;Tacettin Guney;2009-01-29 19:12:08;Tacettin Guney;2009-01-29 19:12:08;indexer:1 set:1 boost:1 document:1 patch:1 git:1 id:1 https:1 apache:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;887.0;0.0;5969.0
NUTCH;Apache Nutch Committee;web-framework;NUTCH-682;29df588d388702394edd07807d9f26e40628b209;0;Tacettin Guney;2009-01-29 19:12:08;Tacettin Guney;2009-01-29 19:12:08;indexer:1 set:1 boost:1 document:1 patch:1 git:1 id:1 https:1 apache:1 trunk:1;SolrWriter.java;src/java/org/apache/nutch/indexer/solr/SolrWriter.java;MODIFY;1;0;1;0;4;57.0;10.0;409.0
NUTCH;Apache Nutch Committee;web-framework;NUTCH-683;a2ba8e229c11792afaabaf7c5dfd511142562ebc;0;Tacettin Guney;2009-02-11 09:12:15;Tacettin Guney;2009-02-11 09:12:15;broke:1 git:1 id:1 https:1 apache:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;1;0;0;898.0;0.0;5978.0
NUTCH;Apache Nutch Committee;web-framework;NUTCH-683;a2ba8e229c11792afaabaf7c5dfd511142562ebc;0;Tacettin Guney;2009-02-11 09:12:15;Tacettin Guney;2009-02-11 09:12:15;broke:1 git:1 id:1 https:1 apache:1 trunk:1;CrawlDbMerger.java;src/java/org/apache/nutch/crawl/CrawlDbMerger.java;MODIFY;1;0;13;5;9;126.0;21.0;1105.0
NUTCH;Apache Nutch Committee;web-framework;NUTCH-688;e30c6ca1ffc56680741714228e29dcb7bb2cb4c3;0;Sami Siren;2009-02-18 09:05:02;Sami Siren;2009-02-18 09:05:02;add:1 missing:1 headers:1 part:1 core:1 git:1 id:1 https:1 apache:1 trunk:1;NutchWritable.java;src/java/org/apache/nutch/crawl/NutchWritable.java;MODIFY;1;0;17;1;3;41.0;3.0;377.0
NUTCH;Apache Nutch Committee;web-framework;NUTCH-688;e30c6ca1ffc56680741714228e29dcb7bb2cb4c3;0;Sami Siren;2009-02-18 09:05:02;Sami Siren;2009-02-18 09:05:02;add:1 missing:1 headers:1 part:1 core:1 git:1 id:1 https:1 apache:1 trunk:1;IndexerMapReduce.java;src/java/org/apache/nutch/indexer/IndexerMapReduce.java;MODIFY;1;0;16;0;5;140.0;29.0;1240.0
NUTCH;Apache Nutch Committee;web-framework;NUTCH-688;e30c6ca1ffc56680741714228e29dcb7bb2cb4c3;0;Sami Siren;2009-02-18 09:05:02;Sami Siren;2009-02-18 09:05:02;add:1 missing:1 headers:1 part:1 core:1 git:1 id:1 https:1 apache:1 trunk:1;IndexerOutputFormat.java;src/java/org/apache/nutch/indexer/IndexerOutputFormat.java;MODIFY;1;0;16;0;1;32.0;4.0;235.0
NUTCH;Apache Nutch Committee;web-framework;NUTCH-688;e30c6ca1ffc56680741714228e29dcb7bb2cb4c3;0;Sami Siren;2009-02-18 09:05:02;Sami Siren;2009-02-18 09:05:02;add:1 missing:1 headers:1 part:1 core:1 git:1 id:1 https:1 apache:1 trunk:1;NutchDocument.java;src/java/org/apache/nutch/indexer/NutchDocument.java;MODIFY;1;0;16;0;13;102.0;21.0;748.0
NUTCH;Apache Nutch Committee;web-framework;NUTCH-688;e30c6ca1ffc56680741714228e29dcb7bb2cb4c3;0;Sami Siren;2009-02-18 09:05:02;Sami Siren;2009-02-18 09:05:02;add:1 missing:1 headers:1 part:1 core:1 git:1 id:1 https:1 apache:1 trunk:1;NutchIndexWriter.java;src/java/org/apache/nutch/indexer/NutchIndexWriter.java;MODIFY;1;0;16;0;0;8.0;0.0;63.0
NUTCH;Apache Nutch Committee;web-framework;NUTCH-688;e30c6ca1ffc56680741714228e29dcb7bb2cb4c3;0;Sami Siren;2009-02-18 09:05:02;Sami Siren;2009-02-18 09:05:02;add:1 missing:1 headers:1 part:1 core:1 git:1 id:1 https:1 apache:1 trunk:1;NutchIndexWriterFactory.java;src/java/org/apache/nutch/indexer/NutchIndexWriterFactory.java;MODIFY;1;0;16;0;2;30.0;5.0;224.0
NUTCH;Apache Nutch Committee;web-framework;NUTCH-688;e30c6ca1ffc56680741714228e29dcb7bb2cb4c3;0;Sami Siren;2009-02-18 09:05:02;Sami Siren;2009-02-18 09:05:02;add:1 missing:1 headers:1 part:1 core:1 git:1 id:1 https:1 apache:1 trunk:1;NutchSimilarity.java;src/java/org/apache/nutch/indexer/NutchSimilarity.java;MODIFY;1;0;1;2;2;21.0;5.0;162.0
