Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
OOZIE;Apache Oozie Committee;big-data;OOZIE-21;27f038f893dfaacd8c0d6c2226a0e1004b9c4ff9;0;Mohammad Islam;2011-09-02 00:39:03;Mohammad Islam;2011-09-02 00:39:03;closes:1 modify:1 pom:1 enable:1 exclusion:1 command:1 line:1 invoking:1 maven:1 using:1 default:1 test:1 exclusions:1 empty:1 fails:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;ENG_Building.twiki;docs/src/site/twiki/ENG_Building.twiki;MODIFY;0;0;4;0;0;176.0;0.0;859.0
OOZIE;Apache Oozie Committee;big-data;OOZIE-21;27f038f893dfaacd8c0d6c2226a0e1004b9c4ff9;0;Mohammad Islam;2011-09-02 00:39:03;Mohammad Islam;2011-09-02 00:39:03;closes:1 modify:1 pom:1 enable:1 exclusion:1 command:1 line:1 invoking:1 maven:1 using:1 default:1 test:1 exclusions:1 empty:1 fails:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;pom.xml;pom.xml;MODIFY;0;0;6;0;0;542.0;0.0;3956.0
OOZIE;Apache Oozie Committee;big-data;OOZIE-21;27f038f893dfaacd8c0d6c2226a0e1004b9c4ff9;0;Mohammad Islam;2011-09-02 00:39:03;Mohammad Islam;2011-09-02 00:39:03;closes:1 modify:1 pom:1 enable:1 exclusion:1 command:1 line:1 invoking:1 maven:1 using:1 default:1 test:1 exclusions:1 empty:1 fails:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;release-log.txt;release-log.txt;MODIFY;0;0;1;0;0;171.0;0.0;1958.0
OOZIE;Apache Oozie Committee;big-data;OOZIE-50;49f5691180f0e293e1d926a5db0a6f14d771640f;0;Mohammad Islam;2011-09-02 00:39:22;Mohammad Islam;2011-09-02 00:39:22;closes:1 update:1 pom:1 file:1 new:1 version:1 snapshot:1 mohammad:1 islam:1 lm:1 none:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;pom.xml;client/pom.xml;MODIFY;0;0;1;1;0;113.0;0.0;750.0
OOZIE;Apache Oozie Committee;big-data;OOZIE-50;49f5691180f0e293e1d926a5db0a6f14d771640f;0;Mohammad Islam;2011-09-02 00:39:22;Mohammad Islam;2011-09-02 00:39:22;closes:1 update:1 pom:1 file:1 new:1 version:1 snapshot:1 mohammad:1 islam:1 lm:1 none:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;pom.xml;core/pom.xml;MODIFY;0;0;1;1;0;355.0;0.0;2316.0
OOZIE;Apache Oozie Committee;big-data;OOZIE-50;49f5691180f0e293e1d926a5db0a6f14d771640f;0;Mohammad Islam;2011-09-02 00:39:22;Mohammad Islam;2011-09-02 00:39:22;closes:1 update:1 pom:1 file:1 new:1 version:1 snapshot:1 mohammad:1 islam:1 lm:1 none:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;pom.xml;distro/pom.xml;MODIFY;0;0;1;1;0;105.0;0.0;788.0
OOZIE;Apache Oozie Committee;big-data;OOZIE-50;49f5691180f0e293e1d926a5db0a6f14d771640f;0;Mohammad Islam;2011-09-02 00:39:22;Mohammad Islam;2011-09-02 00:39:22;closes:1 update:1 pom:1 file:1 new:1 version:1 snapshot:1 mohammad:1 islam:1 lm:1 none:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;pom.xml;docs/pom.xml;MODIFY;0;0;1;1;0;150.0;0.0;1032.0
OOZIE;Apache Oozie Committee;big-data;OOZIE-50;49f5691180f0e293e1d926a5db0a6f14d771640f;0;Mohammad Islam;2011-09-02 00:39:22;Mohammad Islam;2011-09-02 00:39:22;closes:1 update:1 pom:1 file:1 new:1 version:1 snapshot:1 mohammad:1 islam:1 lm:1 none:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;pom.xml;examples/pom.xml;MODIFY;0;0;1;1;0;114.0;0.0;814.0
OOZIE;Apache Oozie Committee;big-data;OOZIE-50;49f5691180f0e293e1d926a5db0a6f14d771640f;0;Mohammad Islam;2011-09-02 00:39:22;Mohammad Islam;2011-09-02 00:39:22;closes:1 update:1 pom:1 file:1 new:1 version:1 snapshot:1 mohammad:1 islam:1 lm:1 none:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;pom.xml;pom.xml;MODIFY;0;0;1;1;0;542.0;0.0;3942.0
OOZIE;Apache Oozie Committee;big-data;OOZIE-50;49f5691180f0e293e1d926a5db0a6f14d771640f;0;Mohammad Islam;2011-09-02 00:39:22;Mohammad Islam;2011-09-02 00:39:22;closes:1 update:1 pom:1 file:1 new:1 version:1 snapshot:1 mohammad:1 islam:1 lm:1 none:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;release-log.txt;release-log.txt;MODIFY;0;0;3;0;0;113.0;0.0;630.0
