Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
OPENJPA;Apache OpenJPA Committee;database;OPENJPA-853;2309a59df503eafd89ecaa334d4964d0ea34b605;0;Catalina Wei;2009-01-10 00:44:36;Catalina Wei;2009-01-10 00:44:36;cursor:1 open:1 problem:1 git:1 id:1 https:1 apache:1 trunk:1;InformixDictionary.java;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/InformixDictionary.java;MODIFY;1;0;9;0;14;202.0;42.0;1286.0
OPENJPA;Apache OpenJPA Committee;database;OPENJPA-860;696388049b3a89248e265af7274bdb298ab91e0a;0;Michael Dick;2009-01-15 20:21:45;Michael Dick;2009-01-15 20:21:45;improve:1 trace:1 entity:1 class:1 names:1 printed:1 found:1 git:1 id:1 https:1 apache:1 trunk:1;AbstractCFMetaDataFactory.java;openjpa-kernel/src/main/java/org/apache/openjpa/meta/AbstractCFMetaDataFactory.java;MODIFY;1;0;9;6;29;618.0;180.0;4993.0
OPENJPA;Apache OpenJPA Committee;database;OPENJPA-860;8c50f73fe4820ac25b5268553b8029c32d9c9f9e;0;Michael Dick;2009-01-16 21:12:47;Michael Dick;2009-01-16 21:12:47;fixing:1 last:1 trace:1 call:1 patch:1 originally:1 provided:1 git:1 id:1 https:1 apache:1 trunk:1;AbstractCFMetaDataFactory.java;openjpa-kernel/src/main/java/org/apache/openjpa/meta/AbstractCFMetaDataFactory.java;MODIFY;1;0;1;1;29;618.0;180.0;4993.0
OPENJPA;Apache OpenJPA Committee;database;OPENJPA-864;c5736acdf423b312fde13a86d34ec4932e22acc9;0;Michael Dick;2009-01-22 19:16:37;Michael Dick;2009-01-22 19:16:37;remove:1 table:1 aliases:1 databases:1 use:1 joins:1 git:1 id:1 https:1 apache:1 trunk:1;SelectImpl.java;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectImpl.java;MODIFY;1;0;29;27;279;2272.0;766.0;16098.0
OPENJPA;Apache OpenJPA Committee;database;OPENJPA-864;c5736acdf423b312fde13a86d34ec4932e22acc9;0;Michael Dick;2009-01-22 19:16:37;Michael Dick;2009-01-22 19:16:37;remove:1 table:1 aliases:1 databases:1 use:1 joins:1 git:1 id:1 https:1 apache:1 trunk:1;Dependent.java;openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/query/Dependent.java;ADD;1;1;76;0;8;43.0;8.0;201.0
OPENJPA;Apache OpenJPA Committee;database;OPENJPA-864;c5736acdf423b312fde13a86d34ec4932e22acc9;0;Michael Dick;2009-01-22 19:16:37;Michael Dick;2009-01-22 19:16:37;remove:1 table:1 aliases:1 databases:1 use:1 joins:1 git:1 id:1 https:1 apache:1 trunk:1;DependentId.java;openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/query/DependentId.java;ADD;1;1;88;0;8;59.0;20.0;343.0
OPENJPA;Apache OpenJPA Committee;database;OPENJPA-864;c5736acdf423b312fde13a86d34ec4932e22acc9;0;Michael Dick;2009-01-22 19:16:37;Michael Dick;2009-01-22 19:16:37;remove:1 table:1 aliases:1 databases:1 use:1 joins:1 git:1 id:1 https:1 apache:1 trunk:1;Employee.java;openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/query/Employee.java;ADD;1;1;70;0;8;37.0;8.0;164.0
OPENJPA;Apache OpenJPA Committee;database;OPENJPA-864;c5736acdf423b312fde13a86d34ec4932e22acc9;0;Michael Dick;2009-01-22 19:16:37;Michael Dick;2009-01-22 19:16:37;remove:1 table:1 aliases:1 databases:1 use:1 joins:1 git:1 id:1 https:1 apache:1 trunk:1;TestSubquery.java;openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/query/TestSubquery.java;MODIFY;1;1;26;3;3;93.0;5.0;449.0
OPENJPA;Apache OpenJPA Committee;database;OPENJPA-863;f1d2bf4bef6b479bfe9ee5eda2e5364bba7d67d5;0;Catalina Wei;2009-01-23 18:23:18;Catalina Wei;2009-01-23 18:23:18;cascade:2 unexpected:1 mere:1 behavior:1 merge:1 specified:1 sides:1 relationships:1 committing:1 patch:1 provided:1 git:1 id:1 https:1 apache:1 trunk:1;AttachManager.java;openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AttachManager.java;MODIFY;1;0;28;0;19;237.0;64.0;1684.0
OPENJPA;Apache OpenJPA Committee;database;OPENJPA-863;f1d2bf4bef6b479bfe9ee5eda2e5364bba7d67d5;0;Catalina Wei;2009-01-23 18:23:18;Catalina Wei;2009-01-23 18:23:18;cascade:2 unexpected:1 mere:1 behavior:1 merge:1 specified:1 sides:1 relationships:1 committing:1 patch:1 provided:1 git:1 id:1 https:1 apache:1 trunk:1;TestCascadeMerge.java;openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/detachment/TestCascadeMerge.java;ADD;1;1;78;0;3;48.0;4.0;341.0
