Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
PHOENIX;Apache Phoenix Committee;database;PHOENIX-32;fe18e96ae429cc0e4291075177d0e0c5f5e9a5b1;0;Simon Toens;2014-02-10 14:21:01;Simon Toens;2014-02-10 14:21:01;fix:2 phoenix:2 introduced:1 previous:1 passed:1 null:1 instead:1 https:1 issues:1 apache:1 browse:1;SaltingUtil.java;phoenix-core/src/main/java/org/apache/phoenix/schema/SaltingUtil.java;MODIFY;1;0;1;1;6;73.0;13.0;737.0
PHOENIX;Apache Phoenix Committee;database;PHOENIX-65;b549785e84a988ca09269a859ab32ac4378c94a2;0;Jeffrey Zhong;2014-02-21 01:03:00;Jeffrey Zhong;2014-02-21 01:03:00;phoenix:2 running:1 tests:1 commit:1;ConnectionQueryServicesTestImpl.java;phoenix-core/src/test/java/org/apache/phoenix/end2end/ConnectionQueryServicesTestImpl.java;MODIFY;1;1;1;1;6;77.0;15.0;462.0
PHOENIX;Apache Phoenix Committee;database;PHOENIX-65;e71d05e12b6638f3760f9c07c80778ae13ecf6c6;0;Jeffrey Zhong;2014-02-21 01:03:00;Jeffrey Zhong;2014-02-21 01:44:34;phoenix:2 running:1 tests:1 commit:1;ConnectionQueryServicesTestImpl.java;phoenix-core/src/test/java/org/apache/phoenix/end2end/ConnectionQueryServicesTestImpl.java;MODIFY;1;1;1;1;6;80.0;15.0;491.0
PHOENIX;Apache Phoenix Committee;database;PHOENIX-29;2581c20fba120466e4d1337e6ba086a435a07f2a;0;James Taylor;2014-03-04 23:14:19;James Taylor;2014-03-04 23:14:19;phoenix:2 fix:1 regression:1 due:1;ParallelIterators.java;phoenix-core/src/main/java/org/apache/phoenix/iterate/ParallelIterators.java;MODIFY;1;0;9;18;8;223.0;43.0;2067.0
PHOENIX;Apache Phoenix Committee;database;PHOENIX-76;2581c20fba120466e4d1337e6ba086a435a07f2a;0;James Taylor;2014-03-04 23:14:19;James Taylor;2014-03-04 23:14:19;phoenix:2 fix:1 regression:1 due:1;ParallelIterators.java;phoenix-core/src/main/java/org/apache/phoenix/iterate/ParallelIterators.java;MODIFY;1;0;9;18;8;223.0;43.0;2067.0
PHOENIX;Apache Phoenix Committee;database;PHOENIX-1133;b2fb7b41f98641410b43f702940bb6ff192a7986;0;James Taylor;2014-08-05 15:42:36;James Taylor;2014-08-05 15:52:57;phoenix:4 java:2 add:1 integration:1 tests:1 verify:1 fix:1 conflicts:1 core:1 apache:1;SkipScanAfterManualSplitIT.java;phoenix-core/src/it/java/org/apache/phoenix/end2end/SkipScanAfterManualSplitIT.java;ADD;1;0;363;0;9;271.0;19.0;2240.0
PHOENIX;Apache Phoenix Committee;database;PHOENIX-1133;26fc3223deaa41e1f1fafda3b82dd8535f625af8;0;James Taylor;2014-08-06 22:48:16;James Taylor;2014-08-06 22:49:44;phoenix:2 add:1 integration:1 tests:1 verify:1 fix:1;SkipScanAfterManualSplitIT.java;phoenix-core/src/it/java/org/apache/phoenix/end2end/SkipScanAfterManualSplitIT.java;MODIFY;1;0;1;3;8;256.0;17.0;2104.0
PHOENIX;Apache Phoenix Committee;database;PHOENIX-1470;5e2c182aad7f1a8ed9d3c5a29240b61b399342d7;0;Andrew Purtell;2014-12-13 01:21:18;Andrew Purtell;2014-12-13 01:21:27;phoenix:2 bump:1 default:1 version:1;pom.xml;pom.xml;MODIFY;0;0;1;1;0;652.0;0.0;5357.0
PHOENIX;Apache Phoenix Committee;database;PHOENIX-1470;2f100af20c51b2f4810c4bb1103cd1cba48732a9;0;Andrew Purtell;2014-12-13 18:42:40;Andrew Purtell;2014-12-13 18:42:40;phoenix:2 revert:1 bump:1 default:1 version:1 reverts:1 commit:1;pom.xml;pom.xml;MODIFY;0;0;1;1;0;652.0;0.0;5357.0
PHOENIX;Apache Phoenix Committee;database;PHOENIX-1642;ad2ad0cefd5d19a9bc84345444455a9ecbb55c78;0;Enis Soztutar;2015-03-26 01:08:35;Enis Soztutar;2015-03-26 01:08:35;phoenix:2 make:1 master:1 branch:1 pointing:1 addendum:1;IndexHalfStoreFileReader.java;phoenix-core/src/main/java/org/apache/hadoop/hbase/regionserver/IndexHalfStoreFileReader.java;MODIFY;1;0;1;1;10;340.0;55.0;2669.0
