Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
SSHD;Apache MINA Committee;network-server;SSHD-12;5c48ae675a5f739730225b2f97439fb2946bf213;0;Guillaume Nodet;2009-02-06 08:46:53;Guillaume Nodet;2009-02-06 08:46:53;handle:1 sessions:1 requests:1 clients:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;ServerSession.java;src/main/java/org/apache/sshd/server/session/ServerSession.java;MODIFY;1;0;16;4;19;355;64;2216
SSHD;Apache MINA Committee;network-server;SSHD-14;604df60f7f8d4bfcbcacc662028a7a4203e7c2c0;0;Guillaume Nodet;2009-02-10 08:18:21;Guillaume Nodet;2009-02-10 08:18:21;id:2 fix:1 bad:1 channel:1 free:1 client:1 error:1 git:1 https:1 apache:1 mina:1 trunk:1;ServerSession.java;src/main/java/org/apache/sshd/server/session/ServerSession.java;MODIFY;1;0;1;1;19;355;64;2216
SSHD;Apache MINA Committee;network-server;SSHD-18;0dd3bf2a033e275eca36d83cda4955a8a97fa652;0;Guillaume Nodet;2009-03-18 17:05:09;Guillaume Nodet;2009-03-18 17:05:09;close:1 private:1 key:1 stream:1 reading:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;FileKeyPairProvider.java;src/main/java/org/apache/sshd/common/keyprovider/FileKeyPairProvider.java;MODIFY;1;0;7;3;8;59;12;384
SSHD;Apache MINA Committee;network-server;SSHD-16;7f50b87239a5321dcca4896d87ce64dc0ae291ca;0;Guillaume Nodet;2009-03-30 19:11:29;Guillaume Nodet;2009-03-30 19:11:29;fix:1 problem:1 client:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;AbstractSession.java;src/main/java/org/apache/sshd/common/session/AbstractSession.java;MODIFY;1;0;1;1;35;582;106;4300
SSHD;Apache MINA Committee;network-server;SSHD-16;7f50b87239a5321dcca4896d87ce64dc0ae291ca;0;Guillaume Nodet;2009-03-30 19:11:29;Guillaume Nodet;2009-03-30 19:11:29;fix:1 problem:1 client:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;ServerTest.java;src/test/java/org/apache/sshd/ServerTest.java;MODIFY;1;1;27;0;6;93;7;738
SSHD;Apache MINA Committee;network-server;SSHD-20;ef34c2055c7ced356f4c41630c5295dc9e5bc8e1;0;Guillaume Nodet;2009-04-18 07:21:09;Guillaume Nodet;2009-04-18 07:21:09;avoid:1 race:1 conditions:1 creating:1 channels:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;ChannelSession.java;src/main/java/org/apache/sshd/server/channel/ChannelSession.java;MODIFY;1;0;7;4;27;360;66;2778
SSHD;Apache MINA Committee;network-server;SSHD-14;074f1ef8f6b0a832c69221659026a83218cc951b;0;Guillaume Nodet;2009-04-18 07:26:10;Guillaume Nodet;2009-04-18 07:26:10;id:2 fix:1 bad:1 channel:1 free:1 client:1 error:1 git:1 https:1 apache:1 mina:1 trunk:1;ChannelSession.java;src/main/java/org/apache/sshd/server/channel/ChannelSession.java;MODIFY;1;0;10;10;27;360;66;2778
SSHD;Apache MINA Committee;network-server;SSHD-24;79db5bdc260e04a10045c21a1a58e8e120e3755a;0;Guillaume Nodet;2009-06-08 06:59:04;Guillaume Nodet;2009-06-08 06:59:04;requires:1 unlimited:1 cryptography:1 extension:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;SshClient.java;sshd-core/src/main/java/org/apache/sshd/SshClient.java;MODIFY;1;0;28;6;10;225;34;1896
SSHD;Apache MINA Committee;network-server;SSHD-24;79db5bdc260e04a10045c21a1a58e8e120e3755a;0;Guillaume Nodet;2009-06-08 06:59:04;Guillaume Nodet;2009-06-08 06:59:04;requires:1 unlimited:1 cryptography:1 extension:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;SshServer.java;sshd-core/src/main/java/org/apache/sshd/SshServer.java;MODIFY;1;0;28;6;23;240;44;1855
SSHD;Apache MINA Committee;network-server;SSHD-37;70ef986e41b094ed8cc1efebeadb7515486636a6;0;Guillaume Nodet;2009-07-27 06:50:40;Guillaume Nodet;2009-07-27 06:50:40;terminal:1 created:1 lines:1 columns:1 attributes:1 set:1 correctly:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;ChannelSession.java;sshd-core/src/main/java/org/apache/sshd/server/channel/ChannelSession.java;MODIFY;1;0;2;0;39;442;87;3341
SSHD;Apache MINA Committee;network-server;SSHD-34;899945ef61ad278e65e980528252436bd6f0e3d0;0;Guillaume Nodet;2009-07-27 06:56:11;Guillaume Nodet;2009-07-27 06:56:11;handle:1 correctly:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;ChannelPipedInputStream.java;sshd-core/src/main/java/org/apache/sshd/common/channel/ChannelPipedInputStream.java;MODIFY;1;0;17;1;6;79;17;451
SSHD;Apache MINA Committee;network-server;SSHD-34;899945ef61ad278e65e980528252436bd6f0e3d0;0;Guillaume Nodet;2009-07-27 06:56:11;Guillaume Nodet;2009-07-27 06:56:11;handle:1 correctly:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;ChannelPipedOutputStream.java;sshd-core/src/main/java/org/apache/sshd/common/channel/ChannelPipedOutputStream.java;MODIFY;1;0;3;1;4;26;4;157
SSHD;Apache MINA Committee;network-server;SSHD-35;809f50d8271772da3654636b91eaf3bc3156539b;0;Guillaume Nodet;2009-07-27 06:59:42;Guillaume Nodet;2009-07-27 06:59:42;client:1 propagated:1 command:1 patch:1 provided:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;ChannelSession.java;sshd-core/src/main/java/org/apache/sshd/server/channel/ChannelSession.java;MODIFY;1;0;6;0;40;447;88;3364
SSHD;Apache MINA Committee;network-server;SSHD-28;a4f42ce8374dad5a8d274261efe8f51afbc7c5f4;0;Guillaume Nodet;2009-07-27 14:00:38;Guillaume Nodet;2009-07-27 14:00:38;thread:2 deadlock:1 execute:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;ChannelOutputStream.java;sshd-core/src/main/java/org/apache/sshd/common/channel/ChannelOutputStream.java;MODIFY;1;0;3;0;6;84;16;528
