Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
STORM;Apache Storm Committee;big-data;STORM-260;28e65a82bfcd60f38c93115974f6a8653756f9b5;0;Adrian Petrescu;2014-03-21 21:17:40;Adrian Petrescu;2014-03-21 21:17:40;time:3 storm:3 race:2 condition:2 java:2 simulating:2 mode:2 fix:1 test:1 runs:1 occasionally:1 failing:1 bit:1 investigation:1 seems:1 disable:1 thread:1 currently:1 sleeping:1 wakes:1 check:1 still:1 try:1 remove:1 sleep:1 get:1 refs:1 https:1 issues:1 apache:1 browse:1;Time.java;storm-core/src/jvm/backtype/storm/utils/Time.java;MODIFY;1;0;12;6;9;77.0;18.0;500.0
STORM;Apache Storm Committee;big-data;STORM-296;5b4bb313510b1986afbe3e9522011f6f8376ca2c;1;Robert (Bobby) Evans;2014-05-06 15:52:37;Robert (Bobby) Evans;2014-05-06 15:52:37;storm:4 merge:1 branch:1 https:1 incubator:1 kafka:1 unit:1 tests:1 failing:1 windows:1 try:1;KafkaTestBroker.java;external/storm-kafka/src/test/storm/kafka/KafkaTestBroker.java;MODIFY;1;1;28;13;5;62.0;8.0;417.0
STORM;Apache Storm Committee;big-data;STORM-296;5b4bb313510b1986afbe3e9522011f6f8376ca2c;1;Robert (Bobby) Evans;2014-05-06 15:52:37;Robert (Bobby) Evans;2014-05-06 15:52:37;storm:4 merge:1 branch:1 https:1 incubator:1 kafka:1 unit:1 tests:1 failing:1 windows:1 try:1;KafkaUtilsTest.java;external/storm-kafka/src/test/storm/kafka/KafkaUtilsTest.java;MODIFY;1;1;6;2;24;192.0;28.0;1601.0
STORM;Apache Storm Committee;big-data;STORM-296;5b4bb313510b1986afbe3e9522011f6f8376ca2c;1;Robert (Bobby) Evans;2014-05-06 15:52:37;Robert (Bobby) Evans;2014-05-06 15:52:37;storm:4 merge:1 branch:1 https:1 incubator:1 kafka:1 unit:1 tests:1 failing:1 windows:1 try:1;ZkCoordinatorTest.java;external/storm-kafka/src/test/storm/kafka/ZkCoordinatorTest.java;MODIFY;1;1;1;1;9;109.0;14.0;935.0
STORM;Apache Storm Committee;big-data;STORM-298;685d38168965472bc6e97124e8fdcb2d28be512c;1;Robert (Bobby) Evans;2014-05-14 15:07:27;Robert (Bobby) Evans;2014-05-14 15:07:27;storm:3 merge:1 branch:1 master:1 https:1 incubator:1 file:1 include:1 full:1 path:1 metrics:1;cluster.xml;logback/cluster.xml;MODIFY;0;0;1;1;0;70.0;0.0;636.0
STORM;Apache Storm Committee;big-data;STORM-280;f930b0beb6ff66fae00c2067012b366ec8f0eb7e;1;Robert (Bobby) Evans;2014-05-14 15:23:16;Robert (Bobby) Evans;2014-05-14 15:23:16;storm:4 windows:2 merge:1 branch:1 build:1 issues:1 https:1 incubator:1 unit:1 tests:1 failing:1;testing.clj;storm-core/src/clj/backtype/storm/testing.clj;MODIFY;1;0;4;1;0;556.0;0.0;5196.0
STORM;Apache Storm Committee;big-data;STORM-303;5b0258322fd0b479fb372a69184a24bc27958c21;0;Brenden Matthews;2014-04-28 19:15:54;Brenden Matthews;2014-05-17 02:24:21;storm:4 port:2 kafka:2 work:2 forward:1 https:1 plus:1 current:1 incubator:1 project:1 code:1 use:1 production:1 cluster:1 battle:1 tested:1 billions:1 messages:1 day:1;Broker.java;external/storm-kafka/src/jvm/storm/kafka/Broker.java;MODIFY;1;0;2;1;7;53.0;14.0;340.0
STORM;Apache Storm Committee;big-data;STORM-303;5b0258322fd0b479fb372a69184a24bc27958c21;0;Brenden Matthews;2014-04-28 19:15:54;Brenden Matthews;2014-05-17 02:24:21;storm:4 port:2 kafka:2 work:2 forward:1 https:1 plus:1 current:1 incubator:1 project:1 code:1 use:1 production:1 cluster:1 battle:1 tested:1 billions:1 messages:1 day:1;BrokerHosts.java;external/storm-kafka/src/jvm/storm/kafka/BrokerHosts.java;MODIFY;1;0;1;1;0;4.0;0.0;19.0
STORM;Apache Storm Committee;big-data;STORM-303;5b0258322fd0b479fb372a69184a24bc27958c21;0;Brenden Matthews;2014-04-28 19:15:54;Brenden Matthews;2014-05-17 02:24:21;storm:4 port:2 kafka:2 work:2 forward:1 https:1 plus:1 current:1 incubator:1 project:1 code:1 use:1 production:1 cluster:1 battle:1 tested:1 billions:1 messages:1 day:1;DynamicBrokersReader.java;external/storm-kafka/src/jvm/storm/kafka/DynamicBrokersReader.java;MODIFY;1;0;6;4;8;98.0;16.0;716.0
STORM;Apache Storm Committee;big-data;STORM-303;5b0258322fd0b479fb372a69184a24bc27958c21;0;Brenden Matthews;2014-04-28 19:15:54;Brenden Matthews;2014-05-17 02:24:21;storm:4 port:2 kafka:2 work:2 forward:1 https:1 plus:1 current:1 incubator:1 project:1 code:1 use:1 production:1 cluster:1 battle:1 tested:1 billions:1 messages:1 day:1;KafkaConfig.java;external/storm-kafka/src/jvm/storm/kafka/KafkaConfig.java;MODIFY;1;0;2;0;2;27.0;2.0;187.0
