Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
SYNCOPE;Apache Syncope Committee;security;SYNCOPE-1;2a8d0486d0388ea83e88775aaaa5980d55668e92;0;Marco Di Sabatino Di Diodoro;2012-02-21 16:36:26;Marco Di Sabatino Di Diodoro;2012-02-21 16:36:26;syncope:2 resolve:1 updated:1 source:1 file:1 headers:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;pom.xml;archetype/pom.xml;MODIFY;0;0;15;9;0;170.0;0.0;1305.0
SYNCOPE;Apache Syncope Committee;security;SYNCOPE-1;2a8d0486d0388ea83e88775aaaa5980d55668e92;0;Marco Di Sabatino Di Diodoro;2012-02-21 16:36:26;Marco Di Sabatino Di Diodoro;2012-02-21 16:36:26;syncope:2 resolve:1 updated:1 source:1 file:1 headers:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;pom.xml;archetype/src/main/resources/archetype-resources/console/pom.xml;MODIFY;0;0;20;1;0;242.0;0.0;1754.0
SYNCOPE;Apache Syncope Committee;security;SYNCOPE-1;2a8d0486d0388ea83e88775aaaa5980d55668e92;0;Marco Di Sabatino Di Diodoro;2012-02-21 16:36:26;Marco Di Sabatino Di Diodoro;2012-02-21 16:36:26;syncope:2 resolve:1 updated:1 source:1 file:1 headers:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;pom.xml;archetype/src/main/resources/archetype-resources/core/pom.xml;MODIFY;0;0;20;1;0;305.0;0.0;2139.0
SYNCOPE;Apache Syncope Committee;security;SYNCOPE-1;2a8d0486d0388ea83e88775aaaa5980d55668e92;0;Marco Di Sabatino Di Diodoro;2012-02-21 16:36:26;Marco Di Sabatino Di Diodoro;2012-02-21 16:36:26;syncope:2 resolve:1 updated:1 source:1 file:1 headers:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;security.properties;archetype/src/main/resources/archetype-resources/core/src/main/resources/security.properties;MODIFY;0;0;13;9;0;6.0;0.0;10.0
SYNCOPE;Apache Syncope Committee;security;SYNCOPE-1;2a8d0486d0388ea83e88775aaaa5980d55668e92;0;Marco Di Sabatino Di Diodoro;2012-02-21 16:36:26;Marco Di Sabatino Di Diodoro;2012-02-21 16:36:26;syncope:2 resolve:1 updated:1 source:1 file:1 headers:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;security.properties;archetype/src/main/resources/archetype-resources/core/src/test/resources/security.properties;MODIFY;0;0;13;9;0;6.0;0.0;10.0
SYNCOPE;Apache Syncope Committee;security;SYNCOPE-1;2a8d0486d0388ea83e88775aaaa5980d55668e92;0;Marco Di Sabatino Di Diodoro;2012-02-21 16:36:26;Marco Di Sabatino Di Diodoro;2012-02-21 16:36:26;syncope:2 resolve:1 updated:1 source:1 file:1 headers:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;pom.xml;archetype/src/main/resources/archetype-resources/pom.xml;MODIFY;0;0;20;1;0;81.0;0.0;636.0
SYNCOPE;Apache Syncope Committee;security;SYNCOPE-1;2a8d0486d0388ea83e88775aaaa5980d55668e92;0;Marco Di Sabatino Di Diodoro;2012-02-21 16:36:26;Marco Di Sabatino Di Diodoro;2012-02-21 16:36:26;syncope:2 resolve:1 updated:1 source:1 file:1 headers:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;pom.xml;build-tools/pom.xml;MODIFY;0;0;15;9;0;164.0;0.0;1219.0
SYNCOPE;Apache Syncope Committee;security;SYNCOPE-1;2a8d0486d0388ea83e88775aaaa5980d55668e92;0;Marco Di Sabatino Di Diodoro;2012-02-21 16:36:26;Marco Di Sabatino Di Diodoro;2012-02-21 16:36:26;syncope:2 resolve:1 updated:1 source:1 file:1 headers:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;ApacheDSRootDseServlet.java;build-tools/src/main/java/org/syncope/buildtools/ApacheDSRootDseServlet.java;MODIFY;1;0;13;10;2;67.0;6.0;539.0
SYNCOPE;Apache Syncope Committee;security;SYNCOPE-1;2a8d0486d0388ea83e88775aaaa5980d55668e92;0;Marco Di Sabatino Di Diodoro;2012-02-21 16:36:26;Marco Di Sabatino Di Diodoro;2012-02-21 16:36:26;syncope:2 resolve:1 updated:1 source:1 file:1 headers:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;ApacheDSStartStopListener.java;build-tools/src/main/java/org/syncope/buildtools/ApacheDSStartStopListener.java;MODIFY;1;0;13;10;6;164.0;20.0;1285.0
SYNCOPE;Apache Syncope Committee;security;SYNCOPE-1;2a8d0486d0388ea83e88775aaaa5980d55668e92;0;Marco Di Sabatino Di Diodoro;2012-02-21 16:36:26;Marco Di Sabatino Di Diodoro;2012-02-21 16:36:26;syncope:2 resolve:1 updated:1 source:1 file:1 headers:1 git:1 id:1 https:1 apache:1 incubator:1 trunk:1;H2StartStopListener.java;build-tools/src/main/java/org/syncope/buildtools/H2StartStopListener.java;MODIFY;1;0;13;9;2;71.0;9.0;442.0
