Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-300;07e3d145583d15bf85bcab93cb2a41cdd8940e02;0;Matthias Boehm;2016-01-10 07:09:59;Matthias Boehm;2016-01-10 07:09:59;fix:2 python:2 parser:2 cast:2 functions:2 names:2 function:1 handling:1 change:1 fixes:1 general:1 issue:1 led:1 recognizing:1 mapping:1 due:1 problem:1 scalar:1 matrix:1 integer:1 logical:1 double:1 assignment:1 statements:1 incorrectly:1 dispatched:1 functional:1 calls:1 simple:1;PydmlSyntacticValidator.java;src/main/java/org/apache/sysml/parser/python/PydmlSyntacticValidator.java;MODIFY;1;0;18;9;109;1723.0;485.0;14953.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-146;52fae50d564a2f9305e118703b7e928fa978e318;0;Matthias Boehm;2016-01-12 16:11:37;Matthias Boehm;2016-01-12 16:11:56;local:2 test:2 fix:1 various:1 tests:1 issues:1 directory:1 missing:1 input:1 change:1 mainly:1 fixes:1 corrupted:1 directories:1 led:1 side:1 effects:1 concurrent:1 runs:1 ran:1 maven:1 verify:1 related:1 partial:1 revert:1 commit:1;AutomatedTestBase.java;src/test/java/org/apache/sysml/test/integration/AutomatedTestBase.java;MODIFY;1;1;8;3;79;821.0;176.0;6067.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-146;52fae50d564a2f9305e118703b7e928fa978e318;0;Matthias Boehm;2016-01-12 16:11:37;Matthias Boehm;2016-01-12 16:11:56;local:2 test:2 fix:1 various:1 tests:1 issues:1 directory:1 missing:1 input:1 change:1 mainly:1 fixes:1 corrupted:1 directories:1 led:1 side:1 effects:1 concurrent:1 runs:1 ran:1 maven:1 verify:1 related:1 partial:1 revert:1 commit:1;ColSumTest.dml;src/test/scripts/functions/aggregate/ColSumTest.dml;MODIFY;0;0;0;2;0;14.0;0.0;94.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;.gitattributes;.gitattributes;ADD;0;0;13;0;0;7.0;0.0;31.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;MatrixMultiplicationOperators.txt;docs/devdocs/MatrixMultiplicationOperators.txt;MODIFY;0;0;128;125;0;104.0;0.0;1817.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;ALS-DS.dml;scripts/algorithms/ALS-DS.dml;MODIFY;0;0;169;169;0;108.0;0.0;939.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;ALS_topk_predict.dml;scripts/algorithms/ALS_topk_predict.dml;MODIFY;0;0;126;126;2;63.0;2.0;470.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;Cox-predict.dml;scripts/algorithms/Cox-predict.dml;MODIFY;0;0;181;181;1;107.0;1.0;991.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;Cox.dml;scripts/algorithms/Cox.dml;MODIFY;0;0;502;502;13;335.0;23.0;2856.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;GLM-predict.dml;scripts/algorithms/GLM-predict.dml;MODIFY;0;0;444;444;8;329.0;46.0;3229.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;GLM.dml;scripts/algorithms/GLM.dml;MODIFY;0;0;1167;1167;17;899.0;180.0;8887.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;KM.dml;scripts/algorithms/KM.dml;MODIFY;0;0;618;618;21;465.0;56.0;4655.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;Kmeans-predict.dml;scripts/algorithms/Kmeans-predict.dml;MODIFY;0;0;339;339;8;219.0;25.0;2164.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;Kmeans.dml;scripts/algorithms/Kmeans.dml;MODIFY;0;0;282;282;4;182.0;14.0;1764.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;LinearRegCG.dml;scripts/algorithms/LinearRegCG.dml;MODIFY;0;0;286;286;12;181.0;14.0;1289.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;LinearRegDS.dml;scripts/algorithms/LinearRegDS.dml;MODIFY;0;0;224;224;8;136.0;8.0;988.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;MultiLogReg.dml;scripts/algorithms/MultiLogReg.dml;MODIFY;0;0;365;365;10;260.0;30.0;2209.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;PCA.dml;scripts/algorithms/PCA.dml;MODIFY;0;0;112;112;5;62.0;6.0;463.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;StepGLM.dml;scripts/algorithms/StepGLM.dml;MODIFY;0;0;1195;1195;10;911.0;159.0;8747.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;StepLinearRegDS.dml;scripts/algorithms/StepLinearRegDS.dml;MODIFY;0;0;388;388;2;252.0;29.0;2108.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;Univar-Stats.dml;scripts/algorithms/Univar-Stats.dml;MODIFY;0;0;150;150;1;85.0;4.0;619.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;bivar-stats.dml;scripts/algorithms/bivar-stats.dml;MODIFY;0;0;398;398;12;277.0;30.0;2163.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;decision-tree-predict.dml;scripts/algorithms/decision-tree-predict.dml;MODIFY;0;0;142;142;3;96.0;11.0;706.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;l2-svm.dml;scripts/algorithms/l2-svm.dml;MODIFY;0;0;159;159;3;106.0;6.0;729.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;m-svm-predict.dml;scripts/algorithms/m-svm-predict.dml;MODIFY;0;0;84;84;1;51.0;5.0;356.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;m-svm.dml;scripts/algorithms/m-svm.dml;MODIFY;0;0;174;174;4;123.0;11.0;910.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;random-forest-predict.dml;scripts/algorithms/random-forest-predict.dml;MODIFY;0;0;193;193;4;135.0;18.0;1059.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;random-forest.dml;scripts/algorithms/random-forest.dml;MODIFY;0;0;1375;1375;16;1043.0;101.0;11196.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;stratstats.dml;scripts/algorithms/stratstats.dml;MODIFY;0;0;396;396;7;262.0;10.0;2660.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;genCorrelatedData.dml;scripts/datagen/genCorrelatedData.dml;MODIFY;0;0;46;46;1;24.0;1.0;146.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;genRandData4ChisquaredTest.dml;scripts/datagen/genRandData4ChisquaredTest.dml;MODIFY;0;0;87;87;2;61.0;9.0;472.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;genRandData4DecisionTree1.dml;scripts/datagen/genRandData4DecisionTree1.dml;MODIFY;0;0;39;39;0;20.0;0.0;135.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;genRandData4DecisionTree2.dml;scripts/datagen/genRandData4DecisionTree2.dml;MODIFY;0;0;40;40;0;21.0;0.0;117.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;genRandData4FTest.dml;scripts/datagen/genRandData4FTest.dml;MODIFY;0;0;95;95;3;68.0;5.0;617.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;genRandData4Kmeans.dml;scripts/datagen/genRandData4Kmeans.dml;MODIFY;0;0;120;120;1;66.0;1.0;559.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;genRandData4LinearRegression.dml;scripts/datagen/genRandData4LinearRegression.dml;MODIFY;0;0;61;61;1;41.0;1.0;238.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;genRandData4LogReg_LTstats.dml;scripts/datagen/genRandData4LogReg_LTstats.dml;MODIFY;0;0;233;233;7;154.0;9.0;1387.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;genRandData4MultiClassSVM.dml;scripts/datagen/genRandData4MultiClassSVM.dml;MODIFY;0;0;68;68;2;46.0;2.0;313.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;genRandData4NMF.dml;scripts/datagen/genRandData4NMF.dml;MODIFY;0;0;129;129;5;88.0;13.0;610.0
SYSTEMML; Apache SystemML Committee;machine-learning;SYSTEMML-482;05d2c0a802c942298b13b44ea5c79feadceb0ff7;0;Mike Dusenberry;2016-01-22 16:31:35;Mike Dusenberry;2016-01-22 16:31:35;line:2 endings:2 adding:1 git:1 attributes:1 file:1 unix:1 styled:1 normalizing:1 closes:1;genRandData4NMFBlockwise.dml;scripts/datagen/genRandData4NMFBlockwise.dml;MODIFY;0;0;138;138;5;96.0;13.0;638.0
