Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
TIKA;Apache Tika Committee;library;TIKA-185;e77e233f0e74edc6271a5dad2c8b1a7fe22925e2;0;Jukka Zitting;2009-01-15 23:52:48;Jukka Zitting;2009-01-15 23:52:48;entities:2 files:1 unsatisfied:1 system:1 extracted:1 implemented:1 decorator:1 class:1 makes:1 parser:1 silently:1 ignore:1 external:1 replaced:1 empty:1 string:1 use:1 parsers:1 also:1 enable:1 secure:1 parsing:1 feature:1 git:1 id:1 https:1 apache:1 trunk:1;OpenOfficeContentParser.java;src/main/java/org/apache/tika/parser/opendocument/OpenOfficeContentParser.java;MODIFY;1;0;5;1;1;185.0;22.0;1256.0
TIKA;Apache Tika Committee;library;TIKA-185;e77e233f0e74edc6271a5dad2c8b1a7fe22925e2;0;Jukka Zitting;2009-01-15 23:52:48;Jukka Zitting;2009-01-15 23:52:48;entities:2 files:1 unsatisfied:1 system:1 extracted:1 implemented:1 decorator:1 class:1 makes:1 parser:1 silently:1 ignore:1 external:1 replaced:1 empty:1 string:1 use:1 parsers:1 also:1 enable:1 secure:1 parsing:1 feature:1 git:1 id:1 https:1 apache:1 trunk:1;OpenOfficeMetaParser.java;src/main/java/org/apache/tika/parser/opendocument/OpenOfficeMetaParser.java;MODIFY;1;0;15;16;3;45.0;3.0;423.0
TIKA;Apache Tika Committee;library;TIKA-185;e77e233f0e74edc6271a5dad2c8b1a7fe22925e2;0;Jukka Zitting;2009-01-15 23:52:48;Jukka Zitting;2009-01-15 23:52:48;entities:2 files:1 unsatisfied:1 system:1 extracted:1 implemented:1 decorator:1 class:1 makes:1 parser:1 silently:1 ignore:1 external:1 replaced:1 empty:1 string:1 use:1 parsers:1 also:1 enable:1 secure:1 parsing:1 feature:1 git:1 id:1 https:1 apache:1 trunk:1;DcXMLParser.java;src/main/java/org/apache/tika/parser/xml/DcXMLParser.java;MODIFY;1;0;16;17;2;38.0;2.0;404.0
TIKA;Apache Tika Committee;library;TIKA-185;e77e233f0e74edc6271a5dad2c8b1a7fe22925e2;0;Jukka Zitting;2009-01-15 23:52:48;Jukka Zitting;2009-01-15 23:52:48;entities:2 files:1 unsatisfied:1 system:1 extracted:1 implemented:1 decorator:1 class:1 makes:1 parser:1 silently:1 ignore:1 external:1 replaced:1 empty:1 string:1 use:1 parsers:1 also:1 enable:1 secure:1 parsing:1 feature:1 git:1 id:1 https:1 apache:1 trunk:1;XMLParser.java;src/main/java/org/apache/tika/parser/xml/XMLParser.java;MODIFY;1;0;6;3;2;47.0;4.0;344.0
TIKA;Apache Tika Committee;library;TIKA-185;e77e233f0e74edc6271a5dad2c8b1a7fe22925e2;0;Jukka Zitting;2009-01-15 23:52:48;Jukka Zitting;2009-01-15 23:52:48;entities:2 files:1 unsatisfied:1 system:1 extracted:1 implemented:1 decorator:1 class:1 makes:1 parser:1 silently:1 ignore:1 external:1 replaced:1 empty:1 string:1 use:1 parsers:1 also:1 enable:1 secure:1 parsing:1 feature:1 git:1 id:1 https:1 apache:1 trunk:1;OfflineContentHandler.java;src/main/java/org/apache/tika/sax/OfflineContentHandler.java;ADD;1;0;45;0;2;13.0;2.0;83.0
TIKA;Apache Tika Committee;library;TIKA-185;e77e233f0e74edc6271a5dad2c8b1a7fe22925e2;0;Jukka Zitting;2009-01-15 23:52:48;Jukka Zitting;2009-01-15 23:52:48;entities:2 files:1 unsatisfied:1 system:1 extracted:1 implemented:1 decorator:1 class:1 makes:1 parser:1 silently:1 ignore:1 external:1 replaced:1 empty:1 string:1 use:1 parsers:1 also:1 enable:1 secure:1 parsing:1 feature:1 git:1 id:1 https:1 apache:1 trunk:1;OfflineContentHandlerTest.java;src/test/java/org/apache/tika/sax/OfflineContentHandlerTest.java;ADD;1;1;66;0;3;36.0;5.0;215.0
TIKA;Apache Tika Committee;library;TIKA-190;2699cf47e222d61b5c4f5ab0757c63199e3fd62a;0;Jukka Zitting;2009-01-25 20:25:45;Jukka Zitting;2009-01-25 20:25:45;wrong:1 handling:1 characters:1 patch:1 git:1 id:1 https:1 apache:1 trunk:1;SafeContentHandler.java;src/main/java/org/apache/tika/sax/SafeContentHandler.java;MODIFY;1;0;1;1;8;58.0;14.0;401.0
TIKA;Apache Tika Committee;library;TIKA-190;2699cf47e222d61b5c4f5ab0757c63199e3fd62a;0;Jukka Zitting;2009-01-25 20:25:45;Jukka Zitting;2009-01-25 20:25:45;wrong:1 handling:1 characters:1 patch:1 git:1 id:1 https:1 apache:1 trunk:1;WriteOutContentHandler.java;src/main/java/org/apache/tika/sax/WriteOutContentHandler.java;MODIFY;1;0;14;0;7;50.0;10.0;275.0
TIKA;Apache Tika Committee;library;TIKA-189;dd352d27c1b955103b2be76f2d5bca88f3b8e48b;0;Jukka Zitting;2009-01-25 21:08:53;Jukka Zitting;2009-01-25 21:08:53;text:1 extraction:1 excel:1 files:1 juxtaposes:1 cells:1 seems:1 like:1 row:1 column:1 numbering:1 starts:1 zero:1 fixed:1 code:1 values:1 first:1 two:1 columns:1 get:1 concatenated:1 git:1 id:1 https:1 apache:1 trunk:1;ExcelExtractor.java;src/main/java/org/apache/tika/parser/microsoft/ExcelExtractor.java;MODIFY;1;0;3;3;11;221.0;42.0;1646.0
TIKA;Apache Tika Committee;library;TIKA-189;dd352d27c1b955103b2be76f2d5bca88f3b8e48b;0;Jukka Zitting;2009-01-25 21:08:53;Jukka Zitting;2009-01-25 21:08:53;text:1 extraction:1 excel:1 files:1 juxtaposes:1 cells:1 seems:1 like:1 row:1 column:1 numbering:1 starts:1 zero:1 fixed:1 code:1 values:1 first:1 two:1 columns:1 get:1 concatenated:1 git:1 id:1 https:1 apache:1 trunk:1;ExcelParserTest.java;src/test/java/org/apache/tika/parser/microsoft/ExcelParserTest.java;MODIFY;1;1;2;0;1;33.0;1.0;256.0
