Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
VYSPER;Apache MINA Committee;network-server;VYSPER-17;a6358a04ed8f4467db809cc801e883e2dc1efa10;0;Bernd Fondermann;2009-04-27 16:13:45;Bernd Fondermann;2009-04-27 16:13:45;storage:2 changing:2 memory:2 one:2 context:2 possible:2 labs:1 service:1 changes:1 line:1 code:1 storages:1 share:1 common:1 interface:1 registry:1 two:1 method:1 interfaces:1 merged:1 make:1 elegantly:1 need:1 longer:1 exposed:1 server:1 adding:1 users:1 user:1 authorization:1 bug:1 installing:1 single:1 module:1 fixed:1 initialize:1 called:1 git:1 id:1 https:1 apache:1 mina:1 sandbox:1 trunk:1;spring-config.xml;src/main/config/spring-config.xml;MODIFY;0;0;11;3;0;142;0;993
VYSPER;Apache MINA Committee;network-server;VYSPER-17;a6358a04ed8f4467db809cc801e883e2dc1efa10;0;Bernd Fondermann;2009-04-27 16:13:45;Bernd Fondermann;2009-04-27 16:13:45;storage:2 changing:2 memory:2 one:2 context:2 possible:2 labs:1 service:1 changes:1 line:1 code:1 storages:1 share:1 common:1 interface:1 registry:1 two:1 method:1 interfaces:1 merged:1 make:1 elegantly:1 need:1 longer:1 exposed:1 server:1 adding:1 users:1 user:1 authorization:1 bug:1 installing:1 single:1 module:1 fixed:1 initialize:1 called:1 git:1 id:1 https:1 apache:1 mina:1 sandbox:1 trunk:1;AddUserHelper.java;src/main/java/org/apache/vysper/spring/AddUserHelper.java;ADD;1;0;52;0;2;23;5;218
VYSPER;Apache MINA Committee;network-server;VYSPER-17;a6358a04ed8f4467db809cc801e883e2dc1efa10;0;Bernd Fondermann;2009-04-27 16:13:45;Bernd Fondermann;2009-04-27 16:13:45;storage:2 changing:2 memory:2 one:2 context:2 possible:2 labs:1 service:1 changes:1 line:1 code:1 storages:1 share:1 common:1 interface:1 registry:1 two:1 method:1 interfaces:1 merged:1 make:1 elegantly:1 need:1 longer:1 exposed:1 server:1 adding:1 users:1 user:1 authorization:1 bug:1 installing:1 single:1 module:1 fixed:1 initialize:1 called:1 git:1 id:1 https:1 apache:1 mina:1 sandbox:1 trunk:1;OpenStorageProviderRegistry.java;src/main/java/org/apache/vysper/storage/OpenStorageProviderRegistry.java;ADD;1;0;107;0;5;58;18;454
VYSPER;Apache MINA Committee;network-server;VYSPER-17;a6358a04ed8f4467db809cc801e883e2dc1efa10;0;Bernd Fondermann;2009-04-27 16:13:45;Bernd Fondermann;2009-04-27 16:13:45;storage:2 changing:2 memory:2 one:2 context:2 possible:2 labs:1 service:1 changes:1 line:1 code:1 storages:1 share:1 common:1 interface:1 registry:1 two:1 method:1 interfaces:1 merged:1 make:1 elegantly:1 need:1 longer:1 exposed:1 server:1 adding:1 users:1 user:1 authorization:1 bug:1 installing:1 single:1 module:1 fixed:1 initialize:1 called:1 git:1 id:1 https:1 apache:1 mina:1 sandbox:1 trunk:1;StorageProvider.java;src/main/java/org/apache/vysper/xmpp/authorization/AccountCreation.java;RENAME;1;0;3;3;0;3;0;14
VYSPER;Apache MINA Committee;network-server;VYSPER-17;a6358a04ed8f4467db809cc801e883e2dc1efa10;0;Bernd Fondermann;2009-04-27 16:13:45;Bernd Fondermann;2009-04-27 16:13:45;storage:2 changing:2 memory:2 one:2 context:2 possible:2 labs:1 service:1 changes:1 line:1 code:1 storages:1 share:1 common:1 interface:1 registry:1 two:1 method:1 interfaces:1 merged:1 make:1 elegantly:1 need:1 longer:1 exposed:1 server:1 adding:1 users:1 user:1 authorization:1 bug:1 installing:1 single:1 module:1 fixed:1 initialize:1 called:1 git:1 id:1 https:1 apache:1 mina:1 sandbox:1 trunk:1;StorageProviderRegistry.java;src/main/java/org/apache/vysper/storage/StorageProviderRegistry.java;ADD;1;0;31;0;0;5;0;33
VYSPER;Apache MINA Committee;network-server;VYSPER-17;a6358a04ed8f4467db809cc801e883e2dc1efa10;0;Bernd Fondermann;2009-04-27 16:13:45;Bernd Fondermann;2009-04-27 16:13:45;storage:2 changing:2 memory:2 one:2 context:2 possible:2 labs:1 service:1 changes:1 line:1 code:1 storages:1 share:1 common:1 interface:1 registry:1 two:1 method:1 interfaces:1 merged:1 make:1 elegantly:1 need:1 longer:1 exposed:1 server:1 adding:1 users:1 user:1 authorization:1 bug:1 installing:1 single:1 module:1 fixed:1 initialize:1 called:1 git:1 id:1 https:1 apache:1 mina:1 sandbox:1 trunk:1;MemoryStorageProviderRegistry.java;src/main/java/org/apache/vysper/storage/inmemory/MemoryStorageProviderRegistry.java;ADD;1;0;39;0;1;10;1;81
VYSPER;Apache MINA Committee;network-server;VYSPER-17;a6358a04ed8f4467db809cc801e883e2dc1efa10;0;Bernd Fondermann;2009-04-27 16:13:45;Bernd Fondermann;2009-04-27 16:13:45;storage:2 changing:2 memory:2 one:2 context:2 possible:2 labs:1 service:1 changes:1 line:1 code:1 storages:1 share:1 common:1 interface:1 registry:1 two:1 method:1 interfaces:1 merged:1 make:1 elegantly:1 need:1 longer:1 exposed:1 server:1 adding:1 users:1 user:1 authorization:1 bug:1 installing:1 single:1 module:1 fixed:1 initialize:1 called:1 git:1 id:1 https:1 apache:1 mina:1 sandbox:1 trunk:1;JcrStorageProviderRegistry.java;src/main/java/org/apache/vysper/storage/jcr/JcrStorageProviderRegistry.java;ADD;1;0;40;0;1;12;1;119
VYSPER;Apache MINA Committee;network-server;VYSPER-17;a6358a04ed8f4467db809cc801e883e2dc1efa10;0;Bernd Fondermann;2009-04-27 16:13:45;Bernd Fondermann;2009-04-27 16:13:45;storage:2 changing:2 memory:2 one:2 context:2 possible:2 labs:1 service:1 changes:1 line:1 code:1 storages:1 share:1 common:1 interface:1 registry:1 two:1 method:1 interfaces:1 merged:1 make:1 elegantly:1 need:1 longer:1 exposed:1 server:1 adding:1 users:1 user:1 authorization:1 bug:1 installing:1 single:1 module:1 fixed:1 initialize:1 called:1 git:1 id:1 https:1 apache:1 mina:1 sandbox:1 trunk:1;JcrUserManagement.java;src/main/java/org/apache/vysper/storage/jcr/user/JcrUserManagement.java;MODIFY;1;0;4;5;5;71;15;536
VYSPER;Apache MINA Committee;network-server;VYSPER-17;a6358a04ed8f4467db809cc801e883e2dc1efa10;0;Bernd Fondermann;2009-04-27 16:13:45;Bernd Fondermann;2009-04-27 16:13:45;storage:2 changing:2 memory:2 one:2 context:2 possible:2 labs:1 service:1 changes:1 line:1 code:1 storages:1 share:1 common:1 interface:1 registry:1 two:1 method:1 interfaces:1 merged:1 make:1 elegantly:1 need:1 longer:1 exposed:1 server:1 adding:1 users:1 user:1 authorization:1 bug:1 installing:1 single:1 module:1 fixed:1 initialize:1 called:1 git:1 id:1 https:1 apache:1 mina:1 sandbox:1 trunk:1;AccountManagement.java;src/main/java/org/apache/vysper/xmpp/authorization/AccountVerification.java;RENAME;1;0;4;1;0;7;0;61
VYSPER;Apache MINA Committee;network-server;VYSPER-17;a6358a04ed8f4467db809cc801e883e2dc1efa10;0;Bernd Fondermann;2009-04-27 16:13:45;Bernd Fondermann;2009-04-27 16:13:45;storage:2 changing:2 memory:2 one:2 context:2 possible:2 labs:1 service:1 changes:1 line:1 code:1 storages:1 share:1 common:1 interface:1 registry:1 two:1 method:1 interfaces:1 merged:1 make:1 elegantly:1 need:1 longer:1 exposed:1 server:1 adding:1 users:1 user:1 authorization:1 bug:1 installing:1 single:1 module:1 fixed:1 initialize:1 called:1 git:1 id:1 https:1 apache:1 mina:1 sandbox:1 trunk:1;SimpleUserAuthorization.java;src/main/java/org/apache/vysper/xmpp/authorization/SimpleUserAuthorization.java;MODIFY;1;0;1;1;7;28;7;219
