Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
WW;Apache Struts Committee;web-framework;WW-2944;53e37edc7806aad9048a3fe93cc964598d541928;0;Musachy Barroso;2009-01-02 14:39:46;Musachy Barroso;2009-01-02 14:39:46;action:3 found:1 use:1 specified:1 attribute:1 instead:1 name:1 git:1 id:1 https:1 apache:1 struts:1 trunk:1;ServletUrlRenderer.java;core/src/main/java/org/apache/struts2/components/ServletUrlRenderer.java;MODIFY;1;0;13;14;8;190.0;51.0;1686.0
WW;Apache Struts Committee;web-framework;WW-2966;5c48dc9150857ebe261b5cb56c947ab99f0b33b4;0;Musachy Barroso;2009-01-28 21:12:12;Musachy Barroso;2009-01-28 21:12:12;render:1 correctly:1 git:1 id:1 https:1 apache:1 struts:1 trunk:1;tooltip.ftl;core/src/main/resources/template/xhtml/tooltip.ftl;MODIFY;0;0;2;2;0;21.0;0.0;38.0
WW;Apache Struts Committee;web-framework;WW-2966;5c48dc9150857ebe261b5cb56c947ab99f0b33b4;0;Musachy Barroso;2009-01-28 21:12:12;Musachy Barroso;2009-01-28 21:12:12;render:1 correctly:1 git:1 id:1 https:1 apache:1 struts:1 trunk:1;TooltipTest.java;core/src/test/java/org/apache/struts2/views/jsp/ui/TooltipTest.java;MODIFY;1;1;34;0;10;263.0;10.0;1588.0
WW;Apache Struts Committee;web-framework;WW-2966;5c48dc9150857ebe261b5cb56c947ab99f0b33b4;0;Musachy Barroso;2009-01-28 21:12:12;Musachy Barroso;2009-01-28 21:12:12;render:1 correctly:1 git:1 id:1 https:1 apache:1 struts:1 trunk:1;tooltip-4.txt;core/src/test/resources/org/apache/struts2/views/jsp/ui/tooltip-4.txt;ADD;0;1;19;0;0;16.0;0.0;92.0
WW;Apache Struts Committee;web-framework;WW-2988;b7bdc8bab6db57e3b1cbe1b649054de78f05f126;0;Musachy Barroso;2009-02-09 21:57:05;Musachy Barroso;2009-02-09 21:57:05;id:2 tags:1 set:1 attribute:1 generated:1 tag:1 git:1 https:1 apache:1 struts:1 trunk:1;actionerror.ftl;core/src/main/resources/template/simple/actionerror.ftl;MODIFY;0;0;3;0;0;21.0;0.0;63.0
WW;Apache Struts Committee;web-framework;WW-2988;b7bdc8bab6db57e3b1cbe1b649054de78f05f126;0;Musachy Barroso;2009-02-09 21:57:05;Musachy Barroso;2009-02-09 21:57:05;id:2 tags:1 set:1 attribute:1 generated:1 tag:1 git:1 https:1 apache:1 struts:1 trunk:1;actionmessage.ftl;core/src/main/resources/template/simple/actionmessage.ftl;MODIFY;0;0;3;0;0;21.0;0.0;63.0
WW;Apache Struts Committee;web-framework;WW-2988;b7bdc8bab6db57e3b1cbe1b649054de78f05f126;0;Musachy Barroso;2009-02-09 21:57:05;Musachy Barroso;2009-02-09 21:57:05;id:2 tags:1 set:1 attribute:1 generated:1 tag:1 git:1 https:1 apache:1 struts:1 trunk:1;fielderror.ftl;core/src/main/resources/template/simple/fielderror.ftl;MODIFY;0;0;3;0;0;62.0;0.0;145.0
WW;Apache Struts Committee;web-framework;WW-2988;b7bdc8bab6db57e3b1cbe1b649054de78f05f126;0;Musachy Barroso;2009-02-09 21:57:05;Musachy Barroso;2009-02-09 21:57:05;id:2 tags:1 set:1 attribute:1 generated:1 tag:1 git:1 https:1 apache:1 struts:1 trunk:1;ActionErrorTagTest.java;core/src/test/java/org/apache/struts2/views/jsp/ui/ActionErrorTagTest.java;MODIFY;1;1;2;0;7;63.0;8.0;399.0
WW;Apache Struts Committee;web-framework;WW-2988;b7bdc8bab6db57e3b1cbe1b649054de78f05f126;0;Musachy Barroso;2009-02-09 21:57:05;Musachy Barroso;2009-02-09 21:57:05;id:2 tags:1 set:1 attribute:1 generated:1 tag:1 git:1 https:1 apache:1 struts:1 trunk:1;ActionMessageTagTest.java;core/src/test/java/org/apache/struts2/views/jsp/ui/ActionMessageTagTest.java;MODIFY;1;1;2;0;7;62.0;8.0;396.0
WW;Apache Struts Committee;web-framework;WW-2988;b7bdc8bab6db57e3b1cbe1b649054de78f05f126;0;Musachy Barroso;2009-02-09 21:57:05;Musachy Barroso;2009-02-09 21:57:05;id:2 tags:1 set:1 attribute:1 generated:1 tag:1 git:1 https:1 apache:1 struts:1 trunk:1;FieldErrorTagTest.java;core/src/test/java/org/apache/struts2/views/jsp/ui/FieldErrorTagTest.java;MODIFY;1;1;1;0;15;187.0;17.0;1295.0
