Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-273;b17e881ff0e6fa9ce0ab5063c3a390fda782e752;0;Mahadev Konar;2009-01-26 17:56:22;Mahadev Konar;2009-01-26 17:56:22;c:1 client:1 build:1 depend:1 pat:1 git:1 id:1 https:1 apache:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;285.0;0.0;2215.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-273;b17e881ff0e6fa9ce0ab5063c3a390fda782e752;0;Mahadev Konar;2009-01-26 17:56:22;Mahadev Konar;2009-01-26 17:56:22;c:1 client:1 build:1 depend:1 pat:1 git:1 id:1 https:1 apache:1 trunk:1;README;src/c/README;MODIFY;0;0;2;0;0;104.0;0.0;578.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-273;b17e881ff0e6fa9ce0ab5063c3a390fda782e752;0;Mahadev Konar;2009-01-26 17:56:22;Mahadev Konar;2009-01-26 17:56:22;c:1 client:1 build:1 depend:1 pat:1 git:1 id:1 https:1 apache:1 trunk:1;configure.ac;src/c/configure.ac;MODIFY;0;0;11;1;0;62.0;0.0;517.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-268;f340e569fe7c33985298397d31b89638a397bf19;0;Mahadev Konar;2009-01-26 19:21:38;Mahadev Konar;2009-01-26 19:21:38;jute:1 generated:1 objects:1 cause:1 pat:1 git:1 id:1 https:1 apache:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;287.0;0.0;2233.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-268;f340e569fe7c33985298397d31b89638a397bf19;0;Mahadev Konar;2009-01-26 19:21:38;Mahadev Konar;2009-01-26 19:21:38;jute:1 generated:1 objects:1 cause:1 pat:1 git:1 id:1 https:1 apache:1 trunk:1;Utils.java;src/java/main/org/apache/jute/Utils.java;MODIFY;1;0;16;11;12;193.0;70.0;1516.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-268;f340e569fe7c33985298397d31b89638a397bf19;0;Mahadev Konar;2009-01-26 19:21:38;Mahadev Konar;2009-01-26 19:21:38;jute:1 generated:1 objects:1 cause:1 pat:1 git:1 id:1 https:1 apache:1 trunk:1;ToStringTest.java;src/java/test/org/apache/zookeeper/server/ToStringTest.java;ADD;1;1;38;0;1;11.0;1.0;74.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-267;e5b90d600c69107da88d1758c1e66eba7cc1abad;0;Benjamin Reed;2009-01-28 00:15:33;Benjamin Reed;2009-01-28 00:15:33;java:1 client:1 incorrectly:1 generating:1 event:1 disconnected:1 state:1 git:1 id:1 https:1 apache:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;2;0;287.0;0.0;2253.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-267;e5b90d600c69107da88d1758c1e66eba7cc1abad;0;Benjamin Reed;2009-01-28 00:15:33;Benjamin Reed;2009-01-28 00:15:33;java:1 client:1 incorrectly:1 generating:1 event:1 disconnected:1 state:1 git:1 id:1 https:1 apache:1 trunk:1;zookeeperAdmin.html;docs/zookeeperAdmin.html;MODIFY;0;0;2;2;0;1200.0;0.0;4344.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-267;e5b90d600c69107da88d1758c1e66eba7cc1abad;0;Benjamin Reed;2009-01-28 00:15:33;Benjamin Reed;2009-01-28 00:15:33;java:1 client:1 incorrectly:1 generating:1 event:1 disconnected:1 state:1 git:1 id:1 https:1 apache:1 trunk:1;zookeeperAdmin.pdf;docs/zookeeperAdmin.pdf;MODIFY;0;0;230;230;0;;;
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-267;e5b90d600c69107da88d1758c1e66eba7cc1abad;0;Benjamin Reed;2009-01-28 00:15:33;Benjamin Reed;2009-01-28 00:15:33;java:1 client:1 incorrectly:1 generating:1 event:1 disconnected:1 state:1 git:1 id:1 https:1 apache:1 trunk:1;zookeeperProgrammers.html;docs/zookeeperProgrammers.html;MODIFY;0;0;31;22;3;1797.0;7.0;6962.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-267;e5b90d600c69107da88d1758c1e66eba7cc1abad;0;Benjamin Reed;2009-01-28 00:15:33;Benjamin Reed;2009-01-28 00:15:33;java:1 client:1 incorrectly:1 generating:1 event:1 disconnected:1 state:1 git:1 id:1 https:1 apache:1 trunk:1;zookeeperProgrammers.pdf;docs/zookeeperProgrammers.pdf;MODIFY;0;0;425;437;0;;;
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-267;e5b90d600c69107da88d1758c1e66eba7cc1abad;0;Benjamin Reed;2009-01-28 00:15:33;Benjamin Reed;2009-01-28 00:15:33;java:1 client:1 incorrectly:1 generating:1 event:1 disconnected:1 state:1 git:1 id:1 https:1 apache:1 trunk:1;cli.c;src/c/src/cli.c;MODIFY;1;0;18;8;15;465.0;102.0;3090.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-267;e5b90d600c69107da88d1758c1e66eba7cc1abad;0;Benjamin Reed;2009-01-28 00:15:33;Benjamin Reed;2009-01-28 00:15:33;java:1 client:1 incorrectly:1 generating:1 event:1 disconnected:1 state:1 git:1 id:1 https:1 apache:1 trunk:1;zookeeper.c;src/c/src/zookeeper.c;MODIFY;1;0;1;1;98;2145.0;478.0;14415.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-267;e5b90d600c69107da88d1758c1e66eba7cc1abad;0;Benjamin Reed;2009-01-28 00:15:33;Benjamin Reed;2009-01-28 00:15:33;java:1 client:1 incorrectly:1 generating:1 event:1 disconnected:1 state:1 git:1 id:1 https:1 apache:1 trunk:1;zookeeperProgrammers.xml;src/docs/src/documentation/content/xdocs/zookeeperProgrammers.xml;MODIFY;0;0;10;0;0;1234.0;0.0;6415.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-267;e5b90d600c69107da88d1758c1e66eba7cc1abad;0;Benjamin Reed;2009-01-28 00:15:33;Benjamin Reed;2009-01-28 00:15:33;java:1 client:1 incorrectly:1 generating:1 event:1 disconnected:1 state:1 git:1 id:1 https:1 apache:1 trunk:1;ClientCnxn.java;src/java/main/org/apache/zookeeper/ClientCnxn.java;MODIFY;1;0;14;0;38;851.0;150.0;5610.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-267;e5b90d600c69107da88d1758c1e66eba7cc1abad;0;Benjamin Reed;2009-01-28 00:15:33;Benjamin Reed;2009-01-28 00:15:33;java:1 client:1 incorrectly:1 generating:1 event:1 disconnected:1 state:1 git:1 id:1 https:1 apache:1 trunk:1;DataTree.java;src/java/main/org/apache/zookeeper/server/DataTree.java;MODIFY;1;0;0;1;37;599.0;112.0;4369.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-267;e5b90d600c69107da88d1758c1e66eba7cc1abad;0;Benjamin Reed;2009-01-28 00:15:33;Benjamin Reed;2009-01-28 00:15:33;java:1 client:1 incorrectly:1 generating:1 event:1 disconnected:1 state:1 git:1 id:1 https:1 apache:1 trunk:1;CommitProcessor.java;src/java/main/org/apache/zookeeper/server/quorum/CommitProcessor.java;MODIFY;1;0;0;2;5;118.0;33.0;685.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-267;e5b90d600c69107da88d1758c1e66eba7cc1abad;0;Benjamin Reed;2009-01-28 00:15:33;Benjamin Reed;2009-01-28 00:15:33;java:1 client:1 incorrectly:1 generating:1 event:1 disconnected:1 state:1 git:1 id:1 https:1 apache:1 trunk:1;SessionTest.java;src/java/test/org/apache/zookeeper/test/SessionTest.java;MODIFY;1;1;55;4;9;132.0;15.0;924.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-275;7d8d199a4662ab710c8f3a12745b86dbdb4c7520;0;Mahadev Konar;2009-01-29 23:11:02;Mahadev Konar;2009-01-29 23:11:02;bug:1 git:1 id:1 https:1 apache:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;2;0;0;294.0;0.0;2287.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-275;7d8d199a4662ab710c8f3a12745b86dbdb4c7520;0;Mahadev Konar;2009-01-29 23:11:02;Mahadev Konar;2009-01-29 23:11:02;bug:1 git:1 id:1 https:1 apache:1 trunk:1;FastLeaderElection.java;src/java/main/org/apache/zookeeper/server/quorum/FastLeaderElection.java;MODIFY;1;0;21;8;21;336.0;67.0;2237.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-275;7d8d199a4662ab710c8f3a12745b86dbdb4c7520;0;Mahadev Konar;2009-01-29 23:11:02;Mahadev Konar;2009-01-29 23:11:02;bug:1 git:1 id:1 https:1 apache:1 trunk:1;QuorumCnxManager.java;src/java/main/org/apache/zookeeper/server/quorum/QuorumCnxManager.java;MODIFY;1;0;19;10;20;354.0;65.0;2194.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-275;7d8d199a4662ab710c8f3a12745b86dbdb4c7520;0;Mahadev Konar;2009-01-29 23:11:02;Mahadev Konar;2009-01-29 23:11:02;bug:1 git:1 id:1 https:1 apache:1 trunk:1;QuorumPeer.java;src/java/main/org/apache/zookeeper/server/quorum/QuorumPeer.java;MODIFY;1;0;3;1;47;427.0;91.0;2279.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-275;7d8d199a4662ab710c8f3a12745b86dbdb4c7520;0;Mahadev Konar;2009-01-29 23:11:02;Mahadev Konar;2009-01-29 23:11:02;bug:1 git:1 id:1 https:1 apache:1 trunk:1;FLENewEpochTest.java;src/java/test/org/apache/zookeeper/test/FLENewEpochTest.java;ADD;1;1;185;0;5;136.0;18.0;1028.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-272;bd67906b1daa622e2c78032f453c0cc2e777b8cb;0;Mahadev Konar;2009-01-29 23:21:37;Mahadev Konar;2009-01-29 23:21:37;fail:1 large:1 number:1 children:1 git:1 id:1 https:1 apache:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;2;0;0;295.0;0.0;2303.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-272;bd67906b1daa622e2c78032f453c0cc2e777b8cb;0;Mahadev Konar;2009-01-29 23:21:37;Mahadev Konar;2009-01-29 23:21:37;fail:1 large:1 number:1 children:1 git:1 id:1 https:1 apache:1 trunk:1;ClientCnxn.java;src/java/main/org/apache/zookeeper/ClientCnxn.java;MODIFY;1;0;4;1;38;853.0;150.0;5626.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-291;2890f77b0ea58176e14780d99c4dc3cc0dfa88fd;0;Mahadev Konar;2009-02-04 19:57:39;Mahadev Konar;2009-02-04 19:57:39;code:2 regression:1 legacy:1 using:1 constants:1 due:1 pat:1 git:1 id:1 https:1 apache:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;6;3;0;331.0;0.0;2419.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-291;2890f77b0ea58176e14780d99c4dc3cc0dfa88fd;0;Mahadev Konar;2009-02-04 19:57:39;Mahadev Konar;2009-02-04 19:57:39;code:2 regression:1 legacy:1 using:1 constants:1 due:1 pat:1 git:1 id:1 https:1 apache:1 trunk:1;KeeperException.java;src/java/main/org/apache/zookeeper/KeeperException.java;MODIFY;1;0;149;124;34;317.0;75.0;1437.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-291;2890f77b0ea58176e14780d99c4dc3cc0dfa88fd;0;Mahadev Konar;2009-02-04 19:57:39;Mahadev Konar;2009-02-04 19:57:39;code:2 regression:1 legacy:1 using:1 constants:1 due:1 pat:1 git:1 id:1 https:1 apache:1 trunk:1;KeeperStateTest.java;src/java/test/org/apache/zookeeper/test/KeeperStateTest.java;MODIFY;1;1;27;1;4;42.0;8.0;213.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-293;4447e6dfa786f918b7e89754b10c70509fccae46;0;Mahadev Konar;2009-02-05 21:16:02;Mahadev Konar;2009-02-05 21:16:02;needs:1 compatible:1 changed:1 signature:1 fix:1 adding:1 pat:1 git:1 id:1 https:1 apache:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;6;0;0;335.0;0.0;2468.0
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-293;4447e6dfa786f918b7e89754b10c70509fccae46;0;Mahadev Konar;2009-02-05 21:16:02;Mahadev Konar;2009-02-05 21:16:02;needs:1 compatible:1 changed:1 signature:1 fix:1 adding:1 pat:1 git:1 id:1 https:1 apache:1 trunk:1;Makefile.am;src/c/Makefile.am;MODIFY;0;0;2;2;0;77.0;0.0;627.0
