Project;Manager;Category;Key;Author;CreationDate;Content
TAP5;Apache Tapestry Committee;web-framework;TAP5-443;fern;2009-01-09T06:18:38.751+0000;java:13 tapestry:6 core:6 main:6 apache:6 services:6 class:5 internal:3 index:2 revision:2 working:2 copy:2 marker:2 traditional:2 public:2 import:1 io:1 implements:1 component:1 private:1 final:1 external:1 url:1 dd:1 dl:1 void:1 configuration:1
TAP5;Apache Tapestry Committee;web-framework;TAP5-443;hlship;2009-01-09T15:32:52.739+0000;works:2 verify:1 bug:1 code:1 currently:1 stands:1 bamboo:1 get:1 problem:1
TAP5;Apache Tapestry Committee;web-framework;TAP5-443;fern;2009-01-09T20:35:33.101+0000;tapestry:5 broken:2 end:1 exception:1 logs:1 complains:1 including:1 tests:1 include:1 snapshot:1 core:1 spring:1 upload:1 annotations:1 even:1 see:1 error:1 conceptually:1 right:1 two:1 services:1 declaring:1 traditional:1 marker:1 sure:1 work:1
TAP5;Apache Tapestry Committee;web-framework;TAP5-443;hlship;2009-01-12T21:33:26.781+0000;info:41 tapestry:41 snapshot:25 upload:19 jar:13 users:11 howard:11 work:10 apache:9 target:8 repository:8 clean:6 resources:5 core:5 checking:5 updates:5 install:4 error:4 test:4 source:4 building:3 file:3 default:3 warning:3 sources:3 directory:2 execution:2 using:2 encoding:2 copy:2 filtered:2 metadata:2 retrieved:2 due:2 transferring:2 blacklisted:2 compiler:2 compiling:2 files:2 classes:2 running:2 tests:2 run:2 failures:2 errors:2 skipped:2 time:2 installing:2 m2:2 markers:2 scanning:1 projects:1 component:1 library:1 task:1 segment:1 deleting:1 compile:1 report:1 reports:1 e:1 parser:1 elapsed:1 sec:1 results:1 preparing:1 removing:1 forked:1 prevent:1 recursive:1 invocation:1 goals:1 needed:1 project:1 skipping:1 build:1 successful:1 total:1 seconds:1 finished:1 mon:1 jan:1 pst:1 final:1 memory:1 multiple:1 point:1 injection:1 injected:1 based:1 intersection:1 type:1
TAP5;Apache Tapestry Committee;web-framework;TAP5-443;fern;2009-01-15T16:39:28.975+0000;test:3 unit:2 thing:1 reading:1 markers:1 code:1 asking:1 traditional:1 two:1 services:1 marked:1 figure:1 someone:1 mailing:1 list:1 issues:1 sure:1 actually:1 brings:1 tapestry:1 dependencies:1 testing:1 maybe:1 integration:1
TAP5;Apache Tapestry Committee;web-framework;TAP5-443;fern;2009-01-15T17:04:57.752+0000;traditional:8 class:6 primary:5 umbrella:5 markers:4 service:4 patch:4 bind:3 point:2 exception:2 marker:2 tapestry:2 way:2 differentiate:2 two:2 dream:2 multiple:1 injection:1 injected:1 based:1 intersection:1 type:1 howard:1 statement:1 eating:1 right:1 smart:1 enough:1 use:1 long:1 list:1 determine:1 code:1 patched:1 depending:1 implementations:1 one:1 fix:1 force:1 also:1 add:1 every:1 time:1 want:1 bring:1 go:1 summary:1 someone:1 trying:1 inject:1 see:1 currently:1 submitted:1 mentioned:1 refers:1 actually:1 removing:1 together:1 adding:1 simply:1
TAP5;Apache Tapestry Committee;web-framework;TAP5-443;hlship;2009-01-15T17:15:54.012+0000;java:85 apache:56 services:42 service:40 internal:31 error:15 jetty:15 handle:11 invoke:10 registry:8 invoking:8 upload:7 logger:6 method:5 list:4 handler:4 unable:3 locate:3 single:3 assignable:3 type:3 marker:3 annotation:3 traditional:3 following:3 match:3 bind:3 map:3 dispatch:3 determining:2 injection:2 value:2 parameter:2 builder:2 contribution:2 constructor:2 server:2 run:2 sorry:1 dismiss:1 one:1 hand:1 bit:1 worked:1 many:1 issues:1 anyway:1 reproduce:1 created:1 new:1 empty:1 project:1 dependency:1 tapestry:1 operations:1 trace:1 realizing:1 collecting:1 ordered:1 configuration:1 construction:1 failed:1 delegate:1 bar:1 security:1 io:1 thread:1
TAP5;Apache Tapestry Committee;web-framework;TAP5-443;hlship;2009-01-15T17:26:58.346+0000;error:8 registry:8 apache:4 services:4 java:3 service:2 invoking:2 list:2 determining:2 injection:2 value:2 parameter:2 upload:2 hm:1 found:1 gap:1 used:1 thus:1 operations:1 trace:1 realizing:1 logger:1 collecting:1 ordered:1 configuration:1 method:1 instance:1 class:1 internal:1
TAP5;Apache Tapestry Committee;web-framework;TAP5-443;hlship;2009-01-15T17:31:53.145+0000;pipeline:2 really:1 needed:1 primary:1 annotation:1 distinguish:1 services:1 contributed:1
TAP5;Apache Tapestry Committee;web-framework;TAP5-454;hlship;2009-01-23T22:50:33.873+0000;package:2 easy:1 fix:1 contribute:1 mapping:1 version:1 slight:1 tweak:1 allow:1 empty:1 string:1 name:1 prefix:1
TAP5;Apache Tapestry Committee;web-framework;TAP5-457;messi;2009-01-22T18:34:59.722+0000;names:2 attached:1 patch:1 adds:1 default:1 prefix:1 mappings:1 apache:1 element:1 required:1 http:1 www:1 ns:1 constraint:1 reserved:1 prefixes:1
TAP5;Apache Tapestry Committee;web-framework;TAP5-457;hlship;2009-01-27T01:53:24.813+0000;another:1 useful:1 reference:1 within:1 spec:1 http:1 www:1 names:1
TAP5;Apache Tapestry Committee;web-framework;TAP5-469;hlship;2009-01-26T23:13:49.010+0000;mac:2 os:2 x:2 problem:2 reproduce:1 use:1 ie:1 see:1 assume:1
TAP5;Apache Tapestry Committee;web-framework;TAP5-469;hlship;2009-01-26T23:16:46.014+0000;suspect:1 problem:1 content:1 type:1 application:1 technically:1 correct:1 list:1 prototype:1 documentation:1
TAP5;Apache Tapestry Committee;web-framework;TAP5-469;hlship;2009-01-26T23:18:56.831+0000;windows:1 works:1 correctly:1
