Project;Manager;Category;Key;Author;CreationDate;Content
HELIX;Apache Helix Committee;cloud;HELIX-3;hudson;2012-10-25T09:16:33.721+0000;helix:81 java:78 apache:40 core:39 main:39 alerts:2 integrated:1 see:1 https:1 builds:1 job:1 fix:1 license:1 headers:1 sources:1 revision:1 result:1 unstable:1 files:1 criteria:1 aggregator:1
HELIX;Apache Helix Committee;cloud;HELIX-3;hudson;2012-10-25T12:13:08.994+0000;helix:115 java:112 apache:57 core:56 main:56 controller:36 stages:21 alerts:20 pipeline:7 integrated:1 see:1 https:1 builds:1 job:1 fix:1 license:1 headers:1 sources:1 revision:1 result:1 unstable:1 files:1 alert:1 stage:1 operator:1
HELIX;Apache Helix Committee;cloud;HELIX-3;hudson;2012-10-25T22:26:02.414+0000;helix:785 java:782 apache:392 core:391 main:199 test:192 manager:57 integration:56 store:32 tools:28 monitoring:27 package:24 info:24 model:23 participant:22 mock:22 messaging:19 controller:18 file:16 stages:12 storage:12 handling:12 alerts:11 examples:9 consumer:3 spectator:2 router:2 relay:2 integrated:1 see:1 https:1 builds:1 job:1 fix:1 license:1 headers:1 sources:1 revision:1 result:1 failure:1 files:1 message:1 cache:1 mocks:1 partition:1 resource:1 error:1 pipeline:1 transition:1
HELIX;Apache Helix Committee;cloud;HELIX-3;hudson;2012-10-26T15:58:09.952+0000;helix:71 java:66 apache:34 main:26 resources:24 test:17 tools:6 integration:5 simple:2 get:2 integrated:1 see:1 https:1 builds:1 job:1 fix:1 license:1 headers:1 sources:1 revision:1 result:1 success:1 files:1 post:1 stop:1 service:1 mock:1 ivy:1 nonexistent:1
HELIX;Apache Helix Committee;cloud;HELIX-3;olamy;2012-10-26T16:02:11.786+0000;done:1
HELIX;Apache Helix Committee;cloud;HELIX-6;hudson;2012-11-09T17:11:26.759+0000;helix:53 java:48 core:26 apache:25 main:23 controller:7 stages:6 test:5 tools:3 integration:3 store:2 scripts:2 script:2 participant:2 integrated:1 see:1 https:1 builds:1 job:1 removing:1 author:1 tags:1 revision:1 result:1 unstable:1 g:1 files:1 package:1 info:1 manager:1 model:1 message:1
HELIX;Apache Helix Committee;cloud;HELIX-6;hudson;2012-12-14T22:56:17.779+0000;helix:4 apache:2 java:2 integrated:1 see:1 https:1 builds:1 job:1 remove:1 author:1 tag:1 revision:1 result:1 success:1 files:1 recipes:1 replicated:1 file:1 system:1 main:1
HELIX;Apache Helix Committee;cloud;HELIX-7;hudson;2012-11-15T02:29:28.610+0000;helix:14 java:10 apache:6 test:5 core:4 integration:3 tools:2 integrated:1 see:1 https:1 builds:1 job:1 update:1 waiting:1 parameters:1 fix:1 random:1 revision:1 result:1 unstable:1 files:1
HELIX;Apache Helix Committee;cloud;HELIX-7;hudson;2012-11-15T04:52:44.996+0000;helix:5 test:3 apache:2 java:2 integrated:1 see:1 https:1 builds:1 job:1 tune:1 parameters:1 fix:1 random:1 failures:1 revision:1 result:1 unstable:1 files:1 core:1 monitoring:1
HELIX;Apache Helix Committee;cloud;HELIX-7;dafu;2012-11-19T22:20:06.316+0000;fix:1 fails:1 build:1
HELIX;Apache Helix Committee;cloud;HELIX-7;hudson;2012-11-19T23:49:14.986+0000;helix:5 test:3 apache:2 java:2 integrated:1 see:1 https:1 builds:1 job:1 tune:1 parameters:1 fix:1 random:1 failures:1 revision:1 result:1 success:1 files:1 tools:1
HELIX;Apache Helix Committee;cloud;HELIX-7;hudson;2012-11-29T00:46:52.645+0000;helix:7 java:4 apache:3 test:3 core:2 tools:2 integrated:1 see:1 https:1 builds:1 job:1 fix:1 random:1 failures:1 revision:1 result:1 success:1 files:1
HELIX;Apache Helix Committee;cloud;HELIX-7;hudson;2012-12-13T23:53:44.774+0000;helix:5 apache:2 java:2 integrated:1 see:1 https:1 builds:1 job:1 update:1 max:1 wait:1 time:1 alert:1 observer:1 catch:1 revision:1 result:1 success:1 files:1 core:1 test:1 monitoring:1
HELIX;Apache Helix Committee;cloud;HELIX-7;olamy;2012-12-14T22:17:03.363+0000;still:1 happen:1
HELIX;Apache Helix Committee;cloud;HELIX-7;hudson;2012-12-19T02:22:55.491+0000;helix:7 test:4 java:4 apache:3 core:2 integrated:1 see:1 https:1 builds:1 job:1 tune:1 parameters:1 fix:1 random:1 failures:1 revision:1 result:1 success:1 files:1 integration:1
HELIX;Apache Helix Committee;cloud;HELIX-7;hudson;2012-12-20T00:36:12.063+0000;helix:3 test:2 integrated:1 see:1 https:1 builds:1 apache:1 job:1 tune:1 parameters:1 fix:1 random:1 failures:1 revision:1 result:1 unstable:1
HELIX;Apache Helix Committee;cloud;HELIX-7;hudson;2013-01-02T20:11:44.665+0000;helix:7 test:4 java:4 apache:3 core:2 integrated:1 see:1 https:1 builds:1 job:1 tune:1 parameters:1 fix:1 random:1 failures:1 revision:1 result:1 success:1 files:1 integration:1
HELIX;Apache Helix Committee;cloud;HELIX-7;hudson;2013-02-20T06:29:42.710+0000;helix:4 apache:2 java:2 integrated:1 see:1 https:1 builds:1 job:1 fix:1 test:1 compile:1 issue:1 revision:1 result:1 failure:1 files:1 recipes:1 replicated:1 file:1 system:1 main:1
HELIX;Apache Helix Committee;cloud;HELIX-7;hudson;2013-02-20T21:44:35.611+0000;helix:5 apache:2 java:2 integrated:1 see:1 https:1 builds:1 job:1 fix:1 intermittent:1 failures:1 revision:1 result:1 failure:1 files:1 core:1 test:1 integration:1
HELIX;Apache Helix Committee;cloud;HELIX-7;hudson;2013-02-21T02:00:28.224+0000;helix:3 test:2 integrated:1 see:1 https:1 builds:1 apache:1 job:1 tune:1 parameters:1 intermittent:1 failures:1 revision:1 result:1 failure:1
HELIX;Apache Helix Committee;cloud;HELIX-7;hudson;2013-03-08T05:29:29.447+0000;helix:5 apache:2 test:2 java:2 integrated:1 see:1 https:1 builds:1 job:1 adjust:1 parameters:1 revision:1 result:1 unstable:1 files:1 core:1 integration:1
HELIX;Apache Helix Committee;cloud;HELIX-7;hudson;2013-04-03T07:34:43.625+0000;helix:25 java:20 apache:11 core:10 test:8 controller:4 main:4 revision:3 files:3 mock:3 participant:3 fix:2 failure:2 integration:2 integrated:1 see:1 https:1 builds:1 job:1 allow:1 failures:1 result:1 stages:1 model:1 manager:1
HELIX;Apache Helix Committee;cloud;HELIX-7;hudson;2013-04-05T02:56:41.772+0000;helix:5 apache:2 test:2 java:2 integrated:1 see:1 https:1 builds:1 job:1 fix:1 failures:1 revision:1 result:1 failure:1 files:1 core:1 integration:1
HELIX;Apache Helix Committee;cloud;HELIX-7;k4j;2013-05-15T00:45:09.888+0000;looks:1 like:1 build:1 system:1 stable:1
HELIX;Apache Helix Committee;cloud;HELIX-9;hudson;2012-11-16T01:23:19.204+0000;helix:3 integrated:1 see:1 https:1 builds:1 apache:1 job:1 revision:1 result:1 success:1
HELIX;Apache Helix Committee;cloud;HELIX-10;hudson;2012-11-16T01:23:19.380+0000;helix:9 java:6 apache:4 core:3 main:3 manager:2 integrated:1 see:1 https:1 builds:1 job:1 bugs:1 drop:1 resource:1 cleaned:1 revision:1 result:1 success:1 files:1 controller:1 stages:1
HELIX;Apache Helix Committee;cloud;HELIX-12;hudson;2012-11-27T21:40:33.500+0000;helix:9 java:6 apache:4 test:3 core:3 integrated:1 see:1 https:1 builds:1 job:1 add:1 case:1 auto:1 mode:1 node:1 revision:1 result:1 success:1 files:1 mock:1 participant:1 integration:1 main:1 manager:1
HELIX;Apache Helix Committee;cloud;HELIX-12;dafu;2012-11-28T02:52:08.310+0000;caused:1 starting:1 multiple:1 controllers:1 mode:1 name:1 fixed:1 comparing:1 instead:1 leader:1 election:1
HELIX;Apache Helix Committee;cloud;HELIX-12;hudson;2012-11-28T07:37:17.781+0000;helix:10 java:6 apache:4 core:3 test:2 integration:2 integrated:1 see:1 https:1 builds:1 job:1 controller:1 sends:1 multiple:1 state:1 transition:1 messages:1 revision:1 result:1 success:1 files:1 main:1 participant:1
HELIX;Apache Helix Committee;cloud;HELIX-12;k4j;2013-01-29T22:49:02.607+0000;reopening:1 set:1 fix:1 version:1
