Project;Manager;Category;Key;Author;CreationDate;Content
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-24;abayer;2013-05-10T20:04:54.344+0000;patch:1 adds:1 rat:1 check:1 pom:1 akin:1 used:1 whirr:1 also:1 attached:1 output:1 run:1 see:1 needs:1 cleaned:1
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-24;adriancole;2013-05-10T20:19:47.889+0000;filtering:1 test:1 resources:1 qualify:1 reasonable:1 approach:1
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-24;abayer;2013-05-10T20:40:36.600+0000;entirely:1 sure:1 probably:1 get:1 mentors:1 give:1 thoughts:1
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-24;adriancole;2013-05-10T20:49:56.309+0000;delete:1 old:1 code:1 first:1 sense:1 discussions:1 stuff:1
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-24;abayer;2013-05-10T21:10:56.284+0000;updated:1 pass:1 demos:1 test:1 resources:1 basically:1 empty:1 think:1 ignore:1
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-24;abayer;2013-05-10T21:20:56.380+0000;whoops:1 wrong:1
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-24;abayer;2013-05-10T21:53:29.425+0000;pushed:1
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-24;abayer;2013-05-10T23:34:47.544+0000;build:1 fails:1 due:1 workspace:1 repository:1 private:1 maven:1 let:1 exclude:1
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-24;abayer;2013-05-11T00:13:05.678+0000;x:2 reviewed:1 going:1 branches:1 well:1
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-24;adriancole;2013-05-11T15:08:01.271+0000;exclude:2 applying:1 following:1 line:1 master:1 new:1 latest:1 patch:1 file:1 build:1 runs:1 fine:1 workstation:1 repository:1
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-24;andrewp;2013-05-11T19:31:16.200+0000;pom:3 project:2 git:2 sorry:1 getting:1 round:1 seeing:1 new:1 uses:1 spaces:1 instead:1 rest:1 need:1 specify:1 version:1 looks:1 like:1 already:1 https:1 us:1 apache:1 p:1 incubator:1 blob:1 f:1 h:1 hb:1 line:1
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-24;abayer;2013-05-11T19:43:59.114+0000;poms:4 prefer:2 dependency:2 first:2 parent:2 pom:2 yeah:1 hate:1 space:1 indents:1 silly:1 makes:1 things:1 hard:1 read:1 common:1 need:1 switch:1 much:1 switching:1 strong:1 advocate:1 declaring:1 versions:1 place:1 show:1 tree:1 control:1 go:1 look:1 apache:1 see:1 version:1 getting:1 eventually:1 end:1 inheriting:1 git:1 project:1 management:1 dependencies:1 wanted:1 get:1 done:1
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-24;abayer;2013-05-11T19:45:18.991+0000;oh:1 wait:1 right:1
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-24;andrewp;2013-05-11T19:49:13.477+0000;apache:2 rat:2 many:2 licenses:2 need:1 switch:1 much:1 prefer:1 switching:1 poms:1 preference:1 either:1 way:1 nice:1 consistent:1 nit:1 though:1 ps:1 looks:1 like:1 main:1 build:1 failing:1 message:1 failed:1 execute:1 goal:1 check:1 default:1 project:1 cause:1 https:1 ci:1 job:1 changes:1
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-24;abayer;2013-05-11T19:51:53.435+0000;yeah:1 needs:1 second:1 patch:1 ignore:1 repository:1 directory:1
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-24;abayer;2013-05-11T19:52:45.284+0000;leave:1 right:1 patch:1 going:1 space:1 pom:1 indent:1 throughout:1 work:1
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-24;andrewp;2013-05-11T20:06:23.832+0000;leave:1 right:1 patch:1 going:1 space:1 pom:1 indent:1 throughout:1 work:1 sounds:1 perfect:1
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-24;adriancole;2013-05-11T20:10:39.383+0000;works:1
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-24;abayer;2013-05-12T14:52:50.324+0000;pushed:2 x:2 watching:1 build:1 also:1
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-27;adriancole;2013-05-10T21:44:39.851+0000;looks:1 straightforward:1
JCLOUDS;Apache jclouds Committee;cloud;JCLOUDS-27;gaul;2013-05-10T23:00:04.319+0000;pushed:1
