Project;Manager;Category;Key;Author;CreationDate;Content
OOZIE;Apache Oozie Committee;big-data;OOZIE-4;qwertymaniac;2012-01-02T10:36:57.228+0000;attached:1 patch:1 reuses:1 originally:1 defined:1 gets:1 rid:1 wrong:1 reference:1 please:1 assign:1
OOZIE;Apache Oozie Committee;big-data;OOZIE-4;qwertymaniac;2012-01-19T04:35:14.788+0000;hi:1 comments:1 patch:1 like:1 address:1
OOZIE;Apache Oozie Committee;big-data;OOZIE-4;jiraposter@reviews.apache.org;2012-01-25T16:50:40.217+0000;apache:7 java:4 https:3 action:3 http:3 reviews:2 r:2 max:2 data:2 incubator:2 trunk:2 core:2 main:2 automatically:1 generated:1 e:1 mail:1 reply:1 visit:1 review:1 request:1 summary:1 currently:1 user:1 define:1 override:1 default:1 value:1 misnomer:1 output:1 relevant:1 discussion:1 tech:1 groups:1 yahoo:1 group:1 users:1 message:1 addresses:1 bug:1 issues:1 browse:1 testing:1 thanks:1 harsh:1
OOZIE;Apache Oozie Committee;big-data;OOZIE-4;jiraposter@reviews.apache.org;2012-01-25T19:47:41.028+0000;apache:8 https:4 java:4 reviews:3 r:3 action:3 http:3 automatically:2 generated:2 e:2 mail:2 reply:2 visit:2 work:2 harsh:2 max:2 data:2 incubator:2 trunk:2 core:2 main:2 good:1 backward:1 compatibility:1 system:1 using:1 old:1 one:1 mohammad:1 j:1 wrote:1 updated:1 review:1 request:1 summary:1 currently:1 user:1 define:1 override:1 default:1 value:1 misnomer:1 output:1 relevant:1 discussion:1 tech:1 groups:1 yahoo:1 group:1 users:1 message:1 addresses:1 bug:1 issues:1 browse:1 testing:1 thanks:1
OOZIE;Apache Oozie Committee;big-data;OOZIE-4;jiraposter@reviews.apache.org;2012-01-25T19:53:39.519+0000;apache:8 https:4 java:4 harsh:3 reviews:3 r:3 action:3 http:3 wrote:2 good:2 work:2 automatically:2 generated:2 e:2 mail:2 reply:2 visit:2 max:2 data:2 incubator:2 trunk:2 core:2 main:2 mohammad:1 islam:1 backward:1 compatibility:1 system:1 using:1 old:1 one:1 point:1 throw:1 fallback:1 note:1 remove:1 next:1 release:1 upload:1 patch:1 tomorrow:1 j:1 updated:1 review:1 request:1 summary:1 currently:1 user:1 define:1 override:1 default:1 value:1 misnomer:1 output:1 relevant:1 discussion:1 tech:1 groups:1 yahoo:1 group:1 users:1 message:1 addresses:1 bug:1 issues:1 browse:1 testing:1 thanks:1
OOZIE;Apache Oozie Committee;big-data;OOZIE-4;jiraposter@reviews.apache.org;2012-02-08T20:16:58.719+0000;apache:8 harsh:4 https:4 java:4 wrote:3 reviews:3 r:3 action:3 http:3 good:2 work:2 j:2 automatically:2 generated:2 e:2 mail:2 reply:2 visit:2 max:2 data:2 incubator:2 trunk:2 core:2 main:2 mohammad:1 islam:1 backward:1 compatibility:1 system:1 using:1 old:1 one:1 point:1 throw:1 fallback:1 note:1 remove:1 next:1 release:1 upload:1 patch:1 tomorrow:1 uploading:1 new:1 updated:1 review:1 request:1 summary:1 currently:1 user:1 define:1 override:1 default:1 value:1 misnomer:1 output:1 relevant:1 discussion:1 tech:1 groups:1 yahoo:1 group:1 users:1 message:1 addresses:1 bug:1 issues:1 browse:1 testing:1 thanks:1
OOZIE;Apache Oozie Committee;big-data;OOZIE-4;jiraposter@reviews.apache.org;2012-03-13T12:31:37.172+0000;apache:7 java:4 https:3 updated:3 action:3 http:3 reviews:2 r:2 changes:2 max:2 data:2 incubator:2 trunk:2 core:2 main:2 automatically:1 generated:1 e:1 mail:1 reply:1 visit:1 review:1 request:1 suggested:1 sorry:1 took:1 lot:1 time:1 work:1 really:1 busy:1 last:1 month:1 summary:1 currently:1 user:1 define:1 override:1 default:1 value:1 misnomer:1 output:1 relevant:1 discussion:1 tech:1 groups:1 yahoo:1 group:1 users:1 message:1 addresses:1 bug:1 issues:1 browse:1 testing:1 thanks:1 harsh:1
OOZIE;Apache Oozie Committee;big-data;OOZIE-4;jiraposter@reviews.apache.org;2012-03-13T16:48:39.357+0000;apache:7 java:4 https:3 action:3 http:3 reviews:2 r:2 max:2 data:2 incubator:2 trunk:2 core:2 main:2 automatically:1 generated:1 e:1 mail:1 reply:1 visit:1 updated:1 review:1 request:1 summary:1 currently:1 user:1 define:1 override:1 default:1 value:1 misnomer:1 output:1 relevant:1 discussion:1 tech:1 groups:1 yahoo:1 group:1 users:1 message:1 addresses:1 bug:1 issues:1 browse:1 testing:1 thanks:1 harsh:1
OOZIE;Apache Oozie Committee;big-data;OOZIE-4;jiraposter@reviews.apache.org;2012-03-14T00:06:40.761+0000;apache:8 https:4 java:4 reviews:3 r:3 action:3 http:3 automatically:2 generated:2 e:2 mail:2 reply:2 visit:2 harsh:2 max:2 data:2 incubator:2 trunk:2 core:2 main:2 ship:1 k:1 j:1 wrote:1 updated:1 review:1 request:1 summary:1 currently:1 user:1 define:1 override:1 default:1 value:1 misnomer:1 output:1 relevant:1 discussion:1 tech:1 groups:1 yahoo:1 group:1 users:1 message:1 addresses:1 bug:1 issues:1 browse:1 testing:1 thanks:1
OOZIE;Apache Oozie Committee;big-data;OOZIE-4;tucu00;2012-03-14T22:59:57.457+0000;thanks:1 harsh:1 committed:1 trunk:1
