Project;Manager;Category;Key;Author;CreationDate;Content
PHOENIX;Apache Phoenix Committee;database;PHOENIX-2;enis;2015-11-21T02:17:34.499+0000;bulk:1 close:1 issues:1 resolved:1 released:1 version:1
PHOENIX;Apache Phoenix Committee;database;PHOENIX-3;hudson;2014-03-05T04:20:53.151+0000;phoenix:5 apache:3 test:2 java:2 success:1 integrated:1 branch:1 master:1 see:1 https:1 builds:1 job:1 add:1 case:1 method:1 work:1 column:1 rev:1 core:1
PHOENIX;Apache Phoenix Committee;database;PHOENIX-3;hudson;2014-03-06T00:56:29.555+0000;java:576 phoenix:485 apache:293 core:289 main:215 index:203 covered:84 test:75 write:32 example:22 parallel:22 filter:17 schema:15 parse:13 compile:12 update:12 scanner:10 data:10 table:9 expression:9 builder:8 recovery:8 rev:7 exception:7 cache:7 fix:4 query:4 aggregator:4 join:3 https:2 indexer:2 task:2 execute:2 batch:2 array:2 failure:1 integrated:1 branch:1 see:1 builds:1 job:1 introduced:1 previous:1 passed:1 null:1 instead:1 support:1 select:1 queries:1 g:1 rename:1 package:1 issue:1 causing:1 mutable:1 performance:1 regression:1 issues:1 browse:1 client:1 revert:1 prevent:1 serialize:1 elements:1 construction:1 function:1 add:1 case:1 method:1 work:1 column:1
PHOENIX;Apache Phoenix Committee;database;PHOENIX-3;jamestaylor;2014-04-09T05:19:25.509+0000;may:1 fixed:1 already:1 mind:1 taking:1 look:1 submitting:1 patch:1
PHOENIX;Apache Phoenix Committee;database;PHOENIX-3;samarthjain;2014-04-09T19:30:22.545+0000;ts:5 select:1 day:1 hour:1 minute:1 second:1 millisecond:1 works:1 fine:1
PHOENIX;Apache Phoenix Committee;database;PHOENIX-3;enis;2015-11-21T02:17:19.939+0000;bulk:1 close:1 issues:1 resolved:1 released:1 version:1
PHOENIX;Apache Phoenix Committee;database;PHOENIX-7;jamestaylor;2014-03-09T19:03:22.741+0000;threads:2 set:1 daemon:1 better:1 please:1 confirm:1
PHOENIX;Apache Phoenix Committee;database;PHOENIX-7;enis;2015-11-21T02:17:59.782+0000;bulk:1 close:1 issues:1 resolved:1 released:1 version:1
PHOENIX;Apache Phoenix Committee;database;PHOENIX-11;jviolettedsiq;2014-02-07T21:35:35.012+0000;phoenix:2 nice:1 able:1 specify:1 query:1 part:1 loader:1 resulting:1 pig:1 data:1 set:1 mapped:1 appropriate:1 result:1 columns:1
PHOENIX;Apache Phoenix Committee;database;PHOENIX-11;prkommireddi;2014-02-08T00:00:00.046+0000;load:2 statements:2 insert:1 phoenix:1 query:1 statement:1 important:1 disallow:1 might:1 cause:1 data:1 mutations:1 safe:1 allow:1 select:1 within:1
