Project;Manager;Category;Key;Author;CreationDate;Content
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-266;phunt;2009-01-08T01:42:29.854+0000;patch:1 included:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-266;mahadev;2009-01-08T21:22:25.564+0000;committed:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-267;burtonator;2009-01-06T17:11:05.241+0000;list:2 hosts:2 also:1 sent:1 first:1 host:1 receive:1 fails:1 connect:1 happens:1 server:1 even:1 happen:1 connected:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-267;phunt;2009-01-23T22:58:59.809+0000;watcher:5 c:4 state:3 code:3 change:2 sent:2 also:2 client:2 patch:1 ensures:1 send:1 duplicate:1 notifications:1 assumed:1 initially:1 disconnected:1 updated:1 docs:1 effect:1 reviewed:1 looks:1 ok:1 see:1 please:1 ensure:1 true:1 miss:1 note:1 fixed:1 problem:1 cli:1 cases:1 might:1 called:1 returns:1 result:1 old:1 due:1 used:1 using:1 instead:1 verified:1 tests:1 still:1 pass:1 java:1 added:1 new:1 test:1 verify:1 events:1 longer:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-267;breed;2009-01-28T00:24:25.799+0000;committed:1 revision:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-267;hudson;2009-01-28T11:40:32.470+0000;trunk:2 hudson:2 integrated:1 see:1 http:1 zones:1 apache:1 job:1 java:1 client:1 incorrectly:1 generating:1 event:1 disconnected:1 state:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-268;phunt;2009-01-07T23:46:03.099+0000;updated:2 jute:2 test:2 methods:1 handle:1 passed:1 nulls:1 also:1 time:1 new:1 specific:1 object:1 null:1 buffer:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-268;mahadev;2009-01-08T21:06:34.543+0000;patch:1 looks:1 good:1 except:1 nit:1 need:1 call:1 super:1 default:1 object:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-268;phunt;2009-01-09T17:14:08.006+0000;constructor:2 compiler:1 eclipse:1 complains:1 empty:1 block:1 removed:1 entirely:1 however:1 intent:1 allow:1 constructed:1 private:1 added:1 super:1 call:1 remove:1 warning:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-268;breed;2009-01-16T02:58:39.174+0000;
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-268;mahadev;2009-01-26T19:28:37.280+0000;committed:1 thanks:1 pat:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-268;hudson;2009-01-27T11:44:00.333+0000;trunk:2 hudson:2 integrated:1 see:1 http:1 zones:1 apache:1 job:1 jute:1 generated:1 objects:1 cause:1 pat:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-272;breed;2009-01-13T18:53:44.899+0000;think:1 two:1 stages:1 fixing:1 problem:1 first:1 make:1 line:1 code:1 use:1 configured:1 probably:1 add:1 version:1 takes:1 returns:1 offset:1 called:1 multiple:1 times:1 get:1 children:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-272;mahadev;2009-01-13T19:01:21.841+0000;returning:2 offset:2 limit:2 good:1 suggestion:1 fix:1 open:1 another:1 one:1 fixing:1 part:1 release:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-272;mahadev;2009-01-14T21:18:31.051+0000;think:1 limit:1 fixed:1 release:1 open:1 new:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-272;mahadev;2009-01-29T07:27:03.129+0000;value:4 set:3 user:2 java:2 property:2 client:2 patch:1 allows:1 jute:1 used:1 throw:1 error:1 read:1 exceeds:1 default:1 wants:1 setting:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-272;nitay;2009-01-29T08:24:53.028+0000;string:2 instead:2 list:2 put:2 client:2 return:1 using:1 abstraction:1 allows:1 us:1 implementation:1 details:1 walking:1 children:1 mean:1 inside:1 code:1 make:1 next:1 call:1 handle:1 multiple:1 offset:1 calls:1 hood:1 rather:1 burden:1 furthermore:1 say:1 compressed:1 protocol:1 lot:1 space:1 cpu:1 saved:1 decompressing:1 storing:1 current:1 child:1 worked:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-272;mahadev;2009-01-29T08:29:45.822+0000;mentioned:2 fix:2 sorry:1 earlier:1 planned:1 open:1 exactly:1 quick:1 upcoming:1 release:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-272;jtuberville;2009-01-29T17:52:21.403+0000;string:3 java:3 child:2 consider:1 returning:1 instead:1 take:1 advantage:1 idiom:1 done:1 http:1 sun:1 docs:1 html:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-272;breed;2009-01-29T22:57:48.186+0000;good:1 comment:1 tracked:1 separate:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-272;mahadev;2009-01-29T23:22:12.180+0000;committed:1 ill:1 open:1 new:1 discussion:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-272;hudson;2009-02-02T11:49:19.049+0000;trunk:2 hudson:2 integrated:1 see:1 http:1 zones:1 apache:1 job:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-273;runping;2009-01-15T17:26:52.719+0000;simply:1 commented:1 line:1 problem:1 fixed:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-273;phunt;2009-01-23T19:26:00.948+0000;patch:2 ac:2 option:2 configure:2 unfortunately:1 removes:1 entirely:1 need:1 tests:1 rather:1 make:1 ie:1 default:1 line:1 turn:1 think:1 std:1 way:1
ZOOKEEPER;Apache ZooKeeper Committee;database;ZOOKEEPER-273;phunt;2009-01-23T23:34:48.886+0000;configure:2 check:2 patch:1 conditionally:1 excludes:1 eliminate:1 default:1 self:1 documenting:1 help:1 list:1 available:1 options:1 included:1 verified:1 build:1 works:1 cases:1 unit:1 tests:1 pass:1 option:1 used:1
