Project;Manager;Category;Key;Author;CreationDate;Content
MESOS;Apache Mesos Committee;cloud;MESOS-12;woggle;2011-06-02T19:51:21.595+0000;patch:1 reads:1 self:1 close:1 open:1 file:1 descriptors:1 running:1 execute:1
MESOS;Apache Mesos Committee;cloud;MESOS-12;benjaminhindman;2011-06-03T17:52:36.939+0000;thanks:1 charles:1 great:1 moving:1 apache:1 saturday:1 tomorrow:1 apply:1 patch:1 well:1 awesome:1
MESOS;Apache Mesos Committee;cloud;MESOS-12;woggle;2011-11-23T17:38:30.107+0000;think:1 committed:1 part:1
MESOS;Apache Mesos Committee;cloud;MESOS-14;woggle;2011-06-04T22:14:37.920+0000;attached:1 patches:1 correct:1 uses:1 empty:1 string:1 trigger:1 fallback:1 code:1 launcher:1 var:1 present:1
MESOS;Apache Mesos Committee;cloud;MESOS-14;woggle;2011-11-23T17:44:22.129+0000;believe:1 fixed:1
MESOS;Apache Mesos Committee;cloud;MESOS-17;vinodkone;2013-02-07T21:54:47.062+0000;problem:1 anymore:1 latest:1
MESOS;Apache Mesos Committee;cloud;MESOS-22;matei;2011-06-27T23:24:35.943+0000;fixed:1 master:1 branch:1
MESOS;Apache Mesos Committee;cloud;MESOS-23;bill.zhao;2011-07-01T19:05:27.264+0000;commit:2 merge:2 fix:2 fixed:1 author:1 benjamin:1 berkeley:1 date:1 pull:1 request:1 master:1 temporary:1 issue:1 long:1 term:1 needs:1 identify:1 process:1 actually:1 gets:1
MESOS;Apache Mesos Committee;cloud;MESOS-23;bill.zhao;2011-07-01T19:05:59.853+0000;commit:2 fixed:1 author:1 eecs:1 berkeley:1 date:1 create:1 spark:1 configuration:1 file:1 script:1
MESOS;Apache Mesos Committee;cloud;MESOS-24;bill.zhao;2011-07-01T19:28:36.106+0000;commit:3 fixed:2 merge:2 author:2 date:2 fix:2 benjamin:1 berkeley:1 pull:1 request:1 master:1 temporary:1 issue:1 long:1 term:1 needs:1 identify:1 process:1 actually:1 gets:1 problem:1 caused:1
MESOS;Apache Mesos Committee;cloud;MESOS-25;andyk;2011-12-12T20:53:26.723+0000;fixed:1 part:1
MESOS;Apache Mesos Committee;cloud;MESOS-27;bill.zhao;2011-07-20T00:45:20.423+0000;data:2 fixed:1 delete:1 directory:1 rf:1
MESOS;Apache Mesos Committee;cloud;MESOS-27;bill.zhao;2011-07-20T00:49:11.146+0000;directory:3 data:2 running:1 two:1 different:1 version:1 local:1 bin:1 format:1 command:1 remove:1 name:1 rf:1 works:1
MESOS;Apache Mesos Committee;cloud;MESOS-32;bill.zhao;2011-07-21T22:34:13.716+0000;process:58 warning:32 include:31 deprecated:30 declared:30 h:30 function:10 member:7 void:6 third_party:4 double:4 g:2 static:2 seeing:1 compile:1 mac:1 os:1 x:1 lion:1 c:1 strict:1 boost:1 http:1 parser:1 mp:1 trampoline:1 schedule:1 spawn:1 receive:1 serve:1 pause:1 wait:1 poll:1 invoke:1 std:1
MESOS;Apache Mesos Committee;cloud;MESOS-32;benjaminhindman;2011-07-21T22:41:10.048+0000;give:1 us:1 stack:1 trace:1 traps:1 please:1
