Project;Manager;Category;Key;Author;CreationDate;Content
BUILDR;Apache Buildr Committee;build-management;BUILDR-236;toulmean;2010-02-28T07:02:33.705+0000;upgraded:1 maybe:1 try:1 messages:1 look:1
BUILDR;Apache Buildr Committee;build-management;BUILDR-236;toulmean;2010-02-28T07:05:43.020+0000;ok:1 looking:1 case:1 reproduce:1 problem:1 looks:1 like:1 fixed:1 current:1 trunk:1 ant:1
BUILDR;Apache Buildr Committee;build-management;BUILDR-236;boisvert;2010-02-28T15:45:40.740+0000;marking:1 fixed:1 please:1 reopen:1 resolve:1 issue:1
BUILDR;Apache Buildr Committee;build-management;BUILDR-239;jmuzz;2009-01-29T00:57:54.349+0000;patch:1 fix:1 bug:1
BUILDR;Apache Buildr Committee;build-management;BUILDR-239;jmuzz;2009-01-29T20:25:32.547+0000;spec:1 patch:1
BUILDR;Apache Buildr Committee;build-management;BUILDR-241;rsutphin;2009-02-04T19:37:19.189+0000;patch:2 git:1 formatted:1 issue:1 includes:1 specs:1 also:1 viewable:1 http:1 commit:1
BUILDR;Apache Buildr Committee;build-management;BUILDR-243;assafarkin;2009-02-09T06:54:05.416+0000;back:1 working:1
BUILDR;Apache Buildr Committee;build-management;BUILDR-245;assafarkin;2009-03-13T03:30:34.830+0000;someone:1 magically:1 solved:1
BUILDR;Apache Buildr Committee;build-management;BUILDR-247;rsutphin;2009-02-10T04:46:00.617+0000;patch:2 git:1 generated:1 fixes:1 removing:1 hash:1 delegate:1 specs:1 included:1 also:1 http:1 commit:1
BUILDR;Apache Buildr Committee;build-management;BUILDR-247;rsutphin;2009-02-10T05:38:07.032+0000;end:4 source:3 fix:2 block:2 super:2 n:2 also:1 use:1 get:1 need:1 new:1 release:1 class:1 hash:1 initialize:1 nil:1 update:1 w:1 delete:1
BUILDR;Apache Buildr Committee;build-management;BUILDR-251;toulmean;2010-02-28T06:57:16.342+0000;artifact:4 classifier:3 snapshot:3 group:2 extension:2 invoke:1 call:1 http:1 example:1 missing:1 looks:1 like:1 used:1
BUILDR;Apache Buildr Committee;build-management;BUILDR-251;boisvert;2010-02-28T17:05:48.242+0000;yes:1 works:1 please:1 reopen:1 detailed:1 description:1 issue:1 reproducible:1 case:1
BUILDR;Apache Buildr Committee;build-management;BUILDR-251;pkd;2010-03-01T06:30:41.686+0000;camel:9 apache:5 core:4 jar:3 problem:2 artifact:2 group:2 classifier:2 puts:2 actually:1 classifiers:1 though:1 snapshot:1 related:1 ok:1 mentioned:1 applying:1 e:1 g:1 rebuilt:1 spring:1 discovered:1 version:1 guess:1 might:1 original:1 reporter:1 open:1 issue:1 file:1 new:1 one:1
BUILDR;Apache Buildr Committee;build-management;BUILDR-251;boisvert;2010-03-01T17:58:09.240+0000;created:1 follow:1 group:1 issue:1
BUILDR;Apache Buildr Committee;build-management;BUILDR-251;geraldols;2011-04-09T11:55:43.215+0000;repositories:2 met:1 bug:1 one:1 reproduce:1 following:1 package:1 remote:1 https:1 oss:1 content:1 snapshots:1 compile:1 jar:1 snapshot:1 ruby:1 revision:1 linux:1 n:1 l:1
