Project;Manager;Category;Key;Author;CreationDate;Content
ISIS;Apache Isis Committee;web-framework;ISIS-11;vango;2010-11-07T17:13:25.271+0000;mail:2 http:1 archives:1 apache:1 incubator:1 isis:1 ajax:1
ISIS;Apache Isis Committee;web-framework;ISIS-11;danhaywood;2010-11-08T10:02:39.718+0000;alternatives:3 apache:2 isis:2 look:1 groovy:1 pom:1 noticed:1 parented:1 instead:1 almost:1 certainly:1 problem:1 tested:1 yet:1 confirm:1
ISIS;Apache Isis Committee;web-framework;ISIS-11;danhaywood;2010-11-18T13:04:20.674+0000;maven:3 site:2 addition:1 noticed:1 different:1 compatible:1 see:1 example:1 additional:1 work:1 needed:1 think:1 therefore:1 declare:1 support:1 x:1 ready:1 switch:1 en:1 masse:1 http:1 www:1 blog:1 generation:1
ISIS;Apache Isis Committee;web-framework;ISIS-11;vango;2010-11-18T17:14:14.690+0000;updated:1 latest:1 code:1 try:1 use:1 maven:1 worked:1
ISIS;Apache Isis Committee;web-framework;ISIS-11;danhaywood;2011-01-30T16:16:36.074+0000;isis:2 maven:2 reading:1 open:1 supporting:1 building:1 reason:1 possible:1 site:1 generation:1 issues:1 noted:1 updated:1 master:1 pom:1 use:1 enforcer:1 build:1 versions:1 ie:1 including:1
ISIS;Apache Isis Committee;web-framework;ISIS-11;kevin-m;2011-07-23T09:38:10.201+0000;maven:1 supported:1 see:1 http:1 mail:1 archives:1 apache:1 incubator:1 isis:1 co:1
ISIS;Apache Isis Committee;web-framework;ISIS-11;kevin-m;2011-07-23T09:39:34.353+0000;maven:1 supported:1 appropriate:1 site:1 used:1
ISIS;Apache Isis Committee;web-framework;ISIS-16;danhaywood;2010-12-07T06:51:03.477+0000;introduced:1 new:1 method:1 default:1 format:1 dd:1 rev:1
ISIS;Apache Isis Committee;web-framework;ISIS-19;winklers;2010-12-15T09:14:53.541+0000;date:4 based:2 time:2 using:1 local:1 apache:1 isis:1 value:1 always:1 utc:1 testing:1 currently:1 parsed:1 another:1 might:1 equal:1 meaning:1 differs:1 tests:1 fail:1 patch:1 provided:1 informally:1 attached:1
ISIS;Apache Isis Committee;web-framework;ISIS-19;winklers;2010-12-15T09:19:00.393+0000;apache:1 isis:1 viewer:1 common:1 parsers:1 patch:1 working:1 internal:1 utc:1
ISIS;Apache Isis Committee;web-framework;ISIS-19;danhaywood;2010-12-15T10:29:42.221+0000;waiting:1 sabine:1 test:1 works:1
ISIS;Apache Isis Committee;web-framework;ISIS-19;winklers;2010-12-16T14:08:52.689+0000;test:2 successful:1 fails:1 viewer:1 german:1 locale:1
ISIS;Apache Isis Committee;web-framework;ISIS-19;danhaywood;2010-12-16T14:49:56.450+0000;case:1 let:1 close:1 thanks:1 testing:1 sabine:1
ISIS;Apache Isis Committee;web-framework;ISIS-70;winklers;2011-01-05T08:08:08.189+0000;changed:1 text:1 method:1
ISIS;Apache Isis Committee;web-framework;ISIS-70;danhaywood;2011-01-06T23:30:49.614+0000;applied:1 provided:1 fix:1 rev:1
ISIS;Apache Isis Committee;web-framework;ISIS-83;vango;2011-03-21T21:51:32.608+0000;bug:3 patch:1 fix:1 turned:1 missing:1 front:1 attribute:1 values:1 adding:1 seems:1 fixed:1
ISIS;Apache Isis Committee;web-framework;ISIS-83;danhaywood;2011-03-27T14:56:51.743+0000;thanks:1 patch:1 applied:1
