Project;Manager;Category;Key;Author;CreationDate;Content
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-3;aching;2011-08-23T22:34:13.570+0000;guess:1 wait:1 import:1 finished:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-3;owen.omalley;2011-08-23T22:40:39.671+0000;general:1 like:1 avoid:1 abbreviations:1 method:1 names:1 maybe:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-3;jghoman;2011-08-23T23:10:17.660+0000;yeah:1 generate:1 patch:1 necessary:1 apply:1 import:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-3;jghoman;2011-08-26T00:42:05.239+0000;patch:2 opinion:1 msg:1 message:1 style:1 change:1 large:1 want:1 let:1 another:1 completed:1 safe:1 commit:1 post:1 review:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-3;hyunsik.choi;2011-08-26T00:55:05.506+0000;agree:1 avoid:1 abbreviations:1 method:1 names:1 good:1 address:1 naming:1 convention:1 separate:1 issue:1 vote:1 patch:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-3;aching;2011-08-26T01:08:28.763+0000;address:1 naming:1 conventions:1 another:1 issue:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-3;jghoman;2011-08-26T01:14:07.965+0000;committed:1 resolving:1 fixed:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-6;jghoman;2011-08-26T19:31:05.033+0000;patch:2 build:2 removes:1 remaining:1 references:1 run:1 tests:1 jars:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-6;jghoman;2011-08-26T20:05:59.294+0000;breaking:1 build:1 gone:1 ahead:1 committed:1 resolving:1 fixed:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-6;aching;2011-08-26T23:05:23.198+0000;thanks:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-17;owen.omalley;2011-08-30T14:58:28.313+0000;explain:1 fix:1 looks:1 like:1 cleanup:1 making:1 limit:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-17;aching;2011-08-30T15:19:53.126+0000;sure:1 main:1 part:1 fix:1 basically:1 condition:1 hit:1 max:1 connect:1 attempts:1 tried:1 never:1 became:1 sync:1 point:1 probably:1 used:1 limit:1 address:1 later:1 issue:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-17;owen.omalley;2011-08-30T15:29:19.073+0000;ok:1 thanks:1 case:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-17;aching;2011-08-30T16:15:53.726+0000;thanks:1 taking:1 look:1 committed:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-24;jghoman;2011-09-01T00:38:38.550+0000;job:2 patch:1 increments:1 counter:1 zeroth:1 keep:1 count:1 consistent:1 workers:1 unit:1 test:1 difficult:1 access:1 current:1 form:1 manually:1 tested:1 part:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-24;hyunsik.choi;2011-09-01T00:55:59.791+0000;nice:1 work:1 another:1 side:1 need:1 create:1 components:1 part:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-24;aching;2011-09-01T01:14:38.632+0000;thought:1 noticed:1 point:1 forgot:1 looks:1 good:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-24;jghoman;2011-09-01T01:20:04.891+0000;verified:1 unit:1 tests:1 pass:1 committed:1 resolving:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-25;dvryaboy;2011-09-04T05:28:23.613+0000;log:1 saw:1 timed:1 master:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-25;aching;2011-09-04T07:28:12.805+0000;definitely:1 handled:1 gracefully:1 thanks:1 filing:1 issue:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-25;dvryaboy;2011-09-07T05:40:19.276+0000;exception:2 throw:2 attached:1 basic:1 fix:1 problem:1 failing:1 job:1 correctly:1 stop:1 proceed:1 two:1 choices:1 declare:1 case:1 deal:1 upstream:1 c:1 style:1 return:1 chose:1 latter:1 makes:1 code:1 deals:1 succinct:1 change:1 public:1 rewrite:1 prefer:1 test:1 sure:1 best:1 fit:1 way:1 tests:1 set:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-25;aching;2011-09-07T16:00:27.863+0000;thanks:1 patch:1 review:1 add:1 commit:1 works:1 expected:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-25;aching;2011-09-08T18:44:17.588+0000;apache:9 graph:8 info:6 got:3 error:2 enough:2 instance:2 cleanup:2 children:2 patch:1 worked:1 nicely:1 added:1 tweaked:1 message:1 example:1 output:1 looks:1 much:1 better:1 found:1 responses:1 needed:1 start:1 sleeping:1 msecs:1 used:1 attempts:1 receive:1 processes:1 time:1 required:1 occurs:1 map:1 tasks:1 available:1 simultaneously:1 fulfill:1 number:1 requested:1 workers:1 failed:1 fatal:1 killing:1 job:1 notifying:1 master:1 okay:1 node:1 already:1 exists:1 need:1 create:1 desired:1 waiting:1 change:1 nodes:1 warn:1 forced:1 shutdown:1 hook:1 kill:1 process:1 upload:1 minor:1 changes:1 commit:1 behalf:1 ran:1 local:1 mode:1 also:1 small:1 thanks:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-25;aching;2011-09-08T18:44:48.797+0000;minor:1 changes:1 original:1 error:1 message:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-25;hudson;2011-09-08T18:52:36.056+0000;java:8 trunk:7 apache:7 incubator:5 main:3 commit:2 job:2 aching:2 rev:2 graph:2 integrated:1 see:1 https:1 builds:1 failing:1 committed:1 behalf:1 http:1 root:1 view:1 files:1 test:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-25;dvryaboy;2011-09-08T19:01:55.101+0000;thanks:1 mind:1 adding:1 contributors:1 list:1 project:1 post:1 assign:1 one:1 way:1 done:1 attribution:1 pig:1 think:1 commit:1 message:1 succinct:1 description:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-25;aching;2011-09-08T20:21:46.499+0000;added:1 contributors:1 list:1 assigned:1 agree:1 commit:1 message:1 description:1 fill:1 logs:1
GIRAPH;Apache Giraph Committee;big-data;GIRAPH-25;aching;2011-09-10T00:48:30.065+0000;close:2 issue:2 sure:1 supposed:1 reporter:1 committed:1 please:1 reopen:1
