Project;Manager;Category;Key;Author;CreationDate;Content
DIRMINA;Apache MINA Committee;network-server;DIRMINA-656;elecharny;2009-01-12T22:21:37.918+0000;rev:2 applied:1 suggested:1 correction:1 using:1 switch:1 http:1 apache:1 view:1 thanks:1
DIRMINA;Apache MINA Committee;network-server;DIRMINA-658;costello;2009-01-27T18:53:52.011+0000;attached:1 test:1 supposed:1 exit:1 session:1 closed:1 event:1 received:1 instead:1 hangs:1
DIRMINA;Apache MINA Committee;network-server;DIRMINA-658;ted_kods;2009-01-27T19:06:15.123+0000;investigate:1 test:1 believe:1 right:1
DIRMINA;Apache MINA Committee;network-server;DIRMINA-658;ted_kods;2009-01-27T23:44:34.833+0000;fixed:1 detailed:1 report:1
DIRMINA;Apache MINA Committee;network-server;DIRMINA-661;elecharny;2009-02-13T08:12:46.849+0000;rev:2 issue:1 due:1 missing:1 invocation:1 implementation:1 remove:1 method:1 session:1 removed:1 event:1 propagated:1 otherwise:1 listeners:1 never:1 called:1 fixed:1 http:1 apache:1 view:1
DIRMINA;Apache MINA Committee;network-server;DIRMINA-662;elecharny;2009-02-13T08:10:50.647+0000;session:5 processor:2 public:2 void:2 get:2 request:2 rev:2 confirm:1 issue:1 bug:1 implementation:1 new:1 add:1 flush:1 poll:1 object:1 closed:1 emptied:1 back:1 immediately:1 cause:1 generated:1 trying:1 message:1 null:1 fixed:1 http:1 apache:1 view:1
DIRMINA;Apache MINA Committee;network-server;DIRMINA-662;elecharny;2009-02-13T08:13:17.092+0000;forgot:1 mark:1 issue:1 resolved:1
DIRMINA;Apache MINA Committee;network-server;DIRMINA-664;elecharny;2009-02-26T17:23:51.516+0000;matter:1 much:1 expand:1 operation:1 allocate:1 new:1 internally:1 reason:1 think:1 using:1 expandable:1 buffers:1 bad:1 idea:1
DIRMINA;Apache MINA Committee;network-server;DIRMINA-664;darose;2009-02-26T18:44:27.004+0000;buffer:3 static:3 constants:3 getting:2 data:2 see:2 tests:2 allocate:2 new:2 imo:2 buffers:2 assumption:2 sure:1 understand:1 never:1 calling:1 expand:1 erroneous:1 behavior:1 run:1 unit:1 failing:1 seems:1 like:1 big:1 deal:1 especially:1 part:1 pertaining:1 true:1 caused:1 bugs:1 system:1 thought:1 allocated:1 instead:1 mina:1 giving:1 existing:1 already:1 using:1 expandable:1 problem:1 rather:1 keeping:1 around:1 hold:1 immutable:1 immutability:1 correct:1 fix:1 get:1 rid:1 one:1 time:1
DIRMINA;Apache MINA Committee;network-server;DIRMINA-664;elecharny;2009-02-27T01:32:17.550+0000;buffer:3 think:2 internally:2 bit:1 rails:1 basically:1 right:1 point:1 empty:1 despite:1 static:1 final:1 qualifier:1 reviewed:1 current:1 implementation:1 afternoon:1 removed:1 extensible:1 bad:1 idea:1 using:1 instead:1 allocating:1 likely:1 happen:1 often:1 case:1 immutable:1 visible:1 users:1 use:1 tend:1 yes:1 weakness:1 class:1 object:1 declared:1 private:1 used:1 let:1 atm:1
