Project;Manager;Category;Key;Author;CreationDate;Content
IGNITE;Apache Ignite Committee;cloud;IGNITE-62;avinogradov;2015-02-18T10:30:47.627+0000;need:2 release:2 version:2 use:1 apache:1 cert:1 staging:1 opportunity:1 ignite:1 new:1 branch:1
IGNITE;Apache Ignite Committee;cloud;IGNITE-64;avinogradov;2015-01-13T15:18:25.495+0000;grid:2 foreign:1 code:1 found:1 unsafe:1 annotations:1 copyright:1 files:1 changed:1
IGNITE;Apache Ignite Committee;cloud;IGNITE-65;avinogradov;2015-01-20T09:28:05.994+0000;please:1 specify:1 correct:1 version:1
IGNITE;Apache Ignite Committee;cloud;IGNITE-65;skozlov;2015-01-20T10:22:55.530+0000;suppose:1 version:1
IGNITE;Apache Ignite Committee;cloud;IGNITE-68;sevdokimov-gg;2015-01-20T15:35:50.912+0000;reproduce:2 machine:2 failed:1 problem:1 works:1 fine:1 tested:1 sprint:1 sources:1 stable:1
IGNITE;Apache Ignite Committee;cloud;IGNITE-68;ustas;2015-02-11T06:27:38.431+0000;fixed:1
IGNITE;Apache Ignite Committee;cloud;IGNITE-68;ustas;2015-03-20T14:08:59.747+0000;fixed:1
IGNITE;Apache Ignite Committee;cloud;IGNITE-69;nstrakovskaya;2014-12-19T12:54:45.858+0000;copyright:3 console:2 output:2 contains:2 logo:2 start:2 bat:1 router:1 command:1 line:1 loader:1 c:1 systems:1
IGNITE;Apache Ignite Committee;cloud;IGNITE-69;avinogradov;2015-01-20T09:40:35.660+0000;logo:1 seems:1 fixed:1 according:1 ignite:1 please:1 specify:1 correct:1 replacement:1 copyright:1 c:1 systems:1
IGNITE;Apache Ignite Committee;cloud;IGNITE-69;dsetrakyan;2015-01-30T11:13:00.070+0000;copyright:1 c:1 apache:1 software:1 foundation:1
IGNITE;Apache Ignite Committee;cloud;IGNITE-70;dsetrakyan;2015-02-02T07:53:50.765+0000;documentation:2 let:1 remove:1 links:1 exceptions:1 get:1 ignite:1 fixed:1
IGNITE;Apache Ignite Committee;cloud;IGNITE-70;sevdokimov-gg;2015-02-13T09:39:06.852+0000;link:4 http:1 bit:1 removed:1 replaced:1 ignite:1 add:1 documentation:1 next:1 sprint:1 added:1
